June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
333	154.4902778	6	3	11	46	285.54222	92.53222	1276.184	1.62	3771.673	5341.623	945.348
CGR1	154.4909722	6	3	11	47	0.005	87.23806	131.883	1.62	5000.012	5131.73	1007.976
111	154.4909722	6	3	11	47	108.17278	267.37083	1066.89	1.62	3987.386	5332.397	952.758
CGR1	154.4916667	6	3	11	48	180.00444	272.77528	131.883	1.62	5000.01	5131.728	1008.007
111	154.5	6	3	12	0	288.1625	92.63917	1066.872	1.62	3987.352	5332.21	952.574
333	154.5	6	3	12	0	285.53389	92.53167	1276.165	1.62	3771.642	5341.44	945.357
CGR1	154.5006944	6	3	12	1	0.00361	87.23611	131.883	1.62	5000.008	5131.729	1007.981
111	154.5006944	6	3	12	1	108.16417	267.37028	1066.871	1.62	3987.355	5332.241	952.748
333	154.5013889	6	3	12	2	105.53694	267.47694	1276.166	1.62	3771.649	5341.504	945.554
CGR1	154.5013889	6	3	12	2	180.00472	272.7725	131.882	1.62	5000.011	5131.728	1008
222	154.5034722	6	3	12	5	268.76	92.05278	1868.34	1.62	3133.279	4959.594	934.93
222	154.5034722	6	3	12	5	88.75944	267.95333	1868.338	1.62	3133.273	4959.572	935.131
111	154.5041667	6	3	12	6	288.16028	92.63833	1066.868	1.62	3987.342	5332.169	952.587
333	154.5041667	6	3	12	6	285.53417	92.53222	1276.158	1.62	3771.651	5341.444	945.351
CGR1	154.5048611	6	3	12	7	0.00472	87.23667	131.885	1.62	5000.011	5131.732	1007.979
111	154.5048611	6	3	12	7	108.16389	267.37167	1066.862	1.62	3987.361	5332.234	952.777
333	154.5055556	6	3	12	8	105.53417	267.47806	1276.164	1.62	3771.635	5341.448	945.576
CGR1	154.5055556	6	3	12	8	180.00306	272.77389	131.886	1.62	5000.007	5131.731	1008.004
111	154.5104167	6	3	12	15	288.16111	92.63889	1066.855	1.62	3987.359	5332.176	952.58
333	154.5104167	6	3	12	15	285.53083	92.53028	1276.146	1.62	3771.64	5341.369	945.392
CGR1	154.5111111	6	3	12	16	0.00389	87.2375	131.884	1.62	5000.009	5131.731	1007.978
111	154.5111111	6	3	12	16	108.16083	267.37167	1066.852	1.62	3987.352	5332.173	952.773
333	154.5118056	6	3	12	17	105.53333	267.47778	1276.154	1.62	3771.638	5341.422	945.574
CGR1	154.5118056	6	3	12	17	180.005	272.77444	131.885	1.62	5000.012	5131.73	1008.005
111	154.5208333	6	3	12	30	288.15222	92.6425	1066.834	1.62	3987.332	5332.016	952.509
333	154.5208333	6	3	12	30	285.52333	92.53111	1276.131	1.62	3771.609	5341.2	945.374
CGR1	154.5215278	6	3	12	31	0.00222	87.23778	131.886	1.62	5000.005	5131.732	1007.977
111	154.5215278	6	3	12	31	108.15333	267.36806	1066.833	1.62	3987.33	5332.037	952.711
333	154.5222222	6	3	12	32	105.52667	267.47972	1276.131	1.62	3771.619	5341.277	945.615
CGR1	154.5222222	6	3	12	32	180.00528	272.77333	131.885	1.62	5000.012	5131.73	1008.002
111	154.53125	6	3	12	45	288.1475	92.64222	1066.814	1.62	3987.322	5331.924	952.518
333	154.53125	6	3	12	45	285.52056	92.53139	1276.108	1.62	3771.614	5341.133	945.37
CGR1	154.5319444	6	3	12	46	0.005	87.23639	131.885	1.62	5000.011	5131.731	1007.98
111	154.5319444	6	3	12	46	108.14889	267.36833	1066.812	1.62	3987.324	5331.951	952.714
333	154.5326389	6	3	12	47	105.52389	267.47778	1276.111	1.62	3771.623	5341.211	945.576
CGR1	154.5333333	6	3	12	48	180.00639	272.77361	131.886	1.62	5000.015	5131.731	1008.003
111	154.5416667	6	3	13	0	288.13889	92.63639	1066.793	1.62	3987.288	5331.769	952.625
CGR1	154.5451389	6	3	13	5	0.00278	87.23361	131.885	1.62	5000.006	5131.731	1007.986
111	154.5458333	6	3	13	6	108.13861	267.36583	1066.781	1.62	3987.295	5331.758	952.671
333	154.5458333	6	3	13	6	105.515	267.47444	1276.089	1.62	3771.596	5341.014	945.498
CGR1	154.5465278	6	3	13	7	180.00556	272.77361	131.886	1.62	5000.013	5131.731	1008.003
111	154.5520833	6	3	13	15	288.13111	92.63972	1066.769	1.62	3987.267	5331.619	952.565
333	154.5520833	6	3	13	15	285.50889	92.53056	1276.078	1.62	3771.575	5340.878	945.388
CGR1	154.5527778	6	3	13	16	0.00222	87.23472	131.886	1.62	5000.005	5131.732	1007.984
111	154.5527778	6	3	13	16	108.13472	267.36917	1066.768	1.62	3987.283	5331.689	952.731
333	154.5534722	6	3	13	17	105.51	267.4775	1276.076	1.62	3771.574	5340.901	945.571
CGR1	154.5534722	6	3	13	17	180.00389	272.77417	131.885	1.62	5000.009	5131.73	1008.004
111	154.5625	6	3	13	30	288.12694	92.64083	1066.75	1.62	3987.263	5331.541	952.545
333	154.5625	6	3	13	30	285.50139	92.52833	1276.054	1.62	3771.551	5340.712	945.439
CGR1	154.5631944	6	3	13	31	0.0025	87.23639	131.885	1.62	5000.006	5131.732	1007.98
111	154.5631944	6	3	13	31	108.12833	267.36806	1066.748	1.62	3987.265	5331.566	952.715
333	154.5638889	6	3	13	32	105.50361	267.47861	1276.056	1.62	3771.555	5340.759	945.597
CGR1	154.5638889	6	3	13	32	180.00139	272.77417	131.885	1.62	5000.003	5131.731	1008.005
111	154.5729167	6	3	13	45	288.11861	92.64444	1066.726	1.62	3987.241	5331.388	952.48
CGR1	154.7555556	6	3	18	8	0.00333	87.23861	131.885	1.62	5000.007	5131.732	1007.975
111	154.7555556	6	3	18	8	108.00528	267.36944	1066.337	1.62	3986.945	5329.264	952.756
333	154.75625	6	3	18	9	105.40306	267.48222	1275.674	1.62	3771.324	5338.506	945.693
CGR1	154.75625	6	3	18	9	180.005	272.77472	131.885	1.62	5000.012	5131.73	1008.006
111	154.7569444	6	3	18	10	288.00083	92.64083	1066.334	1.62	3986.93	5329.181	952.565
333	154.7569444	6	3	18	10	285.40111	92.53139	1275.673	1.62	3771.326	5338.459	945.389
CGR1	154.7576389	6	3	18	11	0.00583	87.23861	131.885	1.62	5000.013	5131.732	1007.975
111	154.7576389	6	3	18	11	108.00194	267.36972	1066.331	1.62	3986.932	5329.206	952.761
333	154.7583333	6	3	18	12	105.4025	267.48083	1275.673	1.62	3771.324	5338.494	945.658
CGR1	154.7583333	6	3	18	12	180.00667	272.77417	131.885	1.62	5000.015	5131.73	1008.004
111	154.7604167	6	3	18	15	288.00028	92.64167	1066.33	1.62	3986.931	5329.17	952.551
333	154.7604167	6	3	18	15	285.39556	92.53139	1275.667	1.62	3771.3	5338.341	945.387
CGR1	154.7611111	6	3	18	16	0.00417	87.23833	131.885	1.62	5000.01	5131.732	1007.975
111	154.7611111	6	3	18	16	108.00028	267.3675	1066.324	1.62	3986.93	5329.172	952.722
333	154.7618056	6	3	18	17	105.39944	267.48111	1275.665	1.62	3771.313	5338.424	945.666
CGR1	154.7618056	6	3	18	17	180.00528	272.77444	131.885	1.62	5000.012	5131.73	1008.005
111	154.7708333	6	3	18	30	287.99472	92.64111	1066.304	1.62	3986.924	5329.064	952.565
333	154.7708333	6	3	18	30	285.395	92.52833	1275.64	1.62	3771.32	5338.322	945.456
CGR1	154.7715278	6	3	18	31	0.00222	87.23806	131.885	1.62	5000.005	5131.731	1007.976
111	154.7715278	6	3	18	31	107.99389	267.36694	1066.301	1.62	3986.917	5329.054	952.713
333	154.7722222	6	3	18	32	105.39278	267.48	1275.642	1.62	3771.296	5338.272	945.644
CGR1	154.7722222	6	3	18	32	180.00556	272.7725	131.885	1.62	5000.013	5131.731	1008.001
111	154.78125	6	3	18	45	287.98417	92.63861	1066.283	1.62	3986.881	5328.871	952.61
333	154.78125	6	3	18	45	285.38694	92.52611	1275.623	1.62	3771.286	5338.144	945.506
CGR1	154.7819444	6	3	18	46	0.00306	87.23778	131.886	1.62	5000.007	5131.732	1007.977
111	154.7819444	6	3	18	46	107.98917	267.36806	1066.278	1.62	3986.909	5328.961	952.736
333	154.7826389	6	3	18	47	105.38583	267.48028	1275.622	1.62	3771.274	5338.119	945.651
CGR1	154.7826389	6	3	18	47	180.00333	272.77444	131.885	1.62	5000.008	5131.73	1008.005
111	154.7916667	6	3	19	0	287.97861	92.6425	1066.259	1.62	3986.875	5328.765	952.54
333	154.7916667	6	3	19	0	285.38028	92.52528	1275.6	1.62	3771.267	5337.994	945.531
CGR1	154.7923611	6	3	19	1	359.99972	87.23861	131.885	1.62	4999.999	5131.732	1007.975
111	154.7923611	6	3	19	1	107.97861	267.36917	1066.256	1.62	3986.869	5328.771	952.756
333	154.7930556	6	3	19	2	105.38194	267.48472	1275.606	1.62	3771.262	5338.034	945.753
222	154.7930556	6	3	19	2	88.67167	267.94833	1867.6	1.62	3134.08	4956.732	934.993
CGR1	154.7930556	6	3	19	2	180.00278	272.77444	131.885	1.62	5000.006	5131.73	1008.005
111	154.8020833	6	3	19	15	287.9725	92.64583	1066.237	1.62	3986.865	5328.653	952.477
333	154.8020833	6	3	19	15	285.37472	92.53111	1275.584	1.62	3771.257	5337.871	945.396
CGR1	154.8027778	6	3	19	16	0.00139	87.24111	131.886	1.62	5000.003	5131.733	1007.969
111	154.8027778	6	3	19	16	107.97528	267.36889	1066.233	1.62	3986.872	5328.705	952.75
333	154.8034722	6	3	19	17	105.37667	267.48472	1275.582	1.62	3771.254	5337.914	945.752
CGR1	154.8034722	6	3	19	17	180.00472	272.77639	131.885	1.62	5000.011	5131.73	1008.009
111	154.8125	6	3	19	30	287.96556	92.645	1066.214	1.62	3986.847	5328.523	952.492
333	154.8125	6	3	19	30	285.36944	92.53111	1275.562	1.62	3771.246	5337.751	945.399
CGR1	154.8131944	6	3	19	31	0.00306	87.23833	131.885	1.62	5000.007	5131.732	1007.975
111	154.8131944	6	3	19	31	107.96639	267.36833	1066.212	1.62	3986.842	5328.539	952.743
333	154.8138889	6	3	19	32	105.37111	267.48028	1275.561	1.62	3771.246	5337.788	945.651
CGR1	154.8138889	6	3	19	32	180.00417	272.77556	131.885	1.62	5000.009	5131.73	1008.008
111	154.8229167	6	3	19	45	287.96139	92.64528	1066.192	1.62	3986.844	5328.443	952.488
333	154.8229167	6	3	19	45	285.36611	92.53139	1275.539	1.62	3771.249	5337.676	945.391
CGR1	154.8236111	6	3	19	46	0.00222	87.23972	131.885	1.62	5000.005	5131.732	1007.972
111	154.8236111	6	3	19	46	107.96278	267.36722	1066.188	1.62	3986.844	5328.465	952.721
333	154.8243056	6	3	19	47	105.36833	267.48194	1275.538	1.62	3771.25	5337.724	945.689
