June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
111	155.0208333	6	4	0	30	287.83361	92.6475	1065.79	1.62	3986.498	5326.059	952.469
333	155.0208333	6	4	0	30	285.25944	92.52889	1275.179	1.62	3770.967	5335.288	945.463
CGR1	155.0215278	6	4	0	31	359.99861	87.23667	131.885	1.62	4999.997	5131.732	1007.979
111	155.0215278	6	4	0	31	107.83694	267.36278	1065.789	1.62	3986.508	5326.119	952.661
333	155.0222222	6	4	0	32	105.26139	267.48111	1275.184	1.62	3770.963	5335.336	945.691
CGR1	155.0222222	6	4	0	32	179.99694	272.77361	131.884	1.62	4999.993	5131.729	1008.003
111	155.03125	6	4	0	45	287.82944	92.64917	1065.769	1.62	3986.494	5325.975	952.437
333	155.03125	6	4	0	45	285.25583	92.52667	1275.162	1.62	3770.96	5335.21	945.514
CGR1	155.0319444	6	4	0	46	359.99944	87.23806	131.885	1.62	4999.999	5131.732	1007.976
111	155.0319444	6	4	0	46	107.82972	267.36167	1065.768	1.62	3986.489	5325.985	952.641
333	155.0326389	6	4	0	47	105.25722	267.48194	1275.163	1.62	3770.959	5335.24	945.705
CGR1	155.0326389	6	4	0	47	179.99833	272.77444	131.884	1.62	4999.996	5131.729	1008.005
111	155.0416667	6	4	1	0	287.82222	92.64806	1065.749	1.62	3986.471	5325.842	952.459
333	155.0416667	6	4	1	0	285.25139	92.5275	1275.141	1.62	3770.955	5335.11	945.501
CGR1	155.0423611	6	4	1	1	359.99917	87.2375	131.885	1.62	4999.998	5131.731	1007.977
111	155.0423611	6	4	1	1	107.82528	267.36278	1065.749	1.62	3986.48	5325.897	952.66
333	155.0430556	6	4	1	2	105.2525	267.48194	1275.147	1.62	3770.947	5335.136	945.71
CGR1	155.0430556	6	4	1	2	179.99778	272.77333	131.884	1.62	4999.995	5131.729	1008.003
111	155.0520833	6	4	1	15	287.81639	92.64861	1065.727	1.62	3986.46	5325.732	952.45
333	155.0520833	6	4	1	15	285.24833	92.52972	1275.121	1.62	3770.959	5335.039	945.451
CGR1	155.0527778	6	4	1	16	359.99944	87.23972	131.885	1.62	4999.999	5131.731	1007.972
111	155.0527778	6	4	1	16	107.8175	267.36472	1065.727	1.62	3986.454	5325.754	952.695
333	155.0534722	6	4	1	17	105.24806	267.485	1275.129	1.62	3770.935	5335.036	945.776
CGR1	155.0534722	6	4	1	17	179.99944	272.77556	131.884	1.62	4999.999	5131.729	1008.008
111	155.0625	6	4	1	30	287.81139	92.6475	1065.708	1.62	3986.448	5325.637	952.468
333	155.0625	6	4	1	30	285.23889	92.5275	1275.107	1.62	3770.915	5334.831	945.501
CGR1	155.0631944	6	4	1	31	359.99861	87.2375	131.885	1.62	4999.997	5131.732	1007.977
111	155.0631944	6	4	1	31	107.81028	267.36222	1065.707	1.62	3986.436	5325.623	952.651
333	155.0638889	6	4	1	32	105.24389	267.4825	1275.105	1.62	3770.936	5334.94	945.725
CGR1	155.0638889	6	4	1	32	179.99694	272.77333	131.885	1.62	4999.993	5131.73	1008.002
111	155.0729167	6	4	1	45	287.80389	92.64722	1065.685	1.62	3986.428	5325.5	952.476
333	155.0729167	6	4	1	45	285.23389	92.53056	1275.085	1.62	3770.911	5334.72	945.435
CGR1	155.0736111	6	4	1	46	359.99917	87.2375	131.885	1.62	4999.998	5131.732	1007.978
111	155.0736111	6	4	1	46	107.8025	267.36222	1065.686	1.62	3986.412	5325.479	952.653
333	155.0743056	6	4	1	47	105.23528	267.48278	1275.089	1.62	3770.902	5334.753	945.73
CGR1	155.0743056	6	4	1	47	179.99889	272.77333	131.885	1.62	4999.998	5131.731	1008.002
111	155.0833333	6	4	2	0	287.79667	92.64694	1065.664	1.62	3986.406	5325.362	952.482
333	155.0833333	6	4	2	0	285.22889	92.52833	1275.067	1.62	3770.897	5334.608	945.483
CGR1	155.0840278	6	4	2	1	359.99833	87.23889	131.885	1.62	4999.996	5131.731	1007.975
111	155.0840278	6	4	2	1	107.79694	267.36417	1065.664	1.62	3986.399	5325.372	952.689
333	155.0847222	6	4	2	2	105.23028	267.48222	1275.072	1.62	3770.889	5334.639	945.718
CGR1	155.0847222	6	4	2	2	179.99806	272.77361	131.883	1.62	4999.995	5131.729	1008.003
111	155.09375	6	4	2	15	287.78944	92.64694	1065.643	1.62	3986.385	5325.231	952.484
333	155.09375	6	4	2	15	285.22306	92.5275	1275.048	1.62	3770.879	5334.475	945.504
CGR1	155.0944444	6	4	2	16	359.99917	87.23722	131.885	1.62	4999.998	5131.731	1007.978
111	155.0944444	6	4	2	16	107.79194	267.36167	1065.642	1.62	3986.393	5325.277	952.643
333	155.0951389	6	4	2	17	105.22611	267.48167	1275.048	1.62	3770.889	5334.547	945.706
CGR1	155.0951389	6	4	2	17	179.99722	272.77278	131.884	1.62	4999.994	5131.729	1008.001
111	155.1041667	6	4	2	30	287.78417	92.64861	1065.623	1.62	3986.376	5325.131	952.453
333	155.1041667	6	4	2	30	285.21722	92.52694	1275.03	1.62	3770.863	5334.349	945.517
CGR1	155.1048611	6	4	2	31	359.99917	87.23528	131.885	1.62	4999.998	5131.732	1007.982
111	155.1048611	6	4	2	31	107.78444	267.36111	1065.621	1.62	3986.37	5325.136	952.637
333	155.1055556	6	4	2	32	105.22083	267.48417	1275.034	1.62	3770.868	5334.425	945.763
CGR1	155.1055556	6	4	2	32	179.99778	272.77444	131.885	1.62	4999.995	5131.73	1008.005
111	155.1145833	6	4	2	45	287.77917	92.64917	1065.601	1.62	3986.369	5325.038	952.446
333	155.1145833	6	4	2	45	285.21278	92.52778	1275.009	1.62	3770.858	5334.248	945.5
CGR1	155.1152778	6	4	2	46	359.99806	87.23694	131.885	1.62	4999.996	5131.732	1007.979
111	155.1152778	6	4	2	46	107.77944	267.36278	1065.598	1.62	3986.363	5325.041	952.667
333	155.1159722	6	4	2	47	105.215	267.48417	1275.007	1.62	3770.86	5334.294	945.765
CGR1	155.1159722	6	4	2	47	179.99778	272.77444	131.885	1.62	4999.995	5131.73	1008.005
111	155.125	6	4	3	0	287.76972	92.64833	1065.579	1.62	3986.335	5324.86	952.458
333	155.125	6	4	3	0	285.20722	92.52667	1274.985	1.62	3770.847	5334.123	945.522
CGR1	155.1256944	6	4	3	1	359.99833	87.23778	131.886	1.62	4999.996	5131.732	1007.977
111	155.1256944	6	4	3	1	107.77306	267.36306	1065.574	1.62	3986.35	5324.921	952.675
333	155.1263889	6	4	3	2	105.20861	267.48167	1274.986	1.62	3770.846	5334.154	945.708
CGR1	155.1263889	6	4	3	2	179.99778	272.775	131.885	1.62	4999.995	5131.73	1008.006
111	155.1354167	6	4	3	15	287.76472	92.64833	1065.556	1.62	3986.329	5324.767	952.463
333	155.1354167	6	4	3	15	285.2025	92.52556	1274.968	1.62	3770.835	5334.018	945.551
CGR1	155.1361111	6	4	3	16	359.99944	87.23639	131.885	1.62	4999.999	5131.731	1007.98
111	155.1361111	6	4	3	16	107.76583	267.36278	1065.555	1.62	3986.327	5324.787	952.671
333	155.1368056	6	4	3	17	105.20556	267.48306	1274.968	1.62	3770.844	5334.082	945.739
CGR1	155.1368056	6	4	3	17	180.00083	272.77194	131.885	1.62	5000.002	5131.73	1007.999
111	155.1458333	6	4	3	30	287.75611	92.64528	1065.534	1.62	3986.299	5324.608	952.52
333	155.1458333	6	4	3	30	285.19528	92.525	1274.948	1.62	3770.812	5333.857	945.561
CGR1	155.1465278	6	4	3	31	359.99861	87.23667	131.885	1.62	4999.997	5131.732	1007.98
111	155.1465278	6	4	3	31	107.76	267.3625	1065.533	1.62	3986.314	5324.676	952.668
333	155.1472222	6	4	3	32	105.19778	267.485	1274.95	1.62	3770.815	5333.911	945.783
CGR1	155.1472222	6	4	3	32	179.99806	272.77139	131.885	1.62	4999.995	5131.731	1007.998
111	155.15625	6	4	3	45	287.75056	92.64972	1065.51	1.62	3986.293	5324.501	952.438
333	155.15625	6	4	3	45	285.19167	92.52667	1274.925	1.62	3770.814	5333.772	945.528
CGR1	155.1569444	6	4	3	46	0.00083	87.23778	131.886	1.62	5000.002	5131.732	1007.977
111	155.1569444	6	4	3	46	107.75278	267.36111	1065.51	1.62	3986.296	5324.541	952.64
333	155.1576389	6	4	3	47	105.19417	267.48222	1274.93	1.62	3770.815	5333.828	945.725
CGR1	155.1576389	6	4	3	47	179.99833	272.77306	131.884	1.62	4999.996	5131.73	1008.002
111	155.1666667	6	4	4	0	287.74528	92.65028	1065.489	1.62	3986.284	5324.401	952.431
333	155.1666667	6	4	4	0	285.18611	92.52639	1274.907	1.62	3770.798	5333.647	945.536
CGR1	155.1673611	6	4	4	1	359.99917	87.23861	131.885	1.62	4999.998	5131.731	1007.975
111	155.1673611	6	4	4	1	107.7475	267.36139	1065.486	1.62	3986.29	5324.443	952.648
333	155.1680556	6	4	4	2	105.18861	267.48583	1274.909	1.62	3770.799	5333.703	945.805
CGR1	155.1680556	6	4	4	2	180	272.77556	131.885	1.62	5000	5131.73	1008.008
111	155.1770833	6	4	4	15	287.73833	92.64778	1065.466	1.62	3986.265	5324.274	952.477
333	155.1770833	6	4	4	15	285.17972	92.52639	1274.885	1.62	3770.782	5333.505	945.534
CGR1	155.1777778	6	4	4	16	359.99889	87.23667	131.885	1.62	4999.997	5131.732	1007.98
111	155.1777778	6	4	4	16	107.73889	267.35944	1065.464	1.62	3986.265	5324.285	952.613
333	155.1784722	6	4	4	17	105.18222	267.4825	1274.881	1.62	3770.792	5333.557	945.733
CGR1	155.1784722	6	4	4	17	179.99889	272.7725	131.885	1.62	4999.998	5131.731	1008.001
111	155.1875	6	4	4	30	287.73056	92.65333	1065.442	1.62	3986.247	5324.124	952.375
333	155.1875	6	4	4	30	285.175	92.52889	1274.865	1.62	3770.777	5333.4	945.483
CGR1	155.1881944	6	4	4	31	359.99972	87.23861	131.885	1.62	4999.999	5131.732	1007.975
111	155.1881944	6	4	4	31	107.73278	267.35944	1065.443	1.62	3986.249	5324.168	952.615
333	155.1888889	6	4	4	32	105.1775	267.48583	1274.867	1.62	3770.776	5333.456	945.807
CGR1	155.1888889	6	4	4	32	179.99972	272.77472	131.885	1.62	4999.999	5131.73	1008.005
111	155.1979167	6	4	4	45	287.72472	92.65	1065.42	1.62	3986.233	5324.015	952.439
333	155.1979167	6	4	4	45	285.16861	92.52833	1274.847	1.62	3770.756	5333.252	945.491
CGR1	155.1986111	6	4	4	46	359.99861	87.23667	131.885	1.62	4999.997	5131.732	1007.98
111	155.1986111	6	4	4	46	107.72472	267.35833	1065.417	1.62	3986.23	5324.019	952.593
333	155.1993056	6	4	4	47	105.17167	267.4825	1274.843	1.62	3770.768	5333.321	945.732
CGR1	155.1993056	6	4	4	47	179.9975	272.77306	131.885	1.62	4999.994	5131.731	1008.002
111	155.2083333	6	4	5	0	287.7175	92.65083	1065.397	1.62	3986.216	5323.882	952.423
333	155.2083333	6	4	5	0	285.16278	92.52833	1274.821	1.62	3770.747	5333.122	945.491
CGR1	155.2090278	6	4	5	1	0.00028	87.23778	131.885	1.62	5000.001	5131.732	1007.977
111	155.2090278	6	4	5	1	107.71778	267.35917	1065.392	1.62	3986.213	5323.886	952.608
333	155.2097222	6	4	5	2	105.16472	267.48444	1274.823	1.62	3770.744	5333.168	945.777
CGR1	155.2097222	6	4	5	2	179.99833	272.77472	131.884	1.62	4999.996	5131.729	1008.006
111	155.21875	6	4	5	15	287.71111	92.65444	1065.375	1.62	3986.202	5323.759	952.357
333	155.21875	6	4	5	15	285.15833	92.5275	1274.803	1.62	3770.738	5333.021	945.515
CGR1	155.2194444	6	4	5	16	359.99944	87.23917	131.885	1.62	4999.999	5131.732	1007.974
111	155.2194444	6	4	5	16	107.7125	267.36028	1065.373	1.62	3986.201	5323.79	952.632
333	155.2201389	6	4	5	17	105.16083	267.48417	1274.803	1.62	3770.741	5333.08	945.773
CGR1	155.2201389	6	4	5	17	179.99917	272.77222	131.886	1.62	4999.998	5131.731	1008
111	155.2291667	6	4	5	30	287.70278	92.65083	1065.35	1.62	3986.177	5323.605	952.425
333	155.2291667	6	4	5	30	285.1525	92.52583	1274.781	1.62	3770.725	5332.895	945.551
CGR1	155.2298611	6	4	5	31	359.99833	87.23639	131.885	1.62	4999.996	5131.731	1007.98
111	155.2298611	6	4	5	31	107.70556	267.35583	1065.347	1.62	3986.188	5323.654	952.551
333	155.2305556	6	4	5	32	105.15278	267.48222	1274.78	1.62	3770.72	5332.901	945.732
CGR1	155.2305556	6	4	5	32	179.99972	272.77167	131.885	1.62	4999.999	5131.731	1007.999
111	155.2395833	6	4	5	45	287.69694	92.65139	1065.326	1.62	3986.167	5323.497	952.418
333	155.2395833	6	4	5	45	285.14694	92.52778	1274.758	1.62	3770.715	5332.766	945.512
CGR1	155.2402778	6	4	5	46	359.99944	87.23972	131.885	1.62	4999.999	5131.732	1007.972
111	155.2402778	6	4	5	46	107.69889	267.35944	1065.325	1.62	3986.169	5323.533	952.62
333	155.2409722	6	4	5	47	105.14889	267.48278	1274.755	1.62	3770.72	5332.811	945.746
CGR1	155.2409722	6	4	5	47	180.00028	272.77583	131.885	1.62	5000.001	5131.73	1008.008
111	155.25	6	4	6	0	287.69028	92.64972	1065.306	1.62	3986.147	5323.372	952.445
333	155.25	6	4	6	0	285.14056	92.52722	1274.741	1.62	3770.694	5332.625	945.524
CGR1	155.2506944	6	4	6	1	359.99917	87.2375	131.885	1.62	4999.998	5131.732	1007.977
111	155.2506944	6	4	6	1	107.69222	267.3575	1065.303	1.62	3986.154	5323.406	952.582
333	155.2513889	6	4	6	2	105.1425	267.48417	1274.742	1.62	3770.695	5332.674	945.776
CGR1	155.2513889	6	4	6	2	179.99861	272.77333	131.885	1.62	4999.997	5131.73	1008.002
111	155.2604167	6	4	6	15	287.68556	92.64806	1065.281	1.62	3986.142	5323.28	952.482
333	155.2604167	6	4	6	15	285.13472	92.52278	1274.718	1.62	3770.678	5332.494	945.621
CGR1	155.2611111	6	4	6	16	359.99833	87.23778	131.885	1.62	4999.996	5131.732	1007.977
111	155.2611111	6	4	6	16	107.685	267.35806	1065.281	1.62	3986.135	5323.274	952.594
333	155.2618056	6	4	6	17	105.13861	267.48194	1274.717	1.62	3770.698	5332.582	945.727
CGR1	155.2618056	6	4	6	17	179.99806	272.77389	131.886	1.62	4999.995	5131.731	1008.004
111	155.2708333	6	4	6	30	287.67806	92.65167	1065.259	1.62	3986.125	5323.144	952.412
333	155.2708333	6	4	6	30	285.13056	92.52472	1274.695	1.62	3770.679	5332.401	945.582
CGR1	155.2715278	6	4	6	31	359.99889	87.23639	131.885	1.62	4999.998	5131.731	1007.98
111	155.2715278	6	4	6	31	107.67972	267.35694	1065.258	1.62	3986.127	5323.173	952.574
333	155.2722222	6	4	6	32	105.13222	267.48333	1274.7	1.62	3770.676	5332.439	945.756
CGR1	155.2722222	6	4	6	32	179.99778	272.77222	131.885	1.62	4999.995	5131.731	1008
111	155.28125	6	4	6	45	287.67056	92.65111	1065.235	1.62	3986.105	5323.002	952.424
333	155.28125	6	4	6	45	285.12333	92.52472	1274.675	1.62	3770.656	5332.242	945.578
CGR1	155.2819444	6	4	6	46	359.99972	87.23694	131.885	1.62	4999.999	5131.732	1007.979
111	155.2819444	6	4	6	46	107.67	267.35778	1065.233	1.62	3986.097	5322.995	952.591
333	155.2826389	6	4	6	47	105.12528	267.48417	1274.676	1.62	3770.658	5332.285	945.775
CGR1	155.2826389	6	4	6	47	179.99806	272.77333	131.885	1.62	4999.995	5131.73	1008.002
111	155.2916667	6	4	7	0	287.66417	92.65194	1065.213	1.62	3986.09	5322.882	952.412
333	155.2916667	6	4	7	0	285.11722	92.52722	1274.656	1.62	3770.641	5332.102	945.527
CGR1	155.2923611	6	4	7	1	359.99972	87.23833	131.885	1.62	4999.999	5131.732	1007.976
111	155.2923611	6	4	7	1	107.66556	267.35778	1065.212	1.62	3986.091	5322.907	952.592
333	155.2930556	6	4	7	2	105.12028	267.48389	1274.658	1.62	3770.646	5332.17	945.773
CGR1	155.2930556	6	4	7	2	179.99806	272.77444	131.884	1.62	4999.996	5131.729	1008.005
111	155.3020833	6	4	7	15	287.65694	92.65167	1065.189	1.62	3986.072	5322.747	952.417
333	155.3020833	6	4	7	15	285.11389	92.52806	1274.632	1.62	3770.646	5332.025	945.51
CGR1	155.3027778	6	4	7	16	0.00083	87.24028	131.885	1.62	5000.002	5131.732	1007.971
111	155.3027778	6	4	7	16	107.65917	267.3575	1065.188	1.62	3986.079	5322.79	952.59
333	155.3034722	6	4	7	17	105.11417	267.48194	1274.634	1.62	3770.636	5332.034	945.728
CGR1	155.3034722	6	4	7	17	179.99889	272.77278	131.885	1.62	4999.997	5131.731	1008.001
111	155.3125	6	4	7	30	287.65056	92.65389	1065.165	1.62	3986.061	5322.626	952.378
333	155.3125	6	4	7	30	285.10694	92.52611	1274.612	1.62	3770.622	5331.869	945.553
CGR1	155.3131944	6	4	7	31	359.9975	87.23833	131.885	1.62	4999.994	5131.732	1007.976
111	155.3131944	6	4	7	31	107.65028	267.3575	1065.165	1.62	3986.05	5322.625	952.588
333	155.3138889	6	4	7	32	105.10889	267.48306	1274.613	1.62	3770.625	5331.917	945.754
CGR1	155.3138889	6	4	7	32	179.99972	272.7725	131.885	1.62	5000	5131.731	1008.001
111	155.3229167	6	4	7	45	287.645	92.6525	1065.142	1.62	3986.051	5322.522	952.402
333	155.3229167	6	4	7	45	285.10167	92.5225	1274.594	1.62	3770.606	5331.753	945.631
CGR1	155.3236111	6	4	7	46	359.99972	87.23611	131.884	1.62	4999.999	5131.73	1007.981
111	155.3236111	6	4	7	46	107.64556	267.35639	1065.14	1.62	3986.048	5322.534	952.568
333	155.3243056	6	4	7	47	105.10417	267.48417	1274.592	1.62	3770.618	5331.812	945.78
CGR1	155.325	6	4	7	48	180.00083	272.77194	131.885	1.62	5000.002	5131.731	1007.999
111	155.3333333	6	4	8	0	287.63694	92.65222	1065.119	1.62	3986.028	5322.374	952.409
333	155.3333333	6	4	8	0	285.09444	92.52361	1274.57	1.62	3770.589	5331.594	945.61
CGR1	155.3340278	6	4	8	1	359.99611	87.23806	131.885	1.62	4999.991	5131.732	1007.976
111	155.3340278	6	4	8	1	107.63889	267.355	1065.119	1.62	3986.031	5322.406	952.546
333	155.3347222	6	4	8	2	105.09694	267.48389	1274.573	1.62	3770.593	5331.647	945.776
CGR1	155.3354167	6	4	8	3	179.99639	272.77944	131.885	1.62	4999.992	5131.73	1008.017
111	155.34375	6	4	8	15	287.62694	92.65	1065.098	1.62	3985.988	5322.187	952.454
333	155.34375	6	4	8	15	285.08611	92.52556	1274.552	1.62	3770.559	5331.406	945.567
CGR1	155.3444444	6	4	8	16	359.99278	87.23806	131.886	1.62	4999.984	5131.732	1007.976
111	155.3451389	6	4	8	17	107.62528	267.35583	1065.094	1.62	3985.978	5322.16	952.561
333	155.3451389	6	4	8	17	105.08806	267.48417	1274.549	1.62	3770.565	5331.455	945.782
CGR1	155.3458333	6	4	8	18	179.99528	272.77639	131.886	1.62	4999.989	5131.731	1008.009
111	155.3541667	6	4	8	30	287.61972	92.65278	1065.072	1.62	3985.974	5322.052	952.404
CGR1	155.3548611	6	4	8	31	359.99472	87.23778	131.886	1.62	4999.988	5131.732	1007.977
111	155.3548611	6	4	8	31	107.61917	267.35722	1065.071	1.62	3985.964	5322.043	952.588
333	155.3555556	6	4	8	32	105.08194	267.48583	1274.528	1.62	3770.549	5331.317	945.819
CGR1	155.35625	6	4	8	33	179.99472	272.77528	131.886	1.62	4999.988	5131.731	1008.007
111	155.3645833	6	4	8	45	287.61444	92.65111	1065.051	1.62	3985.965	5321.954	952.433
333	155.3645833	6	4	8	45	285.07639	92.52361	1274.509	1.62	3770.543	5331.19	945.611
CGR1	155.3652778	6	4	8	46	359.99556	87.23778	131.885	1.62	4999.99	5131.732	1007.977
111	155.3652778	6	4	8	46	107.61583	267.35444	1065.05	1.62	3985.968	5321.979	952.54
333	155.3659722	6	4	8	47	105.0775	267.48444	1274.51	1.62	3770.541	5331.213	945.793
CGR1	155.3659722	6	4	8	47	179.99722	272.77528	131.885	1.62	4999.993	5131.73	1008.007
111	155.375	6	4	9	0	287.60972	92.6525	1065.027	1.62	3985.962	5321.864	952.409
333	155.375	6	4	9	0	285.0725	92.52806	1274.488	1.62	3770.545	5331.097	945.511
CGR1	155.3756944	6	4	9	1	359.99944	87.23778	131.886	1.62	4999.999	5131.732	1007.977
111	155.3756944	6	4	9	1	107.61417	267.35889	1065.027	1.62	3985.977	5321.942	952.623
333	155.3763889	6	4	9	2	105.07722	267.48361	1274.492	1.62	3770.558	5331.207	945.776
CGR1	155.3763889	6	4	9	2	180.00111	272.77583	131.885	1.62	5000.002	5131.73	1008.008
111	155.3854167	6	4	9	15	287.60639	92.6525	1065.007	1.62	3985.963	5321.799	952.408
333	155.3854167	6	4	9	15	285.06917	92.52861	1274.47	1.62	3770.543	5331.021	945.504
CGR1	155.3861111	6	4	9	16	359.99861	87.23667	131.885	1.62	4999.997	5131.732	1007.979
111	155.3861111	6	4	9	16	107.60722	267.35889	1065.003	1.62	3985.961	5321.813	952.623
333	155.3868056	6	4	9	17	105.07083	267.48528	1274.47	1.62	3770.54	5331.06	945.812
CGR1	155.3868056	6	4	9	17	180.00083	272.77583	131.885	1.62	5000.002	5131.73	1008.008
111	155.3958333	6	4	9	30	287.60111	92.65167	1064.982	1.62	3985.955	5321.696	952.429
333	155.3958333	6	4	9	30	285.06472	92.52667	1274.45	1.62	3770.536	5330.925	945.545
CGR1	155.3965278	6	4	9	31	359.99917	87.23583	131.886	1.62	4999.998	5131.732	1007.981
111	155.3965278	6	4	9	31	107.60028	267.35667	1064.979	1.62	3985.946	5321.682	952.585
333	155.3972222	6	4	9	32	105.06611	267.48306	1274.45	1.62	3770.534	5330.954	945.766
CGR1	155.3972222	6	4	9	32	179.9975	272.77639	131.885	1.62	4999.994	5131.73	1008.01
111	155.40625	6	4	9	45	287.59111	92.65111	1064.96	1.62	3985.918	5321.51	952.439
333	155.40625	6	4	9	45	285.0575	92.52472	1274.429	1.62	3770.512	5330.763	945.592
CGR1	155.4069444	6	4	9	46	359.99694	87.23778	131.885	1.62	4999.993	5131.732	1007.977
111	155.4069444	6	4	9	46	107.59333	267.35583	1064.957	1.62	3985.929	5321.554	952.569
333	155.4076389	6	4	9	47	105.06111	267.48444	1274.43	1.62	3770.524	5330.846	945.795
CGR1	155.4083333	6	4	9	48	179.99861	272.77583	131.885	1.62	4999.997	5131.73	1008.008
111	155.4166667	6	4	10	0	287.5925	92.65333	1064.936	1.62	3985.952	5321.529	952.395
333	155.4166667	6	4	10	0	285.05917	92.52361	1274.409	1.62	3770.54	5330.793	945.618
CGR1	155.4173611	6	4	10	1	0.00389	87.23722	131.886	1.62	5000.009	5131.732	1007.978
111	155.4173611	6	4	10	1	107.59194	267.35639	1064.934	1.62	3985.943	5321.521	952.581
333	155.4180556	6	4	10	2	105.05861	267.48333	1274.41	1.62	3770.53	5330.785	945.77
CGR1	155.4180556	6	4	10	2	180.00361	272.7725	131.885	1.62	5000.009	5131.731	1008.001
111	155.4270833	6	4	10	15	287.58278	92.65528	1064.917	1.62	3985.918	5321.352	952.364
333	155.4270833	6	4	10	15	285.04972	92.52444	1274.391	1.62	3770.504	5330.588	945.597
CGR1	155.4277778	6	4	10	16	359.99917	87.23694	131.885	1.62	4999.998	5131.732	1007.979
111	155.4277778	6	4	10	16	107.58028	267.35528	1064.915	1.62	3985.897	5321.31	952.559
333	155.4284722	6	4	10	17	105.05056	267.48667	1274.391	1.62	3770.497	5330.605	945.845
CGR1	155.4284722	6	4	10	17	179.99972	272.77389	131.885	1.62	4999.999	5131.73	1008.004
111	155.4375	6	4	10	30	287.57944	92.65222	1064.895	1.62	3985.917	5321.288	952.422
333	155.4375	6	4	10	30	285.04833	92.525	1274.373	1.62	3770.515	5330.555	945.586
CGR1	155.4381944	6	4	10	31	0.00333	87.23778	131.885	1.62	5000.008	5131.732	1007.977
111	155.4381944	6	4	10	31	107.58111	267.35694	1064.892	1.62	3985.921	5321.316	952.59
333	155.4388889	6	4	10	32	105.0475	267.48667	1274.373	1.62	3770.499	5330.539	945.847
CGR1	155.4388889	6	4	10	32	180.00556	272.77611	131.885	1.62	5000.013	5131.73	1008.009
111	155.4479167	6	4	10	45	287.57	92.65583	1064.874	1.62	3985.886	5321.11	952.355
333	155.4479167	6	4	10	45	285.03944	92.52361	1274.353	1.62	3770.482	5330.359	945.617
CGR1	155.4486111	6	4	10	46	0	87.23361	131.886	1.62	5000	5131.732	1007.987
111	155.4486111	6	4	10	46	107.57194	267.35361	1064.872	1.62	3985.891	5321.145	952.529
333	155.4493056	6	4	10	47	105.04167	267.48222	1274.354	1.62	3770.487	5330.406	945.747
CGR1	155.45	6	4	10	48	180.00222	272.77417	131.885	1.62	5000.005	5131.731	1008.004
111	155.4583333	6	4	11	0	287.56361	92.655	1064.852	1.62	3985.872	5320.995	952.372
333	155.4583333	6	4	11	0	285.03528	92.52639	1274.336	1.62	3770.476	5330.263	945.556
CGR1	155.4590278	6	4	11	1	0.00083	87.23861	131.885	1.62	5000.002	5131.732	1007.975
111	155.4590278	6	4	11	1	107.56333	267.35472	1064.85	1.62	3985.864	5320.991	952.555
333	155.4597222	6	4	11	2	105.035	267.48389	1274.335	1.62	3770.465	5330.255	945.787
CGR1	155.4597222	6	4	11	2	180.00194	272.77278	131.885	1.62	5000.005	5131.731	1008.001
111	155.46875	6	4	11	15	287.5575	92.65389	1064.832	1.62	3985.856	5320.88	952.395
333	155.46875	6	4	11	15	285.02972	92.52556	1274.314	1.62	3770.464	5330.14	945.576
CGR1	155.4694444	6	4	11	16	0.00139	87.23472	131.885	1.62	5000.003	5131.731	1007.984
111	155.4694444	6	4	11	16	107.55972	267.35778	1064.83	1.62	3985.861	5320.921	952.612
333	155.4701389	6	4	11	17	105.03111	267.4875	1274.316	1.62	3770.458	5330.172	945.869
CGR1	155.4701389	6	4	11	17	180.00111	272.77333	131.885	1.62	5000.003	5131.731	1008.002
111	155.4791667	6	4	11	30	287.5525	92.65611	1064.809	1.62	3985.85	5320.782	952.354
333	155.4791667	6	4	11	30	285.02472	92.52639	1274.294	1.62	3770.456	5330.027	945.563
CGR1	155.4798611	6	4	11	31	0.00167	87.23639	131.884	1.62	5000.004	5131.731	1007.98
111	155.4798611	6	4	11	31	107.55167	267.35528	1064.809	1.62	3985.838	5320.772	952.564
333	155.4805556	6	4	11	32	105.02611	267.48667	1274.294	1.62	3770.449	5330.055	945.854
CGR1	155.4805556	6	4	11	32	180.00222	272.77639	131.885	1.62	5000.005	5131.73	1008.01
111	155.4895833	6	4	11	45	287.54472	92.65361	1064.788	1.62	3985.825	5320.638	952.398
333	155.4895833	6	4	11	45	285.01694	92.52417	1274.275	1.62	3770.428	5329.855	945.609
CGR1	155.4902778	6	4	11	46	0	87.23611	131.885	1.62	5000	5131.731	1007.981
111	155.4902778	6	4	11	46	107.54417	267.35333	1064.786	1.62	3985.819	5320.633	952.53
333	155.4909722	6	4	11	47	105.01944	267.48333	1274.277	1.62	3770.433	5329.911	945.775
CGR1	155.4909722	6	4	11	47	180.00111	272.77139	131.885	1.62	5000.003	5131.73	1007.998
111	155.5	6	4	12	0	287.53778	92.65444	1064.77	1.62	3985.805	5320.512	952.383
333	155.5	6	4	12	0	285.01389	92.52389	1274.259	1.62	3770.425	5329.785	945.616
CGR1	155.5006944	6	4	12	1	359.99861	87.23444	131.886	1.62	4999.997	5131.732	1007.984
111	155.5006944	6	4	12	1	107.53833	267.35167	1064.766	1.62	3985.806	5320.521	952.501
333	155.5013889	6	4	12	2	105.015	267.48528	1274.261	1.62	3770.421	5329.812	945.823
