---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 11, 21, 15,21.53150,94.33200,23.0160,5008.4230,5021.3480,999.9620
REF,5, 11, 21, 15,201.53380,265.66030,23.0150,5008.4240,5021.3480,999.9580
REF,5, 11, 21, 30,21.53130,94.33380,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 21, 30,201.53290,265.66160,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 21, 45,21.53200,94.33240,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 21, 45,201.53370,265.66030,23.0160,5008.4240,5021.3480,999.9580
REF,5, 11, 22, 0,21.53290,94.33110,23.0160,5008.4240,5021.3490,999.9620
REF,5, 11, 22, 0,201.53380,265.66010,23.0160,5008.4240,5021.3480,999.9580
REF,5, 11, 22, 15,21.53260,94.33260,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 22, 15,201.53380,265.66060,23.0150,5008.4240,5021.3480,999.9590
REF,5, 11, 22, 30,21.53330,94.33290,23.0150,5008.4230,5021.3480,999.9610
REF,5, 11, 22, 30,201.53400,265.66050,23.0160,5008.4240,5021.3480,999.9590
REF,5, 12, 0, 32,21.53390,94.33240,23.0150,5008.4240,5021.3470,999.9610
REF,5, 12, 0, 32,201.53530,265.66000,23.0150,5008.4240,5021.3470,999.9580
REF,5, 12, 0, 34,201.53630,265.65860,23.0150,5008.4240,5021.3470,999.9580
111,5, 12, 0, 36,358.69480,267.75910,1941.4490,5044.1890,3060.5180,926.0420
REF,5, 12, 0, 37,201.53720,265.66020,23.0150,5008.4250,5021.3470,999.9580
REF,5, 12, 0, 37,21.53590,94.33470,23.0150,5008.4240,5021.3470,999.9600
REF,5, 12, 0, 39,201.53700,265.66160,23.0160,5008.4250,5021.3480,999.9590
REF,5, 12, 0, 39,21.53600,94.33560,23.0150,5008.4240,5021.3470,999.9600
REF,5, 12, 0, 41,201.53660,265.66110,23.0160,5008.4250,5021.3480,999.9590
REF,5, 12, 0, 42,21.53600,94.33440,23.0160,5008.4250,5021.3480,999.9610
REF,5, 12, 0, 43,201.53760,265.66100,23.0160,5008.4250,5021.3480,999.9590
REF,5, 12, 0, 44,21.53510,94.33410,23.0160,5008.4240,5021.3480,999.9610
REF,5, 12, 0, 45,201.53700,265.66030,23.0160,5008.4250,5021.3480,999.9580
REF,5, 12, 0, 45,21.53500,94.33430,23.0160,5008.4240,5021.3480,999.9610
REF,5, 12, 0, 47,201.53860,265.66140,23.0150,5008.4250,5021.3460,999.9590
REF,5, 12, 0, 48,21.53660,94.33460,23.0150,5008.4250,5021.3470,999.9610
111,5, 12, 0, 48,358.68980,267.76470,1941.2950,5044.3540,3060.6670,926.2390
REF,5, 12, 1, 0,201.53700,265.66140,23.0150,5008.4250,5021.3470,999.9590
REF,5, 12, 1, 0,21.53510,94.33420,23.0150,5008.4240,5021.3470,999.9610
111,5, 12, 1, 1,358.68740,267.76490,1941.1620,5044.4320,3060.8020,926.2500
REF,5, 12, 1, 15,201.53750,265.66130,23.0150,5008.4250,5021.3470,999.9590
REF,5, 12, 1, 15,21.53560,94.33510,23.0150,5008.4240,5021.3480,999.9600
111,5, 12, 1, 16,178.68580,92.23290,1940.9940,5044.4840,3060.9680,926.3340
REF,5, 12, 1, 30,201.53640,265.66110,23.0150,5008.4250,5021.3470,999.9590
REF,5, 12, 1, 30,21.53470,94.33480,23.0160,5008.4240,5021.3480,999.9600
111,5, 12, 1, 31,358.68520,267.76740,1940.8340,5044.5000,3061.1290,926.3490
REF,5, 12, 1, 45,201.53630,265.65930,23.0160,5008.4250,5021.3470,999.9580
REF,5, 12, 1, 45,21.53430,94.33270,23.0160,5008.4240,5021.3480,999.9610
REF,5, 12, 2, 0,201.53340,265.66140,23.0150,5008.4230,5021.3470,999.9590
REF,5, 12, 2, 0,21.53300,94.33450,23.0150,5008.4230,5021.3480,999.9610
111,5, 12, 2, 1,178.67570,92.22900,1940.4950,5044.8150,3061.4700,926.4820
REF,5, 12, 2, 15,201.53350,265.65980,23.0150,5008.4230,5021.3480,999.9580
REF,5, 12, 2, 15,21.53350,94.33370,23.0150,5008.4230,5021.3470,999.9610
REF,5, 12, 2, 30,201.53380,265.66010,23.0150,5008.4240,5021.3470,999.9580
REF,5, 12, 2, 45,201.53500,265.66040,23.0150,5008.4240,5021.3470,999.9590
REF,5, 12, 3, 0,201.53270,265.66150,23.0150,5008.4230,5021.3480,999.9590
REF,5, 12, 3, 0,21.53280,94.33400,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 3, 2,201.53100,265.66200,23.0150,5008.4220,5021.3480,999.9590
111,5, 12, 3, 3,358.67340,267.75980,1939.7860,5044.8740,3062.1940,926.1330
REF,5, 12, 3, 4,201.53350,265.66220,23.0150,5008.4230,5021.3480,999.9590
REF,5, 12, 3, 4,21.53170,94.33400,23.0160,5008.4230,5021.3480,999.9610
111,5, 12, 3, 6,21.53080,94.33410,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 3, 7,21.53070,94.33400,23.0150,5008.4220,5021.3480,999.9610
111,5, 12, 3, 8,178.66970,92.24920,1939.7330,5044.9980,3062.2630,925.8310
REF,5, 12, 3, 9,21.53200,94.33460,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 3, 9,201.53270,265.66260,23.0150,5008.4230,5021.3480,999.9590
REF,5, 12, 3, 15,21.53160,94.33390,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 3, 15,201.53250,265.66220,23.0150,5008.4230,5021.3480,999.9590
REF,5, 12, 3, 30,21.53170,94.33230,23.0150,5008.4230,5021.3480,999.9610
REF,5, 12, 3, 30,201.53140,265.66110,23.0150,5008.4230,5021.3480,999.9590
111,5, 12, 3, 46,358.66980,267.75430,1939.3040,5044.9860,3062.6860,925.9660
REF,5, 12, 4, 0,21.53200,94.33370,23.0150,5008.4230,5021.3480,999.9610
111,5, 12, 4, 1,358.66730,267.75300,1939.1370,5045.0680,3062.8570,925.9290
REF,5, 12, 4, 15,201.53120,265.66260,23.0150,5008.4220,5021.3480,999.9590
111,5, 12, 4, 31,178.65760,92.24330,1938.7860,5045.3860,3063.2100,926.0660
REF,5, 12, 4, 45,21.53040,94.33250,23.0150,5008.4220,5021.3480,999.9610
111,5, 12, 4, 46,178.65670,92.24020,1938.6150,5045.4130,3063.3780,926.1770
