---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
0,5000.0000,5000.0000,1000.0000
REF,5, 8, 23, 33,201.53970,265.66260,23.0150,5008.4260,5021.3470,999.9590
REG,5, 8, 23, 36,359.03540,267.82600,1988.3160,5033.4490,3013.3750,926.5430
REF,5, 8, 23, 37,201.53730,265.66290,23.0150,5008.4250,5021.3470,999.9600
REF,5, 8, 23, 37,21.53850,94.33500,23.0150,5008.4250,5021.3470,999.9600
REG,5, 8, 23, 37,179.03180,92.17050,1988.3020,5033.5720,3013.3860,926.6670
REG,5, 8, 23, 38,359.03600,267.82590,1988.2990,5033.4280,3013.3920,926.5390
REF,5, 8, 23, 45,201.53740,265.66350,23.0150,5008.4250,5021.3470,999.9600
REF,5, 8, 23, 45,21.53680,94.33400,23.0150,5008.4250,5021.3470,999.9610
REG,5, 8, 23, 46,179.03050,92.17060,1988.2160,5033.6180,3013.4740,926.6660
REG,5, 8, 23, 46,359.03500,267.82440,1988.2090,5033.4600,3013.4840,926.4910
REF,5, 9, 0, 0,201.53820,265.66250,23.0150,5008.4250,5021.3470,999.9590
REF,5, 9, 0, 0,21.53820,94.33420,23.0160,5008.4250,5021.3470,999.9610
REG,5, 9, 0, 1,179.02960,92.17000,1988.0540,5033.6460,3013.6350,926.6940
REG,5, 9, 0, 1,359.03310,267.82510,1988.0490,5033.5240,3013.6440,926.5230
REF,5, 9, 0, 15,201.53630,265.66360,23.0160,5008.4250,5021.3470,999.9600
REF,5, 9, 0, 15,21.53930,94.33430,23.0150,5008.4260,5021.3470,999.9610
REG,5, 9, 0, 15,179.02780,92.17080,1987.8890,5033.7040,3013.8010,926.6720
REG,5, 9, 0, 16,359.03160,267.82480,1987.8890,5033.5740,3013.8050,926.5190
REF,5, 9, 0, 30,201.53640,265.66270,23.0160,5008.4250,5021.3480,999.9590
REF,5, 9, 0, 30,21.53770,94.33380,23.0160,5008.4250,5021.3470,999.9610
REG,5, 9, 0, 31,179.02630,92.17080,1987.7280,5033.7560,3013.9630,926.6750
REG,5, 9, 0, 31,359.03000,267.82360,1987.7250,5033.6250,3013.9710,926.4810
REF,5, 9, 0, 45,201.53930,265.66130,23.0160,5008.4260,5021.3470,999.9590
REF,5, 9, 0, 45,21.53460,94.33240,23.0160,5008.4240,5021.3480,999.9610
REG,5, 9, 0, 45,179.02380,92.17130,1987.5690,5033.8400,3014.1240,926.6660
REG,5, 9, 0, 46,359.02800,267.82270,1987.5630,5033.6930,3014.1360,926.4570
REF,5, 9, 1, 0,201.53860,265.66120,23.0150,5008.4250,5021.3470,999.9590
REF,5, 9, 1, 0,21.53290,94.33220,23.0160,5008.4230,5021.3480,999.9610
REG,5, 9, 1, 1,179.02260,92.17370,1987.4060,5033.8760,3014.2910,926.5880
REG,5, 9, 1, 1,359.02720,267.82140,1987.3980,5033.7180,3014.3020,926.4200
REF,5, 9, 1, 15,201.53890,265.66020,23.0150,5008.4250,5021.3470,999.9580
REF,5, 9, 1, 15,21.53480,94.33050,23.0150,5008.4240,5021.3480,999.9620
REG,5, 9, 1, 16,179.02210,92.17520,1987.2440,5033.8930,3014.4550,926.5440
REG,5, 9, 1, 16,359.02530,267.82150,1987.2380,5033.7790,3014.4640,926.4300
REF,5, 9, 1, 30,201.53990,265.66180,23.0160,5008.4260,5021.3470,999.9590
REF,5, 9, 1, 30,21.53480,94.33180,23.0160,5008.4240,5021.3480,999.9620
REG,5, 9, 1, 31,179.01910,92.17500,1987.0780,5033.9930,3014.6230,926.5540
