---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 9, 20, 30,21.53120,94.33500,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 20, 31,178.92260,92.19790,1974.9130,5037.1070,3026.8670,926.2270
111,5, 9, 20, 31,358.92640,267.79630,1974.9060,5036.9770,3026.8790,926.0260
REF,5, 9, 20, 45,201.53250,265.66190,23.0160,5008.4230,5021.3480,999.9590
REF,5, 9, 20, 45,21.53060,94.33460,23.0160,5008.4230,5021.3480,999.9600
111,5, 9, 20, 46,178.92210,92.19770,1974.7530,5037.1230,3027.0270,926.2380
111,5, 9, 20, 46,358.92540,267.79650,1974.7560,5037.0080,3027.0300,926.0370
REF,5, 9, 21, 0,201.53380,265.66080,23.0150,5008.4240,5021.3480,999.9590
REF,5, 9, 21, 0,21.53100,94.33350,23.0160,5008.4230,5021.3490,999.9610
111,5, 9, 21, 1,178.92190,92.19610,1974.6060,5037.1260,3027.1720,926.2980
111,5, 9, 21, 1,358.92490,267.79700,1974.6040,5037.0220,3027.1810,926.0620
REF,5, 9, 21, 15,201.53290,265.66340,23.0150,5008.4230,5021.3480,999.9600
REF,5, 9, 21, 15,21.52990,94.33470,23.0160,5008.4220,5021.3490,999.9600
111,5, 9, 21, 56,358.92290,267.80030,1974.0410,5037.0810,3027.7400,926.1970
REF,5, 9, 21, 56,201.53240,265.66200,23.0150,5008.4230,5021.3480,999.9590
REF,5, 9, 21, 56,21.53290,94.33360,23.0150,5008.4230,5021.3480,999.9610
111,5, 9, 21, 57,178.91880,92.19150,1974.0290,5037.2220,3027.7440,926.4790
111,5, 9, 21, 57,358.92260,267.80080,1974.0250,5037.0890,3027.7560,926.2150
REF,5, 9, 22, 0,201.53410,265.66220,23.0160,5008.4240,5021.3480,999.9590
REF,5, 9, 22, 0,21.53290,94.33500,23.0160,5008.4230,5021.3480,999.9600
111,5, 9, 22, 1,178.91790,92.19280,1973.9900,5037.2520,3027.7860,926.4350
111,5, 9, 22, 1,358.92230,267.80060,1973.9850,5037.0990,3027.7960,926.2100
REF,5, 9, 22, 15,201.53350,265.66240,23.0150,5008.4240,5021.3480,999.9590
REF,5, 9, 22, 15,21.53220,94.33530,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 22, 16,178.91700,92.19090,1973.8380,5037.2790,3027.9360,926.5080
111,5, 9, 22, 16,358.92180,267.80110,1973.8330,5037.1140,3027.9480,926.2330
REF,5, 9, 22, 30,201.53190,265.66280,23.0160,5008.4230,5021.3480,999.9590
REF,5, 9, 22, 30,21.53310,94.33530,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 22, 31,178.91570,92.19030,1973.6800,5037.3220,3028.0930,926.5340
111,5, 9, 22, 31,358.92010,267.80410,1973.6750,5037.1690,3028.1030,926.3400
REF,5, 9, 22, 45,201.53240,265.66280,23.0150,5008.4230,5021.3480,999.9590
REF,5, 9, 22, 45,21.53200,94.33530,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 22, 46,178.91530,92.19050,1973.5260,5037.3320,3028.2480,926.5320
111,5, 9, 22, 46,358.91950,267.80430,1973.5240,5037.1870,3028.2540,926.3530
REF,5, 9, 23, 0,201.53570,265.66290,23.0160,5008.4240,5021.3480,999.9590
REF,5, 9, 23, 0,21.53250,94.33560,23.0150,5008.4230,5021.3480,999.9600
111,5, 9, 23, 1,178.91560,92.18950,1973.3680,5037.3200,3028.4040,926.5730
111,5, 9, 23, 1,358.91880,267.80510,1973.3650,5037.2080,3028.4120,926.3880
REF,5, 9, 23, 15,201.53410,265.66290,23.0160,5008.4240,5021.3480,999.9590
REF,5, 9, 23, 15,21.53340,94.33410,23.0160,5008.4240,5021.3480,999.9610
111,5, 9, 23, 16,178.91500,92.18950,1973.2160,5037.3370,3028.5560,926.5790
111,5, 9, 23, 16,358.91900,267.80660,1973.2090,5037.2000,3028.5650,926.4460
REF,5, 9, 23, 30,201.53540,265.66290,23.0150,5008.4240,5021.3470,999.9600
REF,5, 9, 23, 30,21.53220,94.33390,23.0160,5008.4230,5021.3480,999.9610
111,5, 9, 23, 31,178.91290,92.18680,1973.0550,5037.4080,3028.7150,926.6780
111,5, 9, 23, 31,358.91760,267.80660,1973.0530,5037.2440,3028.7230,926.4500
REF,5, 9, 23, 45,201.53220,265.66270,23.0150,5008.4230,5021.3480,999.9590
REF,5, 9, 23, 45,21.53140,94.33440,23.0160,5008.4230,5021.3480,999.9610
111,5, 9, 23, 45,178.91300,92.18960,1972.8990,5037.4000,3028.8750,926.5890
111,5, 9, 23, 46,358.91650,267.80530,1972.8950,5037.2790,3028.8830,926.4130
REF,5, 10, 0, 0,201.53130,265.66280,23.0160,5008.4230,5021.3480,999.9590
REF,5, 10, 0, 0,21.53380,94.33390,23.0160,5008.4240,5021.3480,999.9610
111,5, 10, 0, 1,178.91140,92.19000,1972.7410,5037.4540,3029.0340,926.5790
111,5, 10, 0, 1,358.91450,267.80490,1972.7360,5037.3470,3029.0440,926.4030
REF,5, 10, 0, 15,201.53130,265.66340,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 0, 15,21.53310,94.33420,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 0, 15,178.90970,92.19020,1972.5800,5037.5080,3029.1960,926.5790
111,5, 10, 0, 16,358.91380,267.80540,1972.5760,5037.3670,3029.2030,926.4290
REF,5, 10, 0, 30,201.53150,265.66360,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 0, 30,21.53200,94.33510,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 0, 31,178.90830,92.19090,1972.4240,5037.5510,3029.3540,926.5590
111,5, 10, 0, 31,358.91250,267.80520,1972.4160,5037.4080,3029.3640,926.4270
REF,5, 10, 0, 45,201.53240,265.66260,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 0, 45,21.53400,94.33410,23.0160,5008.4240,5021.3480,999.9610
111,5, 10, 0, 46,178.90830,92.19040,1972.2650,5037.5490,3029.5120,926.5860
111,5, 10, 0, 46,358.91080,267.80400,1972.2580,5037.4650,3029.5240,926.3910
REF,5, 10, 1, 0,201.53170,265.66410,23.0160,5008.4230,5021.3480,999.9600
REF,5, 10, 1, 0,21.53400,94.33480,23.0160,5008.4240,5021.3480,999.9600
111,5, 10, 1, 1,178.90640,92.19060,1972.1000,5037.6120,3029.6780,926.5830
111,5, 10, 1, 1,358.91070,267.80470,1972.0970,5037.4630,3029.6850,926.4230
REF,5, 10, 1, 15,201.53130,265.66430,23.0160,5008.4230,5021.3480,999.9600
REF,5, 10, 1, 15,21.53340,94.33580,23.0160,5008.4240,5021.3480,999.9600
111,5, 10, 1, 16,178.90540,92.19170,1971.9380,5037.6440,3029.8430,926.5510
111,5, 10, 1, 16,358.90910,267.80360,1971.9360,5037.5170,3029.8480,926.3920
REF,5, 10, 1, 30,201.53170,265.66290,23.0160,5008.4230,5021.3480,999.9590
REF,5, 10, 1, 30,21.53560,94.33360,23.0150,5008.4240,5021.3480,999.9610
111,5, 10, 1, 31,178.90580,92.19280,1971.7790,5037.6250,3030.0020,926.5210
111,5, 10, 1, 31,358.90750,267.80130,1971.7740,5037.5660,3030.0140,926.3180
REF,5, 10, 1, 45,201.53190,265.66340,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 1, 45,21.53250,94.33530,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 1, 46,178.90410,92.19470,1971.6120,5037.6820,3030.1730,926.4620
111,5, 10, 1, 46,358.90570,267.80150,1971.6120,5037.6280,3030.1770,926.3300
REF,5, 10, 2, 0,201.53090,265.66380,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 2, 0,21.53270,94.33490,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 2, 1,178.90240,92.19590,1971.4470,5037.7370,3030.3400,926.4270
111,5, 10, 2, 1,358.90570,267.79990,1971.4440,5037.6230,3030.3460,926.2830
REF,5, 10, 2, 15,201.53150,265.66370,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 2, 15,21.53340,94.33540,23.0150,5008.4240,5021.3480,999.9600
111,5, 10, 2, 15,178.89980,92.19610,1971.2860,5037.8230,3030.5040,926.4260
111,5, 10, 2, 16,358.90400,267.79880,1971.2840,5037.6800,3030.5090,926.2490
REF,5, 10, 2, 30,201.53320,265.66230,23.0160,5008.4230,5021.3480,999.9590
REF,5, 10, 2, 30,21.53340,94.33580,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 2, 31,178.89840,92.19770,1971.1220,5037.8670,3030.6710,926.3760
111,5, 10, 2, 31,358.90250,267.79660,1971.1180,5037.7270,3030.6790,926.1790
REF,5, 10, 2, 45,201.53150,265.66400,23.0150,5008.4230,5021.3480,999.9600
REF,5, 10, 2, 45,21.53380,94.33420,23.0150,5008.4240,5021.3480,999.9610
111,5, 10, 2, 46,178.89780,92.19900,1970.9520,5037.8870,3030.8420,926.3400
