id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0056,2004-07-01 15:00:17,502223.708,6782099.348,342.058,61.17468548,-146.9608129,346.211
ICE_0057,2004-07-01 18:00:17,502223.332,6782099.075,342.032,61.17468303,-146.9608199,346.185
ICE_0058,2004-07-01 21:00:17,502222.949,6782098.827,342.009,61.17468081,-146.960827,346.162
ICE_0059,2004-07-02 00:00:17,502222.558,6782098.541,341.995,61.17467824,-146.9608343,346.148
ICE_0060,2004-07-02 03:00:17,502222.17,6782098.276,342.001,61.17467586,-146.9608415,346.154
ICE_0061,2004-07-02 06:00:17,502221.786,6782098,341.962,61.17467338,-146.9608487,346.114
ICE_0062,2004-07-02 09:00:17,502221.41,6782097.735,341.934,61.17467101,-146.9608556,346.087
ICE_0063,2004-07-02 12:00:17,502221.036,6782097.484,341.929,61.17466876,-146.9608626,346.082
ICE_0064,2004-07-02 15:00:17,502220.657,6782097.22,341.924,61.17466639,-146.9608697,346.077
ICE_0065,2004-07-02 18:00:17,502220.268,6782096.945,341.894,61.17466393,-146.9608769,346.047
ICE_0066,2004-07-02 21:00:17,502219.88,6782096.675,341.872,61.1746615,-146.9608841,346.025
ICE_0067,2004-07-03 00:00:17,502219.497,6782096.403,341.836,61.17465907,-146.9608912,345.989
ICE_0068,2004-07-03 03:00:17,502219.107,6782096.141,341.853,61.17465671,-146.9608985,346.006
ICE_0069,2004-07-03 06:00:17,502218.729,6782095.868,341.819,61.17465426,-146.9609055,345.972
ICE_0070,2004-07-03 09:00:17,502218.358,6782095.607,341.78,61.17465193,-146.9609124,345.933
ICE_0071,2004-07-03 12:00:17,502217.99,6782095.352,341.77,61.17464964,-146.9609192,345.922
ICE_0072,2004-07-03 15:00:17,502217.61,6782095.088,341.781,61.17464727,-146.9609263,345.934
ICE_0073,2004-07-03 18:00:17,502217.211,6782094.81,341.75,61.17464477,-146.9609337,345.903
ICE_0074,2004-07-03 21:00:17,502216.809,6782094.527,341.736,61.17464224,-146.9609412,345.889
ICE_0075,2004-07-04 00:00:17,502216.4,6782094.247,341.712,61.17463972,-146.9609488,345.864
ICE_0076,2004-07-04 03:00:17,502215.984,6782093.967,341.721,61.17463721,-146.9609566,345.874
ICE_0077,2004-07-04 06:00:17,502215.579,6782093.676,341.696,61.1746346,-146.9609641,345.849
ICE_0078,2004-07-04 09:00:17,502215.181,6782093.397,341.662,61.1746321,-146.9609715,345.815
ICE_0079,2004-07-04 12:00:17,502214.78,6782093.13,341.659,61.1746297,-146.960979,345.812
ICE_0080,2004-07-04 15:00:17,502214.37,6782092.853,341.654,61.17462722,-146.9609866,345.807
ICE_0081,2004-07-04 18:00:17,502213.942,6782092.555,341.63,61.17462454,-146.9609945,345.783
ICE_0082,2004-07-04 21:00:17,502213.476,6782092.233,341.633,61.17462166,-146.9610032,345.786
ICE_0083,2004-07-05 00:00:17,502213.033,6782091.912,341.536,61.17461878,-146.9610114,345.689
ICE_0084,2004-07-05 03:00:17,502212.569,6782091.631,341.583,61.17461626,-146.9610201,345.736
ICE_0085,2004-07-05 06:00:17,502212.131,6782091.32,341.565,61.17461347,-146.9610282,345.718
ICE_0086,2004-07-05 09:00:17,502211.714,6782091.03,341.533,61.17461086,-146.961036,345.686
ICE_0087,2004-07-05 12:00:17,502211.31,6782090.753,341.514,61.17460839,-146.9610435,345.667
