marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
R1	9	14	15	0	359.99139	87.25444	131.905	4999.981	5131.754	1007.94
555	9	14	15	1	110.17167	267.44194	1656.292	3446.833	5570.586	927.886
R1	9	14	15	1	179.99417	272.75972	131.905	4999.987	5131.752	1007.972
555	9	14	15	10	290.16611	92.57083	1656.282	3446.802	5570.428	927.517
R1	9	14	15	10	359.99167	87.25361	131.905	4999.981	5131.754	1007.942
555	9	14	15	11	110.16944	267.44167	1656.282	3446.819	5570.52	927.877
R1	9	14	15	11	179.99278	272.76	131.905	4999.983	5131.752	1007.973
555	9	14	15	20	290.16417	92.57111	1656.27	3446.795	5570.37	927.509
R1	9	14	15	20	359.99167	87.25472	131.905	4999.981	5131.754	1007.939
555	9	14	15	21	110.16667	267.4425	1656.271	3446.8	5570.439	927.904
R1	9	14	15	21	179.99472	272.76028	131.905	4999.988	5131.752	1007.974
555	9	14	15	30	290.16083	92.57	1656.255	3446.773	5570.275	927.543
R1	9	14	15	30	359.99167	87.2525	131.906	4999.981	5131.754	1007.944
555	9	14	15	31	110.16333	267.44278	1656.258	3446.779	5570.344	927.908
R1	9	14	15	31	179.99306	272.76111	131.905	4999.984	5131.752	1007.975
555	9	14	15	40	290.15639	92.56972	1656.249	3446.735	5570.152	927.548
R1	9	14	15	40	359.99139	87.25306	131.905	4999.98	5131.754	1007.943
555	9	14	15	41	110.16	267.44167	1656.246	3446.76	5570.253	927.881
R1	9	14	15	41	179.99194	272.76056	131.906	4999.982	5131.752	1007.974
555	9	14	15	50	290.15583	92.57056	1656.236	3446.742	5570.131	927.526
R1	9	14	15	50	359.99	87.25361	131.906	4999.977	5131.754	1007.941
555	9	14	15	51	110.15889	267.44278	1656.235	3446.757	5570.218	927.912
R1	9	14	15	51	179.9925	272.76056	131.905	4999.983	5131.752	1007.974
555	9	14	16	0	290.15417	92.57083	1656.224	3446.737	5570.083	927.518
R1	9	14	16	0	359.99083	87.25389	131.905	4999.979	5131.754	1007.941
555	9	14	16	1	110.15611	267.44111	1656.221	3446.744	5570.136	927.866
R1	9	14	16	1	179.99361	272.76056	131.905	4999.985	5131.752	1007.974
555	9	14	16	10	290.1525	92.56917	1656.211	3446.731	5570.032	927.563
R1	9	14	16	10	359.99083	87.25306	131.906	4999.979	5131.754	1007.943
555	9	14	16	11	110.155	267.44222	1656.21	3446.741	5570.1	927.899
R1	9	14	16	11	179.99278	272.75917	131.905	4999.983	5131.752	1007.971
555	9	14	16	20	290.15	92.57083	1656.198	3446.72	5569.961	927.517
R1	9	14	16	20	359.99056	87.25333	131.906	4999.978	5131.754	1007.942
555	9	14	16	21	110.15278	267.44139	1656.2	3446.729	5570.036	927.876
R1	9	14	16	21	179.99167	272.75972	131.906	4999.981	5131.753	1007.972
555	9	14	16	30	290.14972	92.5725	1656.188	3446.728	5569.946	927.475
R1	9	14	16	30	359.99	87.25333	131.905	4999.977	5131.754	1007.942
555	9	14	16	31	110.15111	267.44028	1656.187	3446.727	5569.988	927.843
R1	9	14	16	31	179.9925	272.75944	131.905	4999.983	5131.752	1007.972
555	9	14	16	40	290.145	92.57	1656.179	3446.688	5569.818	927.54
R1	9	14	16	40	359.98972	87.2525	131.906	4999.977	5131.754	1007.944
555	9	14	16	41	110.14889	267.44222	1656.176	3446.714	5569.927	927.898
R1	9	14	16	41	179.9925	272.76	131.906	4999.983	5131.752	1007.973
555	9	14	16	50	290.14361	92.57194	1656.165	3446.689	5569.774	927.486
R1	9	14	16	50	359.99056	87.25444	131.905	4999.978	5131.754	1007.94
555	9	14	16	51	110.14417	267.44222	1656.165	3446.677	5569.795	927.895
R1	9	14	16	51	179.99139	272.75944	131.905	4999.98	5131.752	1007.972
555	9	14	17	0	290.13972	92.57111	1656.152	3446.662	5569.667	927.511
R1	9	14	17	0	359.98889	87.25222	131.906	4999.975	5131.754	1007.945
555	9	14	17	1	110.1425	267.44222	1656.151	3446.672	5569.741	927.897
R1	9	14	17	1	179.99111	272.76083	131.906	4999.979	5131.752	1007.975
555	9	14	17	10	290.13917	92.56917	1656.141	3446.664	5569.648	927.567
R1	9	14	17	10	359.99167	87.25333	131.906	4999.981	5131.754	1007.942
555	9	14	17	11	110.14083	267.44083	1656.138	3446.67	5569.692	927.856
R1	9	14	17	11	179.99278	272.75722	131.905	4999.983	5131.753	1007.966
