marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
555	9	15	2	20	290.01944	92.57389	1655.573	3446.017	5566.205	927.459
R1	9	15	2	20	359.98722	87.25222	131.906	4999.971	5131.754	1007.945
555	9	15	2	21	110.02278	267.43611	1655.57	3446.038	5566.294	927.751
R1	9	15	2	21	179.98861	272.75972	131.906	4999.974	5131.752	1007.972
555	9	15	2	30	290.01778	92.57583	1655.558	3446.014	5566.148	927.399
R1	9	15	2	30	359.98722	87.2525	131.905	4999.971	5131.754	1007.944
555	9	15	2	31	110.02111	267.43611	1655.558	3446.033	5566.246	927.752
R1	9	15	2	31	179.98944	272.75861	131.906	4999.975	5131.753	1007.97
555	9	15	2	40	290.01667	92.57556	1655.547	3446.014	5566.117	927.414
R1	9	15	2	40	359.98944	87.25361	131.906	4999.976	5131.754	1007.941
555	9	15	2	41	110.02139	267.43778	1655.544	3446.046	5566.246	927.794
R1	9	15	2	41	179.99111	272.76083	131.905	4999.98	5131.752	1007.975
555	9	15	2	50	290.01389	92.57583	1655.536	3445.998	5566.041	927.408
R1	9	15	2	50	359.99056	87.25333	131.906	4999.978	5131.754	1007.942
555	9	15	2	51	110.01778	267.43778	1655.532	3446.023	5566.147	927.798
R1	9	15	2	51	179.99111	272.76139	131.906	4999.98	5131.752	1007.976
555	9	15	3	0	290.01194	92.57472	1655.525	3445.989	5565.986	927.433
R1	9	15	3	0	359.98917	87.25278	131.906	4999.975	5131.754	1007.944
555	9	15	3	1	110.01556	267.43833	1655.522	3446.011	5566.087	927.813
R1	9	15	3	1	179.99083	272.76056	131.906	4999.979	5131.753	1007.974
555	9	15	3	10	290.00972	92.57556	1655.513	3445.977	5565.915	927.416
R1	9	15	3	10	359.98917	87.25167	131.906	4999.975	5131.754	1007.946
555	9	15	3	11	110.01194	267.43694	1655.512	3445.986	5565.985	927.771
R1	9	15	3	11	179.98972	272.76056	131.906	4999.976	5131.753	1007.974
555	9	15	3	20	290.0075	92.57583	1655.503	3445.965	5565.853	927.405
R1	9	15	3	20	359.98778	87.25528	131.906	4999.972	5131.755	1007.937
R1	9	15	3	21	179.99083	272.76	131.906	4999.979	5131.753	1007.973
555	9	15	3	30	290.00361	92.57583	1655.487	3445.942	5565.744	927.406
R1	9	15	3	30	359.98833	87.25222	131.906	4999.973	5131.754	1007.945
555	9	15	3	31	110.00778	267.43444	1655.489	3445.969	5565.861	927.702
R1	9	15	3	31	179.98944	272.75833	131.906	4999.976	5131.753	1007.969
555	9	15	3	40	290.00389	92.57667	1655.478	3445.953	5565.743	927.38
R1	9	15	3	40	359.98806	87.25389	131.906	4999.972	5131.754	1007.941
555	9	15	3	41	110.00694	267.43444	1655.477	3445.972	5565.835	927.705
R1	9	15	3	41	179.99194	272.76028	131.906	4999.982	5131.753	1007.973
555	9	15	3	50	290.00444	92.57917	1655.462	3445.978	5565.759	927.315
R1	9	15	3	50	359.99028	87.2525	131.906	4999.978	5131.754	1007.944
555	9	15	3	51	110.00611	267.43611	1655.462	3445.974	5565.805	927.755
R1	9	15	3	51	179.99333	272.76	131.906	4999.985	5131.753	1007.973
555	9	15	4	0	290.00167	92.57667	1655.452	3445.956	5565.678	927.385
R1	9	15	4	0	359.99056	87.25278	131.906	4999.978	5131.754	1007.943
555	9	15	4	1	110.00528	267.43583	1655.447	3445.98	5565.775	927.742
R1	9	15	4	1	179.99194	272.76056	131.906	4999.981	5131.753	1007.974
555	9	15	4	10	289.99778	92.57722	1655.438	3445.931	5565.564	927.368
R1	9	15	4	10	359.98833	87.25306	131.906	4999.973	5131.754	1007.943
555	9	15	4	11	110.00111	267.43556	1655.436	3445.951	5565.663	927.737
R1	9	15	4	11	179.99083	272.76167	131.906	4999.979	5131.752	1007.977
555	9	15	4	20	289.99611	92.57778	1655.427	3445.927	5565.52	927.353
R1	9	15	4	20	359.98944	87.25361	131.906	4999.976	5131.754	1007.941
555	9	15	4	21	109.99944	267.43667	1655.427	3445.943	5565.616	927.769
R1	9	15	4	21	179.9925	272.76028	131.906	4999.983	5131.753	1007.974
555	9	15	4	30	289.99444	92.57917	1655.414	3445.924	5565.466	927.313
R1	9	15	4	30	359.98972	87.25417	131.906	4999.976	5131.754	1007.94
555	9	15	4	31	109.99694	267.435	1655.412	3445.932	5565.539	927.723
R1	9	15	4	31	179.99139	272.75972	131.906	4999.98	5131.753	1007.972
555	9	15	4	40	289.99111	92.57611	1655.399	3445.901	5565.372	927.398
R1	9	15	4	40	359.98972	87.25361	131.906	4999.977	5131.754	1007.942
555	9	15	4	41	109.99417	267.435	1655.398	3445.918	5565.457	927.721
R1	9	15	4	41	179.99139	272.75833	131.906	4999.98	5131.753	1007.969
555	9	15	4	50	289.9875	92.57889	1655.39	3445.878	5565.274	927.324
R1	9	15	4	50	359.98917	87.25333	131.906	4999.975	5131.754	1007.942
555	9	15	4	51	109.99194	267.43389	1655.384	3445.911	5565.396	927.694
R1	9	15	4	51	179.99056	272.75972	131.906	4999.979	5131.753	1007.972
555	9	15	5	0	289.98611	92.57861	1655.375	3445.877	5565.228	927.327
R1	9	15	5	0	359.98861	87.25278	131.906	4999.974	5131.754	1007.943
555	9	15	5	1	109.99	267.43167	1655.374	3445.905	5565.34	927.632
R1	9	15	5	1	179.99139	272.75917	131.906	4999.98	5131.753	1007.971
555	9	15	5	10	289.98444	92.58028	1655.361	3445.876	5565.179	927.285
R1	9	15	5	10	359.98861	87.25333	131.906	4999.974	5131.754	1007.942
555	9	15	5	11	109.98722	267.43278	1655.355	3445.894	5565.258	927.663
R1	9	15	5	11	179.99139	272.75944	131.906	4999.98	5131.753	1007.972
555	9	15	5	20	289.98194	92.58056	1655.345	3445.868	5565.107	927.278
R1	9	15	5	20	359.98917	87.25333	131.906	4999.975	5131.754	1007.942
555	9	15	5	21	109.98583	267.43333	1655.347	3445.887	5565.215	927.677
R1	9	15	5	21	179.99139	272.76139	131.906	4999.98	5131.752	1007.976
555	9	15	5	30	289.97972	92.58083	1655.332	3445.856	5565.036	927.266
R1	9	15	5	30	359.98861	87.2525	131.906	4999.974	5131.754	1007.944
555	9	15	5	31	109.98222	267.43194	1655.335	3445.865	5565.116	927.637
R1	9	15	5	31	179.99	272.75972	131.906	4999.977	5131.753	1007.972
555	9	15	5	40	289.97778	92.57972	1655.323	3445.845	5564.982	927.299
R1	9	15	5	40	359.98889	87.25278	131.906	4999.975	5131.754	1007.943
555	9	15	5	41	109.98028	267.43333	1655.319	3445.859	5565.058	927.678
R1	9	15	5	41	179.99083	272.76111	131.905	4999.979	5131.752	1007.975
555	9	15	5	50	289.97472	92.57694	1655.313	3445.82	5564.896	927.38
R1	9	15	5	50	359.98806	87.25306	131.906	4999.973	5131.754	1007.942
555	9	15	5	51	109.97639	267.4325	1655.311	3445.828	5564.949	927.659
R1	9	15	5	51	179.98972	272.76056	131.906	4999.977	5131.753	1007.974
555	9	15	6	0	289.97167	92.57944	1655.302	3445.805	5564.812	927.313
R1	9	15	6	0	359.9875	87.2525	131.906	4999.971	5131.754	1007.944
555	9	15	6	1	109.975	267.43222	1655.303	3445.822	5564.906	927.648
R1	9	15	6	1	179.98972	272.75972	131.906	4999.976	5131.753	1007.972
555	9	15	6	10	289.96972	92.58056	1655.284	3445.804	5564.753	927.28
R1	9	15	6	10	359.98778	87.25306	131.906	4999.972	5131.754	1007.943
555	9	15	6	11	109.97278	267.43167	1655.282	3445.823	5564.842	927.629
R1	9	15	6	11	179.99111	272.76083	131.906	4999.979	5131.753	1007.975
555	9	15	6	20	289.96694	92.58111	1655.275	3445.785	5564.673	927.26
R1	9	15	6	20	359.98806	87.25278	131.906	4999.972	5131.754	1007.943
555	9	15	6	21	109.97	267.43139	1655.27	3445.805	5564.758	927.625
R1	9	15	6	21	179.99	272.76028	131.906	4999.977	5131.752	1007.974
555	9	15	6	30	289.96444	92.58167	1655.262	3445.773	5564.599	927.252
R1	9	15	6	30	359.98778	87.25222	131.906	4999.972	5131.754	1007.945
555	9	15	6	31	109.96806	267.43222	1655.26	3445.795	5564.707	927.651
R1	9	15	6	31	179.99028	272.76139	131.906	4999.977	5131.752	1007.976
555	9	15	6	40	289.96333	92.58139	1655.251	3445.774	5564.568	927.258
R1	9	15	6	40	359.98722	87.2525	131.906	4999.971	5131.754	1007.944
555	9	15	6	41	109.965	267.43083	1655.251	3445.774	5564.616	927.607
R1	9	15	6	41	179.98944	272.76	131.906	4999.976	5131.753	1007.973
555	9	15	6	50	289.96056	92.58	1655.237	3445.757	5564.488	927.299
R1	9	15	6	50	359.9875	87.24917	131.906	4999.971	5131.754	1007.952
555	9	15	6	51	109.96222	267.4325	1655.237	3445.759	5564.54	927.658
R1	9	15	6	51	179.98944	272.76139	131.906	4999.976	5131.753	1007.976
555	9	15	7	0	289.95583	92.58083	1655.227	3445.721	5564.356	927.276
R1	9	15	7	0	359.98528	87.25194	131.906	4999.966	5131.754	1007.945
555	9	15	7	1	109.95806	267.43111	1655.226	3445.73	5564.422	927.616
R1	9	15	7	1	179.9875	272.75972	131.906	4999.972	5131.753	1007.972
555	9	15	7	10	289.955	92.58111	1655.216	3445.722	5564.325	927.263
R1	9	15	7	10	359.98722	87.25167	131.906	4999.971	5131.754	1007.946
555	9	15	7	11	109.95833	267.43167	1655.216	3445.741	5564.425	927.635
R1	9	15	7	11	179.98917	272.75972	131.906	4999.975	5131.753	1007.972
555	9	15	7	20	289.95278	92.58222	1655.201	3445.717	5564.265	927.237
R1	9	15	7	20	359.98722	87.25167	131.906	4999.971	5131.754	1007.946
555	9	15	7	21	109.95583	267.43056	1655.201	3445.731	5564.35	927.607
R1	9	15	7	21	179.98833	272.75972	131.906	4999.973	5131.753	1007.972
555	9	15	7	30	289.9525	92.58056	1655.192	3445.721	5564.253	927.28
R1	9	15	7	30	359.99028	87.25306	131.906	4999.977	5131.754	1007.943
555	9	15	7	31	109.95583	267.43194	1655.191	3445.74	5564.352	927.644
R1	9	15	7	31	179.99083	272.76	131.906	4999.979	5131.753	1007.973
555	9	15	7	40	289.95083	92.58	1655.18	3445.715	5564.203	927.302
R1	9	15	7	40	359.99	87.25306	131.906	4999.977	5131.755	1007.943
555	9	15	7	41	109.95306	267.43417	1655.18	3445.719	5564.268	927.706
R1	9	15	7	41	179.99139	272.76083	131.906	4999.98	5131.753	1007.975
555	9	15	7	50	289.94917	92.58389	1655.171	3445.711	5564.154	927.189
R1	9	15	7	50	359.98861	87.25306	131.906	4999.974	5131.754	1007.942
555	9	15	7	51	109.95222	267.43056	1655.168	3445.726	5564.239	927.604
R1	9	15	7	51	179.99028	272.76056	131.906	4999.978	5131.753	1007.974
555	9	15	8	0	289.94667	92.5825	1655.158	3445.698	5564.085	927.23
R1	9	15	8	0	359.98917	87.25333	131.906	4999.975	5131.754	1007.942
555	9	15	8	1	109.95028	267.42972	1655.154	3445.722	5564.184	927.578
R1	9	15	8	1	179.99139	272.76111	131.906	4999.98	5131.752	1007.976
555	9	15	8	10	289.94556	92.5825	1655.149	3445.696	5564.053	927.227
R1	9	15	8	10	359.98944	87.25306	131.906	4999.976	5131.754	1007.943
R1	9	15	8	11	179.99139	272.76028	131.906	4999.98	5131.753	1007.974
555	9	15	8	20	289.94222	92.58278	1655.136	3445.673	5563.951	927.224
R1	9	15	8	20	359.98833	87.25306	131.906	4999.973	5131.754	1007.943
555	9	15	8	21	109.94417	267.43056	1655.135	3445.68	5564.015	927.604
R1	9	15	8	21	179.99083	272.76056	131.906	4999.979	5131.753	1007.974
555	9	15	8	30	289.94056	92.58306	1655.126	3445.667	5563.902	927.211
R1	9	15	8	30	359.98833	87.25278	131.906	4999.973	5131.754	1007.944
555	9	15	8	31	109.94306	267.42972	1655.129	3445.674	5563.978	927.585
R1	9	15	8	31	179.99111	272.76	131.906	4999.98	5131.753	1007.973
555	9	15	8	40	289.93806	92.58333	1655.118	3445.653	5563.837	927.204
R1	9	15	8	40	359.99	87.25361	131.906	4999.977	5131.754	1007.942
555	9	15	8	41	109.94111	267.42889	1655.116	3445.668	5563.921	927.563
R1	9	15	8	41	179.99167	272.76	131.906	4999.981	5131.753	1007.973
555	9	15	8	50	289.93556	92.5825	1655.107	3445.636	5563.763	927.233
R1	9	15	8	50	359.98806	87.25194	131.906	4999.973	5131.754	1007.945
555	9	15	8	51	109.93778	267.42972	1655.105	3445.645	5563.83	927.583
R1	9	15	8	51	179.99028	272.76028	131.906	4999.977	5131.753	1007.974
555	9	15	9	0	289.93528	92.58333	1655.094	3445.645	5563.751	927.21
R1	9	15	9	0	359.98833	87.25361	131.906	4999.973	5131.754	1007.942
555	9	15	9	1	109.93694	267.42944	1655.095	3445.646	5563.803	927.579
R1	9	15	9	1	179.99083	272.75972	131.906	4999.979	5131.753	1007.972
555	9	15	9	10	289.93194	92.58306	1655.088	3445.618	5563.657	927.212
R1	9	15	9	10	359.98778	87.25222	131.906	4999.972	5131.754	1007.945
555	9	15	9	11	109.93444	267.42889	1655.086	3445.631	5563.731	927.563
R1	9	15	9	11	179.99139	272.76028	131.906	4999.98	5131.753	1007.973
555	9	15	9	20	289.93056	92.58278	1655.079	3445.614	5563.621	927.224
R1	9	15	9	20	359.98972	87.25222	131.906	4999.977	5131.754	1007.945
555	9	15	9	21	109.93278	267.42833	1655.078	3445.623	5563.687	927.549
R1	9	15	9	21	179.99111	272.76139	131.906	4999.98	5131.753	1007.976
555	9	15	9	30	289.92917	92.58389	1655.067	3445.612	5563.577	927.194
R1	9	15	9	30	359.98889	87.25111	131.906	4999.974	5131.754	1007.947
555	9	15	9	31	109.93167	267.43	1655.067	3445.619	5563.649	927.591
R1	9	15	9	31	179.9925	272.76167	131.906	4999.983	5131.753	1007.977
555	9	15	9	40	289.9275	92.58389	1655.058	3445.604	5563.526	927.19
R1	9	15	9	40	359.98917	87.2525	131.906	4999.975	5131.754	1007.944
555	9	15	9	41	109.92972	267.42917	1655.057	3445.61	5563.591	927.567
R1	9	15	9	41	179.99194	272.76111	131.906	4999.981	5131.753	1007.975
555	9	15	9	50	289.92528	92.58472	1655.047	3445.594	5563.463	927.169
R1	9	15	9	50	359.98917	87.25306	131.906	4999.975	5131.754	1007.943
555	9	15	9	51	109.92722	267.43	1655.045	3445.596	5563.519	927.593
R1	9	15	9	51	179.99083	272.76	131.906	4999.979	5131.753	1007.973
555	9	15	10	0	289.9225	92.58417	1655.04	3445.573	5563.388	927.186
R1	9	15	10	0	359.98917	87.25306	131.906	4999.975	5131.754	1007.943
555	9	15	10	1	109.92583	267.42889	1655.038	3445.59	5563.478	927.566
R1	9	15	10	1	179.99167	272.76083	131.906	4999.981	5131.753	1007.975
555	9	15	10	10	289.92111	92.58222	1655.03	3445.565	5563.342	927.239
R1	9	15	10	10	359.99	87.2525	131.906	4999.977	5131.754	1007.944
555	9	15	10	11	109.92306	267.43083	1655.031	3445.567	5563.401	927.621
R1	9	15	10	11	179.99194	272.76028	131.906	4999.982	5131.753	1007.974
555	9	15	10	20	289.91861	92.58194	1655.021	3445.548	5563.272	927.25
R1	9	15	10	20	359.99139	87.25056	131.906	4999.98	5131.754	1007.948
555	9	15	10	21	109.92194	267.42778	1655.022	3445.569	5563.369	927.529
R1	9	15	10	21	179.99167	272.75944	131.906	4999.981	5131.753	1007.971
555	9	15	10	30	289.91667	92.58222	1655.015	3445.535	5563.217	927.244
R1	9	15	10	30	359.98972	87.25167	131.906	4999.977	5131.754	1007.946
555	9	15	10	31	109.91944	267.42972	1655.011	3445.552	5563.299	927.588
R1	9	15	10	31	179.99167	272.76167	131.906	4999.981	5131.752	1007.977
555	9	15	10	40	289.91556	92.58472	1655.005	3445.536	5563.183	927.174
R1	9	15	10	40	359.98833	87.25278	131.906	4999.973	5131.754	1007.943
555	9	15	10	41	109.91722	267.42917	1655.001	3445.541	5563.235	927.577
R1	9	15	10	41	179.99139	272.76	131.906	4999.98	5131.753	1007.973
555	9	15	10	50	289.91417	92.58306	1654.993	3445.532	5563.143	927.223
R1	9	15	10	50	359.98944	87.25306	131.906	4999.976	5131.754	1007.942
555	9	15	10	51	109.91667	267.42861	1654.992	3445.544	5563.215	927.56
R1	9	15	10	51	179.99278	272.76	131.906	4999.983	5131.753	1007.973
555	9	15	11	0	289.91111	92.58417	1654.987	3445.511	5563.061	927.186
R1	9	15	11	0	359.98861	87.25278	131.906	4999.974	5131.755	1007.943
555	9	15	11	1	109.91361	267.42806	1654.985	3445.521	5563.13	927.545
R1	9	15	11	1	179.99083	272.76	131.906	4999.979	5131.753	1007.973
555	9	15	11	10	289.91083	92.58333	1654.978	3445.514	5563.046	927.21
R1	9	15	11	10	359.98917	87.25333	131.906	4999.975	5131.754	1007.942
555	9	15	11	11	109.91167	267.42917	1654.974	3445.512	5563.077	927.573
R1	9	15	11	11	179.99222	272.76	131.906	4999.982	5131.753	1007.973
555	9	15	11	20	289.90778	92.58444	1654.966	3445.497	5562.961	927.183
R1	9	15	11	20	359.98944	87.25194	131.906	4999.976	5131.754	1007.945
555	9	15	11	21	109.91083	267.43028	1654.966	3445.509	5563.05	927.606
R1	9	15	11	21	179.99167	272.76083	131.905	4999.981	5131.752	1007.975
555	9	15	11	30	289.90444	92.58444	1654.96	3445.469	5562.865	927.183
R1	9	15	11	30	359.98917	87.25389	131.906	4999.975	5131.754	1007.941
555	9	15	11	31	109.90694	267.42889	1654.956	3445.483	5562.942	927.568
R1	9	15	11	31	179.99111	272.76056	131.906	4999.98	5131.753	1007.974
555	9	15	11	40	289.90278	92.58389	1654.949	3445.463	5562.818	927.197
R1	9	15	11	40	359.99	87.25222	131.906	4999.977	5131.754	1007.945
555	9	15	11	41	109.90611	267.42833	1654.949	3445.481	5562.914	927.552
R1	9	15	11	41	179.99083	272.76083	131.909	4999.979	5131.756	1007.975
555	9	15	11	50	289.90111	92.58528	1654.941	3445.457	5562.773	927.162
R1	9	15	11	50	359.98889	87.25306	131.906	4999.975	5131.754	1007.943
555	9	15	11	51	109.90333	267.42861	1654.941	3445.461	5562.837	927.555
R1	9	15	11	51	179.99056	272.76	131.906	4999.978	5131.753	1007.973
555	9	15	12	0	289.89917	92.58444	1654.932	3445.445	5562.716	927.181
R1	9	15	12	0	359.98917	87.25278	131.906	4999.975	5131.754	1007.944
555	9	15	12	1	109.90194	267.43028	1654.932	3445.455	5562.8	927.607
R1	9	15	12	1	179.99111	272.76028	131.906	4999.98	5131.753	1007.973
555	9	15	12	10	289.89806	92.58389	1654.923	3445.441	5562.682	927.195
R1	9	15	12	10	359.98889	87.25333	131.906	4999.974	5131.754	1007.942
555	9	15	12	11	109.9	267.42833	1654.921	3445.447	5562.739	927.551
R1	9	15	12	11	179.99194	272.76083	131.906	4999.981	5131.753	1007.975
555	9	15	12	20	289.89583	92.58528	1654.914	3445.431	5562.622	927.162
R1	9	15	12	20	359.98944	87.25389	131.905	4999.976	5131.754	1007.941
555	9	15	12	21	109.89806	267.42806	1654.912	3445.437	5562.681	927.542
R1	9	15	12	21	179.99222	272.76028	131.905	4999.982	5131.752	1007.973
555	9	15	12	30	289.89306	92.58472	1654.903	3445.412	5562.539	927.176
R1	9	15	12	30	359.98972	87.25222	131.906	4999.977	5131.754	1007.944
555	9	15	12	31	109.89528	267.42806	1654.904	3445.418	5562.607	927.548
R1	9	15	12	31	179.99083	272.76083	131.906	4999.979	5131.753	1007.974
555	9	15	12	40	289.89333	92.58417	1654.895	3445.423	5562.547	927.19
R1	9	15	12	40	359.99	87.25306	131.906	4999.977	5131.754	1007.943
555	9	15	12	41	109.89528	267.42861	1654.893	3445.427	5562.604	927.564
R1	9	15	12	41	179.99194	272.75806	131.906	4999.982	5131.753	1007.969
555	9	15	12	50	289.88944	92.58417	1654.886	3445.393	5562.439	927.191
R1	9	15	12	50	359.98944	87.25306	131.905	4999.976	5131.754	1007.943
555	9	15	12	51	109.89167	267.42833	1654.883	3445.401	5562.502	927.552
R1	9	15	12	51	179.99222	272.76	131.905	4999.982	5131.752	1007.973
555	9	15	13	0	289.88611	92.58444	1654.877	3445.369	5562.345	927.184
R1	9	15	13	0	359.98889	87.25333	131.906	4999.975	5131.754	1007.942
555	9	15	13	1	109.88917	267.42806	1654.873	3445.387	5562.43	927.548
R1	9	15	13	1	179.99083	272.76083	131.906	4999.979	5131.752	1007.975
555	9	15	13	10	289.88444	92.58528	1654.867	3445.364	5562.296	927.164
R1	9	15	13	10	359.98917	87.25361	131.906	4999.975	5131.754	1007.942
555	9	15	13	11	109.88861	267.42778	1654.865	3445.389	5562.411	927.536
R1	9	15	13	11	179.99167	272.75972	131.906	4999.981	5131.753	1007.972
555	9	15	13	20	289.88306	92.58472	1654.86	3445.357	5562.258	927.174
R1	9	15	13	20	359.98944	87.25278	131.906	4999.976	5131.754	1007.943
555	9	15	13	21	109.88472	267.42694	1654.857	3445.36	5562.306	927.516
R1	9	15	13	21	179.99139	272.75972	131.905	4999.98	5131.752	1007.972
555	9	15	13	30	289.88056	92.58444	1654.849	3445.342	5562.186	927.187
R1	9	15	13	30	359.98917	87.25444	131.906	4999.975	5131.754	1007.94
555	9	15	13	31	109.88278	267.42722	1654.848	3445.348	5562.245	927.526
R1	9	15	13	31	179.99111	272.76028	131.906	4999.979	5131.752	1007.973
555	9	15	13	40	289.8775	92.58361	1654.838	3445.32	5562.099	927.213
R1	9	15	13	40	359.98889	87.25306	131.906	4999.974	5131.754	1007.943
555	9	15	13	41	109.88028	267.42889	1654.835	3445.334	5562.176	927.572
R1	9	15	13	41	179.98917	272.76194	131.906	4999.975	5131.753	1007.977
555	9	15	13	50	289.87889	92.58444	1654.826	3445.344	5562.127	927.188
R1	9	15	13	50	359.98806	87.25306	131.906	4999.972	5131.754	1007.943
555	9	15	13	51	109.88028	267.4275	1654.827	3445.344	5562.174	927.53
R1	9	15	13	51	179.9925	272.76028	131.905	4999.983	5131.752	1007.973
555	9	15	14	0	289.87639	92.58667	1654.817	3445.332	5562.058	927.126
R1	9	15	14	0	359.98944	87.25361	131.906	4999.976	5131.754	1007.942
555	9	15	14	1	109.87833	267.42722	1654.818	3445.335	5562.12	927.523
R1	9	15	14	1	179.99194	272.76028	131.905	4999.982	5131.752	1007.973
555	9	15	14	10	289.87389	92.58611	1654.811	3445.312	5561.985	927.141
R1	9	15	14	10	359.99083	87.25389	131.905	4999.979	5131.754	1007.941
555	9	15	14	11	109.87639	267.42694	1654.805	3445.327	5562.061	927.517
R1	9	15	14	11	179.99139	272.76	131.905	4999.98	5131.752	1007.973
555	9	15	14	20	289.87194	92.58556	1654.799	3445.304	5561.932	927.158
R1	9	15	14	20	359.98944	87.2525	131.906	4999.976	5131.754	1007.944
555	9	15	14	21	109.87194	267.42778	1654.798	3445.289	5561.938	927.542
R1	9	15	14	21	179.9925	272.76028	131.906	4999.983	5131.753	1007.973
555	9	15	14	30	289.86972	92.58694	1654.789	3445.292	5561.864	927.12
R1	9	15	14	30	359.99	87.25333	131.906	4999.977	5131.754	1007.942
555	9	15	14	31	109.87167	267.42722	1654.79	3445.294	5561.926	927.53
R1	9	15	14	31	179.9925	272.76083	131.906	4999.983	5131.752	1007.974
555	9	15	14	40	289.86917	92.58694	1654.776	3445.3	5561.848	927.115
R1	9	15	14	40	359.99028	87.25361	131.905	4999.978	5131.754	1007.942
555	9	15	14	41	109.87111	267.42667	1654.775	3445.303	5561.905	927.514
R1	9	15	14	41	179.99222	272.76	131.905	4999.982	5131.752	1007.973
555	9	15	14	50	289.86556	92.58639	1654.766	3445.272	5561.745	927.134
R1	9	15	14	50	359.98944	87.25306	131.905	4999.976	5131.754	1007.943
555	9	15	14	51	109.86861	267.42667	1654.766	3445.288	5561.837	927.509
R1	9	15	14	51	179.99167	272.76028	131.906	4999.981	5131.752	1007.973
555	9	15	15	0	289.86333	92.58639	1654.756	3445.261	5561.685	927.13
R1	9	15	15	0	359.98889	87.25278	131.905	4999.975	5131.754	1007.944
555	9	15	15	1	109.86667	267.42722	1654.757	3445.277	5561.781	927.53
R1	9	15	15	1	179.9925	272.76083	131.906	4999.983	5131.752	1007.975
555	9	15	15	10	289.86083	92.585	1654.748	3445.243	5561.617	927.176
R1	9	15	15	10	359.98889	87.2525	131.905	4999.975	5131.754	1007.944
555	9	15	15	11	109.86333	267.42778	1654.744	3445.255	5561.685	927.543
R1	9	15	15	11	179.99139	272.76139	131.906	4999.98	5131.752	1007.976
555	9	15	15	20	289.86	92.58611	1654.736	3445.248	5561.59	927.146
R1	9	15	15	20	359.98917	87.25194	131.906	4999.975	5131.754	1007.946
555	9	15	15	21	109.86139	267.42611	1654.732	3445.249	5561.627	927.493
R1	9	15	15	21	179.99278	272.75944	131.905	4999.984	5131.752	1007.972
555	9	15	15	30	289.85639	92.58556	1654.722	3445.224	5561.485	927.156
R1	9	15	15	30	359.98861	87.25194	131.906	4999.974	5131.754	1007.945
555	9	15	15	31	109.85861	267.42639	1654.723	3445.232	5561.552	927.504
R1	9	15	15	31	179.99167	272.75917	131.905	4999.981	5131.752	1007.971
555	9	15	15	40	289.85222	92.58583	1654.714	3445.193	5561.37	927.148
R1	9	15	15	40	359.98806	87.25167	131.905	4999.973	5131.754	1007.946
555	9	15	15	41	109.85667	267.42639	1654.712	3445.222	5561.495	927.503
R1	9	15	15	41	179.99139	272.76056	131.905	4999.98	5131.752	1007.974
555	9	15	15	50	289.85028	92.58639	1654.703	3445.183	5561.311	927.133
R1	9	15	15	50	359.98861	87.25278	131.906	4999.974	5131.754	1007.943
555	9	15	15	51	109.85472	267.42472	1654.702	3445.214	5561.437	927.455
R1	9	15	15	51	179.99139	272.76	131.905	4999.98	5131.752	1007.973
555	9	15	16	0	289.85	92.58639	1654.69	3445.193	5561.301	927.139
R1	9	15	16	0	359.99	87.25194	131.905	4999.977	5131.754	1007.945
555	9	15	16	1	109.85333	267.42528	1654.694	3445.209	5561.399	927.472
R1	9	15	16	1	179.99222	272.76056	131.905	4999.982	5131.752	1007.974
555	9	15	16	10	289.84917	92.58583	1654.68	3445.194	5561.275	927.154
R1	9	15	16	10	359.99056	87.25111	131.906	4999.978	5131.754	1007.947
R1	9	15	16	11	179.99222	272.75972	131.906	4999.982	5131.753	1007.972
555	9	15	16	53	289.84222	92.58472	1654.63	3445.169	5561.065	927.186
R1	9	15	16	53	359.99194	87.24972	131.905	4999.981	5131.753	1007.95
555	9	15	16	54	109.84361	267.425	1654.632	3445.17	5561.11	927.468
R1	9	15	16	54	179.99361	272.76	131.906	4999.985	5131.753	1007.973
555	9	15	16	55	289.84194	92.58667	1654.631	3445.17	5561.063	927.131
R1	9	15	16	55	359.99417	87.25028	131.906	4999.987	5131.754	1007.949
555	9	15	16	55	109.845	267.42472	1654.63	3445.187	5561.151	927.463
R1	9	15	16	56	179.99444	272.75889	131.906	4999.987	5131.753	1007.97
555	9	15	17	0	289.81139	92.58583	1654.623	3444.876	5560.226	927.156
R1	9	15	17	0	359.96667	87.25278	131.908	4999.923	5131.756	1007.944
555	9	15	17	1	109.8175	267.425	1654.623	3444.922	5560.395	927.467
R1	9	15	17	1	179.96917	272.75944	131.908	4999.929	5131.755	1007.971
555	9	15	17	10	289.81167	92.58111	1654.611	3444.885	5560.235	927.294
R1	9	15	17	10	359.96528	87.25389	131.908	4999.92	5131.756	1007.941
555	9	15	17	11	109.81444	267.42806	1654.61	3444.902	5560.313	927.554
R1	9	15	17	11	179.9675	272.76	131.909	4999.925	5131.755	1007.973
555	9	15	17	20	289.80917	92.58444	1654.6	3444.874	5560.158	927.199
R1	9	15	17	20	359.96417	87.2525	131.908	4999.918	5131.756	1007.944
555	9	15	17	21	109.81056	267.42528	1654.601	3444.876	5560.205	927.476
R1	9	15	17	21	179.9675	272.75806	131.908	4999.925	5131.755	1007.968
