marker,t,x,y,z
1,2005-06-03T07:12:00Z,495997.962809438,6776333.72118985,105.458349
1,2005-06-03T07:17:00Z,495997.955289952,6776333.67454869,105.4585995
1,2005-06-03T07:31:37Z,495997.934868498,6776333.55058898,105.469977
1,2005-06-03T07:46:37Z,495997.918069865,6776333.42808621,105.4164446
1,2005-06-03T08:01:37Z,495997.90470116,6776333.32073078,105.4614883
1,2005-06-03T08:16:37Z,495997.887166768,6776333.2015194,105.4572918
1,2005-06-03T08:31:37Z,495997.864599271,6776333.05348587,105.4480492
1,2005-06-03T08:46:37Z,495997.860024958,6776332.97627904,105.4410991
1,2005-06-03T09:01:37Z,495997.833436758,6776332.82703514,105.4420854
1,2005-06-03T09:16:37Z,495997.815803278,6776332.69944735,105.4276159
1,2005-06-03T09:31:37Z,495997.811138515,6776332.60836511,105.4157143
1,2005-06-03T09:46:37Z,495997.785692054,6776332.45611627,105.4064049
1,2005-06-03T10:01:22Z,495997.761988937,6776332.32505579,105.4514205
1,2005-06-03T10:31:37Z,495997.717684601,6776332.04840781,105.4664637
1,2005-06-03T10:46:37Z,495997.705279144,6776331.94098482,105.4830885
1,2005-06-03T11:01:37Z,495997.689687425,6776331.8098273,105.447891
1,2005-06-03T11:16:37Z,495997.675796564,6776331.69467396,105.4540814
1,2005-06-03T11:46:37Z,495997.635300569,6776331.42241761,105.4563079
1,2005-06-03T12:01:37Z,495997.62269634,6776331.29588879,105.4029315
1,2005-06-03T12:16:37Z,495997.611940477,6776331.19334273,105.40917
1,2005-06-03T12:31:37Z,495997.591252307,6776331.05586197,105.4387691
1,2005-06-03T12:46:37Z,495997.58019308,6776330.94529677,105.4190997
1,2005-06-03T13:01:37Z,495997.559801096,6776330.80244404,105.4176337
1,2005-06-03T15:46:10Z,495997.396094448,6776329.46354188,105.3724544
1,2005-06-03T15:51:10Z,495997.389911369,6776329.42210954,105.3623934
1,2005-06-03T16:01:30Z,495997.382697452,6776329.34842731,105.3631291
1,2005-06-03T16:15:14Z,495997.374464254,6776329.2532603,105.3927448
1,2005-06-03T17:18:49Z,495997.308727467,6776328.75016133,105.3995609
1,2005-06-03T17:31:00Z,495997.287183743,6776328.61591454,105.3771505
1,2005-06-03T17:45:59Z,495997.281954187,6776328.53877438,105.3910178
1,2005-06-03T18:00:59Z,495997.252068349,6776328.36646155,105.3401693
1,2005-06-03T18:16:09Z,495997.24104367,6776328.26666354,105.3437252
1,2005-06-03T18:30:59Z,495997.217891201,6776328.12758198,105.3344041
1,2005-06-03T19:01:20Z,495997.189656788,6776327.88962763,105.3000851
1,2005-06-03T19:15:59Z,495997.19015651,6776327.82698101,105.3373708
1,2005-06-03T19:32:50Z,495997.172238781,6776327.69414218,105.3281888
1,2005-06-03T20:00:59Z,495997.124949065,6776327.41899555,105.3429281
1,2005-06-03T20:15:59Z,495997.126210217,6776327.36687072,105.359337
