id,t,x,y,z
1,155.4070602,-1014.056064,321.569326,-49.2468282999999
1,155.4173611,-1014.066536,321.456266,-49.2612015
1,155.4277778,-1014.083006,321.337127,-49.2888205
1,155.4381944,-1014.098586,321.220242,-49.2438225
1,155.4487269,-1014.109686,321.107494,-49.3075045000001
1,155.4590278,-1014.133093,320.963497,-49.2884196
1,155.4694444,-1014.142218,320.874377,-49.2486616
1,155.4798611,-1014.159758,320.739342,-49.2915972
1,155.4902778,-1014.17401,320.622159,-49.2854572
1,155.5006944,-1014.182085,320.53009,-49.3077641
1,155.51111,-1014.207648,320.370546,-49.3222493
1,155.5215278,-1014.219255,320.271426,-49.2954372
1,155.5320602,-1014.229576,320.166453,-49.2789389
1,155.5423611,-1014.25331,320.028053,-49.2572496
1,155.5631944,-1014.280624,319.787926,-49.3251832
1,155.57361,-1014.301042,319.656476,-49.2931832
1,155.5842593,-1014.307818,319.56121,-49.3180004
1,155.5946759,-1014.33587,319.407948,-49.2912616999999
1,155.6049769,-1014.344276,319.313399,-49.2772555
1,155.6155093,-1014.352391,319.205046,-49.3046554
1,155.6259259,-1014.367794,319.082939,-49.3139932
1,155.63611,-1014.385277,318.94797,-49.331081
1,155.6467593,-1014.402871,318.818392,-49.3430244
1,155.6569444,-1014.415087,318.703276,-49.3393517
1,155.6675926,-1014.440619,318.551985,-49.3383783
1,155.6777778,-1014.463074,318.407806,-49.3218831
1,155.6883102,-1014.486929,318.263878,-49.3285893
1,155.6988426,-1014.497192,318.145643,-49.3300138
1,155.7092593,-1014.504103,318.047852,-49.3005121
1,155.7196759,-1014.537082,317.866354,-49.3175500999999
1,155.7298611,-1014.538646,317.785953,-49.2854439
1,155.7405093,-1014.563415,317.631646,-49.2844019
1,155.7509259,-1014.588364,317.482749,-49.2549963
1,155.7716435,-1014.611268,317.238935,-49.3172704999999
1,155.7821759,-1014.625027,317.105414,-49.386074
1,155.7924769,-1014.635367,317.003389,-49.3436163
1,155.8027778,-1014.653851,316.86883,-49.342573
1,155.8134259,-1014.672479,316.7316,-49.3337593
1,155.82361,-1014.692886,316.58949,-49.3300874
1,155.8342593,-1014.698526,316.488642,-49.3652199000001
1,155.8446759,-1014.722985,316.326239,-49.3537079
1,155.8552083,-1014.738279,316.209563,-49.3449406
1,155.8655093,-1014.752841,316.087321,-49.3543419
1,155.8759259,-1014.765539,315.980531,-49.2808839
1,155.8863426,-1014.779358,315.847189,-49.3548135
1,155.8967593,-1014.786677,315.749711,-49.3537929
1,156.4405382,-1015.612015,309.053349,-49.3946211
1,156.4484954,-1015.615111,308.96288,-49.4453199
1,156.4717882,-1015.646151,308.711373,-49.4329567
1,156.4822049,-1015.669255,308.578492,-49.3467822
1,156.500434,-1015.686022,308.449209,-49.3794021
1,156.5342882,-1015.734782,307.985333,-49.4322064
1,156.5447049,-1015.744223,307.888698,-49.4209847
1,156.5551215,-1015.76054,307.7566,-49.4354794
1,156.5707465,-1015.782937,307.61822,-49.3957779
1,156.5967882,-1015.817081,307.284455,-49.4160776
1,156.6072049,-1015.837641,307.14283,-49.4332421
1,156.6176215,-1015.846,307.035158,-49.4036715
1,156.6280382,-1015.858087,306.931424,-49.4234835
1,156.6359954,-1015.874811,306.799298,-49.4379987999999
1,156.6565972,-1015.905354,306.545214,-49.4410607999999
1,156.725,-1015.995248,305.744956,-49.4446465
1,156.7297454,-1016.001106,305.692959,-49.4416962
1,156.740162,-1016.02297,305.543774,-49.4095777
1,156.7608796,-1016.046411,305.303809,-49.4437091
1,156.771412,-1016.067233,305.162353,-49.4271968
1,156.7818287,-1016.073762,305.05692,-49.4389207
1,156.7922454,-1016.084544,304.93392,-49.4714487
1,156.802662,-1016.105067,304.792391,-49.4497124
1,156.8130787,-1016.116078,304.685708,-49.4513816
1,156.8232639,-1016.137909,304.549994,-49.4738083
1,156.8543403,-1016.171108,304.186745,-49.4705236
1,156.9497685,-1016.33245,303.003302,-49.469658
1,156.9633102,-1016.33988,302.871378,-49.4810732
1,156.9693287,-1016.343406,302.824145,-49.4832069
1,156.9797454,-1016.370915,302.668664,-49.4617095
1,156.990162,-1016.386343,302.536531,-49.4917177
1,157.0005787,-1016.389147,302.451627,-49.5242087
1,157.0108796,-1016.413762,302.311424,-49.5106035
1,157.021412,-1016.425078,302.210233,-49.4993427000001
1,157.0318287,-1016.432824,302.107888,-49.4932108
