Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	23	11	21	174.4729167	105.59722	267.06444	1038.656	4000.897	5278.902	948.501
CGR1	6	23	11	30	174.4791667	359.98861	87.23694	131.869	4999.974	5131.715	1007.978
444	6	23	11	30	174.4791667	285.58972	92.94333	1038.637	4000.886	5278.767	948.364
CGR1	6	23	11	31	174.4798611	179.99056	272.77028	131.869	4999.979	5131.715	1007.995
444	6	23	11	31	174.4798611	105.59167	267.06361	1038.64	4000.887	5278.803	948.486
CGR1	6	23	11	40	174.4861111	359.98694	87.23889	131.869	4999.97	5131.716	1007.973
444	6	23	11	40	174.4861111	285.58333	92.94139	1038.621	4000.868	5278.65	948.399
CGR1	6	23	11	41	174.4868056	179.98944	272.76889	131.869	4999.976	5131.715	1007.991
444	6	23	11	41	174.4868056	105.58667	267.06361	1038.625	4000.876	5278.713	948.49
CGR1	6	23	11	50	174.4930556	359.98722	87.23972	131.868	4999.971	5131.715	1007.972
444	6	23	11	50	174.4930556	285.57972	92.94472	1038.609	4000.865	5278.583	948.339
CGR1	6	23	11	51	174.49375	179.98806	272.77194	131.869	4999.973	5131.714	1007.998
444	6	23	11	51	174.49375	105.58111	267.0625	1038.61	4000.865	5278.609	948.467
CGR1	6	23	12	0	174.5	359.98639	87.23778	131.869	4999.969	5131.716	1007.976
444	6	23	12	0	174.5	285.5725	92.94667	1038.591	4000.85	5278.452	948.302
CGR1	6	23	12	1	174.5006944	179.98944	272.76833	131.869	4999.975	5131.715	1007.99
444	6	23	12	1	174.5006944	105.57611	267.06111	1038.594	4000.856	5278.515	948.444
CGR1	6	23	12	10	174.5069444	359.98639	87.24	131.869	4999.969	5131.716	1007.971
444	6	23	12	10	174.5069444	285.56861	92.94528	1038.577	4000.842	5278.379	948.331
CGR1	6	23	12	11	174.5076389	179.98778	272.77028	131.869	4999.972	5131.714	1007.995
444	6	23	12	11	174.5076389	105.57167	267.06194	1038.579	4000.849	5278.438	948.462
CGR1	6	23	12	20	174.5138889	359.98917	87.235	131.869	4999.975	5131.715	1007.982
444	6	23	12	20	174.5138889	285.56611	92.94722	1038.563	4000.845	5278.331	948.292
CGR1	6	23	12	21	174.5145833	179.98944	272.77306	131.869	4999.976	5131.714	1008.001
