Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	19	15	45	170.65625	359.99611	87.23833	131.868	4999.991	5131.715	1007.975
444	6	19	15	45	170.65625	288.20889	92.75778	1047.406	4006.189	5326.92	951.298
CGR1	6	19	15	46	170.6569444	179.99722	272.77028	131.869	4999.994	5131.714	1007.995
444	6	19	15	46	170.6569444	108.21389	267.24861	1047.405	4006.213	5327.005	951.418
CGR1	6	19	16	0	170.6666667	359.99722	87.24028	131.868	4999.994	5131.715	1007.971
444	6	19	16	0	170.6666667	288.2025	92.75917	1047.383	4006.175	5326.799	951.278
CGR1	6	19	16	1	170.6673611	179.99833	272.76972	131.868	4999.997	5131.714	1007.993
444	6	19	16	1	170.6673611	108.20389	267.24889	1047.384	4006.176	5326.829	951.423
CGR1	6	19	16	15	170.6770833	359.99556	87.23722	131.868	4999.99	5131.715	1007.977
444	6	19	16	15	170.6770833	288.19556	92.75778	1047.36	4006.157	5326.672	951.301
CGR1	6	19	16	16	170.6777778	179.99806	272.77083	131.869	4999.996	5131.714	1007.996
444	6	19	16	16	170.6777778	108.19583	267.24944	1047.359	4006.154	5326.682	951.437
CGR1	6	19	16	30	170.6875	359.99611	87.23667	131.868	4999.991	5131.715	1007.979
444	6	19	16	30	170.6875	288.18917	92.75778	1047.338	4006.142	5326.555	951.305
CGR1	6	19	16	31	170.6881944	179.99722	272.76944	131.868	4999.994	5131.714	1007.993
444	6	19	16	31	170.6881944	108.18972	267.24722	1047.339	4006.139	5326.566	951.393
CGR1	6	19	16	45	170.6979167	359.99639	87.23917	131.868	4999.992	5131.715	1007.973
444	6	19	16	45	170.6979167	288.17972	92.75917	1047.313	4006.113	5326.386	951.278
CGR1	6	19	16	46	170.6986111	179.99778	272.77111	131.868	4999.995	5131.714	1007.997
444	6	19	16	46	170.6986111	108.1825	267.24722	1047.31	4006.125	5326.431	951.398
CGR1	6	19	17	0	170.7083333	359.99583	87.23944	131.868	4999.991	5131.715	1007.972
444	6	19	17	0	170.7083333	288.17222	92.75861	1047.291	4006.089	5326.245	951.288
CGR1	6	19	17	1	170.7090278	179.99861	272.76972	131.868	4999.997	5131.714	1007.993
444	6	19	17	1	170.7090278	108.17583	267.24722	1047.29	4006.107	5326.309	951.395
CGR1	6	19	17	15	170.71875	359.99556	87.23694	131.868	4999.99	5131.715	1007.978
444	6	19	17	15	170.71875	288.16556	92.75972	1047.268	4006.076	5326.125	951.27
CGR1	6	19	17	16	170.7194444	179.99806	272.76861	131.869	4999.996	5131.715	1007.991
444	6	19	17	16	170.7194444	108.16694	267.2475	1047.267	4006.078	5326.151	951.403
CGR1	6	19	17	30	170.7291667	359.99444	87.23333	131.869	4999.987	5131.715	1007.986
444	6	19	17	30	170.7291667	288.15611	92.76028	1047.244	4006.045	5325.954	951.26
CGR1	6	19	17	31	170.7298611	179.99778	272.76833	131.869	4999.995	5131.715	1007.99
444	6	19	17	31	170.7298611	108.15889	267.24611	1047.241	4006.058	5326	951.377
CGR1	6	19	17	45	170.7395833	359.995	87.23639	131.869	4999.988	5131.715	1007.979
444	6	19	17	45	170.7395833	288.14972	92.75972	1047.219	4006.032	5325.835	951.276
CGR1	6	19	17	46	170.7402778	179.99611	272.77222	131.869	4999.991	5131.714	1007.999
444	6	19	17	46	170.7402778	108.15083	267.24639	1047.217	4006.035	5325.857	951.385
CGR1	6	19	18	0	170.75	359.99556	87.23778	131.869	4999.99	5131.715	1007.976
444	6	19	18	0	170.75	288.14222	92.76056	1047.197	4006.01	5325.697	951.259
CGR1	6	19	18	1	170.7506944	179.99611	272.76917	131.87	4999.991	5131.716	1007.992
444	6	19	18	1	170.7506944	108.14389	267.24639	1047.198	4006.013	5325.728	951.385
CGR1	6	19	18	15	170.7604167	359.995	87.23833	131.868	4999.988	5131.715	1007.975
444	6	19	18	15	170.7604167	288.13472	92.76167	1047.179	4005.985	5325.56	951.239
CGR1	6	19	18	16	170.7611111	179.99556	272.77	131.869	4999.99	5131.714	1007.994
444	6	19	18	16	170.7611111	108.13722	267.245	1047.176	4005.998	5325.606	951.363
CGR1	6	19	18	30	170.7708333	359.99611	87.23778	131.868	4999.991	5131.715	1007.976
444	6	19	18	30	170.7708333	288.12778	92.7625	1047.154	4005.971	5325.434	951.227
CGR1	6	19	18	31	170.7715278	179.99639	272.77	131.868	4999.992	5131.714	1007.994
444	6	19	18	31	170.7715278	108.13111	267.245	1047.153	4005.984	5325.49	951.361
CGR1	6	19	18	45	170.78125	359.99556	87.23806	131.868	4999.99	5131.715	1007.975
444	6	19	18	45	170.78125	288.12167	92.76028	1047.133	4005.955	5325.321	951.269
CGR1	6	19	18	46	170.7819444	179.99667	272.76972	131.868	4999.992	5131.714	1007.994
444	6	19	18	46	170.7819444	108.12306	267.24472	1047.131	4005.96	5325.346	951.358
CGR1	6	19	19	0	170.7916667	359.995	87.2375	131.868	4999.989	5131.715	1007.977
444	6	19	19	0	170.7916667	288.11222	92.76083	1047.105	4005.928	5325.15	951.26
CGR1	6	19	19	1	170.7923611	179.99694	272.76944	131.869	4999.993	5131.715	1007.993
444	6	19	19	1	170.7923611	108.11472	267.24472	1047.105	4005.936	5325.191	951.359
CGR1	6	19	19	15	170.8020833	359.99333	87.23722	131.869	4999.985	5131.715	1007.977
444	6	19	19	15	170.8020833	288.10444	92.76167	1047.087	4005.9	5325.005	951.243
CGR1	6	19	19	16	170.8027778	179.99611	272.77222	131.869	4999.991	5131.715	1007.999
CGR1	6	19	19	30	170.8125	359.99083	87.23722	131.868	4999.979	5131.715	1007.977
444	6	19	19	30	170.8125	288.09694	92.76139	1047.066	4005.879	5324.87	951.25
CGR1	6	19	19	31	170.8131944	179.995	272.76861	131.868	4999.989	5131.714	1007.991
444	6	19	19	31	170.8131944	108.09833	267.24583	1047.066	4005.881	5324.898	951.381
CGR1	6	19	19	45	170.8229167	359.99444	87.23833	131.869	4999.987	5131.715	1007.975
444	6	19	19	45	170.8229167	288.08917	92.76056	1047.042	4005.855	5324.726	951.267
CGR1	6	19	19	46	170.8236111	179.99722	272.76889	131.869	4999.994	5131.715	1007.992
444	6	19	19	46	170.8236111	108.09056	267.24667	1047.041	4005.859	5324.755	951.4
CGR1	6	19	20	0	170.8333333	359.9925	87.2375	131.868	4999.983	5131.715	1007.976
444	6	19	20	0	170.8333333	288.07972	92.75861	1047.021	4005.821	5324.559	951.302
CGR1	6	19	20	1	170.8340278	179.99389	272.76806	131.869	4999.986	5131.715	1007.99
444	6	19	20	1	170.8340278	108.08111	267.24722	1047.021	4005.823	5324.582	951.412
CGR1	6	19	20	15	170.84375	359.99167	87.23917	131.868	4999.981	5131.715	1007.973
444	6	19	20	15	170.84375	288.07361	92.7625	1047	4005.81	5324.447	951.233
CGR1	6	19	20	16	170.8444444	179.99417	272.77028	131.868	4999.987	5131.714	1007.995
444	6	19	20	16	170.8444444	108.07611	267.24639	1046.998	4005.819	5324.49	951.397
CGR1	6	19	20	30	170.8541667	359.99111	87.23778	131.868	4999.979	5131.715	1007.976
444	6	19	20	30	170.8541667	288.06611	92.76167	1046.976	4005.789	5324.306	951.25
CGR1	6	19	20	31	170.8548611	179.99556	272.76861	131.868	4999.99	5131.714	1007.991
444	6	19	20	31	170.8548611	108.06861	267.24722	1046.976	4005.796	5324.355	951.415
CGR1	6	19	20	45	170.8645833	359.99361	87.2375	131.869	4999.986	5131.716	1007.977
444	6	19	20	45	170.8645833	288.05917	92.76167	1046.957	4005.768	5324.182	951.25
CGR1	6	19	20	46	170.8652778	179.99472	272.76861	131.869	4999.988	5131.715	1007.991
444	6	19	20	46	170.8652778	108.0625	267.24472	1046.96	4005.779	5324.242	951.369
CGR1	6	19	21	0	170.875	359.99417	87.23833	131.869	4999.987	5131.716	1007.975
444	6	19	21	0	170.875	288.05194	92.75972	1046.935	4005.746	5324.048	951.285
CGR1	6	19	21	1	170.8756944	179.99389	272.77083	131.869	4999.986	5131.714	1007.996
444	6	19	21	1	170.8756944	108.05472	267.24806	1046.935	4005.756	5324.101	951.429
CGR1	6	19	21	15	170.8854167	359.99139	87.23417	131.869	4999.98	5131.715	1007.985
444	6	19	21	15	170.8854167	288.04444	92.76056	1046.914	4005.724	5323.912	951.273
CGR1	6	19	21	16	170.8861111	179.9925	272.76694	131.869	4999.983	5131.715	1007.987
444	6	19	21	16	170.8861111	108.0475	267.24083	1046.916	4005.74	5323.969	951.299
CGR1	6	19	21	30	170.8958333	359.98972	87.23694	131.869	4999.977	5131.715	1007.978
444	6	19	21	30	170.8958333	288.03556	92.76639	1046.897	4005.696	5323.752	951.168
CGR1	6	19	21	31	170.8965278	179.9925	272.76528	131.869	4999.983	5131.715	1007.983
444	6	19	21	31	170.8965278	108.03833	267.245	1046.895	4005.703	5323.801	951.377
CGR1	6	19	21	45	170.90625	359.99056	87.23722	131.868	4999.978	5131.715	1007.977
444	6	19	21	45	170.90625	288.02833	92.765	1046.875	4005.674	5323.619	951.193
CGR1	6	19	21	46	170.9069444	179.99222	272.77194	131.869	4999.982	5131.714	1007.999
444	6	19	21	46	170.9069444	108.03167	267.24333	1046.873	4005.688	5323.679	951.345
CGR1	6	19	22	0	170.9166667	359.99028	87.23778	131.869	4999.978	5131.715	1007.976
444	6	19	22	0	170.9166667	288.02111	92.76139	1046.854	4005.651	5323.49	951.263
CGR1	6	19	22	1	170.9173611	179.99306	272.76917	131.869	4999.984	5131.714	1007.992
444	6	19	22	1	170.9173611	108.02417	267.24333	1046.854	4005.665	5323.545	951.348
CGR1	6	19	22	15	170.9270833	359.99194	87.23583	131.869	4999.981	5131.715	1007.981
444	6	19	22	15	170.9270833	288.01722	92.76	1046.836	4005.645	5323.417	951.287
CGR1	6	19	22	16	170.9277778	179.99389	272.76806	131.869	4999.986	5131.715	1007.989
CGR1	6	19	22	30	170.9375	359.98917	87.23833	131.869	4999.975	5131.716	1007.975
444	6	19	22	30	170.9375	288.00972	92.76444	1046.816	4005.625	5323.279	951.205
CGR1	6	19	22	31	170.9381944	179.99278	272.76806	131.869	4999.984	5131.715	1007.989
444	6	19	22	31	170.9381944	108.01139	267.24389	1046.815	4005.628	5323.31	951.36
CGR1	6	19	22	45	170.9479167	359.99083	87.23806	131.869	4999.979	5131.715	1007.976
444	6	19	22	45	170.9479167	288.00222	92.76611	1046.795	4005.604	5323.142	951.177
CGR1	6	19	22	46	170.9486111	179.9925	272.76722	131.869	4999.983	5131.715	1007.988
444	6	19	22	46	170.9486111	108.005	267.24417	1046.797	4005.61	5323.195	951.365
CGR1	6	19	23	0	170.9583333	359.98833	87.24	131.869	4999.973	5131.716	1007.971
444	6	19	23	0	170.9583333	287.99028	92.76389	1046.774	4005.556	5322.931	951.219
CGR1	6	19	23	1	170.9590278	179.98806	272.76972	131.869	4999.972	5131.715	1007.993
444	6	19	23	1	170.9590278	107.99389	267.24056	1046.774	4005.572	5322.993	951.299
CGR1	6	19	23	15	170.96875	359.98722	87.23778	131.869	4999.97	5131.715	1007.976
444	6	19	23	15	170.96875	287.96472	92.78278	1046.543	4005.646	5322.408	950.886
