333	3772.320432	5347.870808	945.22	153.9482639
333	3772.304112	5347.737245	945.23	153.9597222
333	3772.298863	5347.706558	945.25	153.9625
333	3772.298201	5347.668208	945.23	153.9670139
333	3772.282349	5347.598746	945.28	153.9704861
333	3772.268429	5347.470876	945.26	153.9805556
333	3772.255763	5347.358741	945.26	153.9909722
333	3772.245368	5347.242727	945.24	154.0013889
333	3772.231015	5347.134431	945.29	154.0118056
333	3772.21656	5347.000134	945.26	154.0222222
333	3772.208127	5346.896651	945.28	154.0326389
333	3772.193664	5346.771967	945.28	154.0430556
333	3772.175249	5346.632554	945.30	154.0534722
333	3772.170915	5346.534288	945.29	154.0638889
333	3772.153287	5346.3979	945.26	154.0743056
333	3772.138471	5346.273448	945.29	154.0847222
333	3772.122878	5346.136496	945.27	154.0951389
333	3772.10726	5346.009271	945.31	154.1055556
333	3772.085491	5345.864352	945.35	154.1159722
333	3772.077488	5345.750835	945.32	154.1263889
333	3772.070863	5345.643527	945.33	154.1368056
333	3772.038471	5345.373134	945.31	154.1576389
333	3772.026034	5345.24504	945.31	154.1680556
333	3772.022549	5345.149585	945.31	154.1784722
333	3771.998245	5344.986216	945.36	154.1888889
333	3771.989709	5344.866636	945.29	154.1993056
333	3771.976323	5344.745069	945.33	154.2097222
333	3771.904975	5344.026648	945.33	154.2704861
333	3771.84086	5343.386429	945.36	154.3243056
333	3771.843345	5343.369672	945.35	154.3277778
333	3771.835568	5343.285182	945.38	154.3347222
333	3771.815032	5343.143365	945.37	154.3451389
333	3771.811679	5343.054409	945.37	154.3559028
333	3771.771269	5342.677264	945.36	154.3878472
333	3771.751546	5342.532007	945.32	154.3965278
333	3771.748444	5342.452586	945.32	154.4069444
333	3771.724998	5342.298788	945.33	154.4173611
333	3771.714195	5342.192526	945.36	154.4277778
333	3771.698713	5342.058925	945.34	154.4381944
333	3771.674257	5341.831735	945.40	154.4590278
333	3771.68159	5341.775067	945.36	154.4694444
333	3771.661802	5341.626512	945.36	154.4809028
333	3771.630282	5341.37868	945.35	154.5006944
333	3771.628565	5341.356755	945.35	154.5048611
333	3771.622611	5341.297324	945.37	154.5111111
333	3771.602349	5341.155499	945.38	154.5215278
333	3771.595995	5341.048266	945.36	154.5319444
333	3771.566683	5340.822254	945.37	154.5527778
333	3771.55158	5340.691713	945.41	154.5631944
333	3771.297625	5338.338468	945.41	154.7576389
333	3771.28782	5338.277031	945.42	154.7611111
333	3771.294596	5338.211146	945.44	154.7715278
333	3771.271044	5338.060525	945.47	154.7819444
333	3771.267694	5337.98463	945.53	154.7923611
333	3771.247132	5337.823737	945.46	154.8027778
333	3771.23469	5337.689221	945.42	154.8131944
333	3771.237395	5337.614899	945.43	154.8236111
333	3771.212196	5337.461639	945.45	154.8340278
333	3771.17567	5337.199408	945.46	154.8527778
333	3771.19317	5337.236232	945.45	154.8548611
333	3771.163212	5337.077947	945.49	154.8652778
333	3771.158229	5336.986495	945.48	154.8756944
333	3771.145237	5336.858732	945.47	154.8861111
333	3771.127605	5336.738701	945.55	154.8965278
333	3771.121819	5336.650591	945.52	154.9069444
333	3771.114844	5336.550128	945.61	154.9173611
333	3771.093794	5336.382855	945.46	154.9277778
333	3771.086528	5336.288703	945.47	154.9381944
333	3771.075085	5336.176678	945.49	154.9486111
333	3771.062073	5336.061628	945.50	154.9590278
333	3771.055415	5335.960979	945.50	154.9694444
333	3771.039653	5335.837351	945.49	154.9798611
333	3771.019517	5335.69867	945.53	154.9902778
333	3771.023402	5335.630534	945.46	155.0006944
333	3771.006047	5335.497325	945.47	155.0111111
333	3770.988442	5335.358311	945.47	155.0215278
333	3770.976052	5335.246456	945.50	155.0319444
333	3770.969879	5335.152037	945.49	155.0423611
333	3770.960219	5335.046012	945.50	155.0527778
333	3770.948614	5334.930727	945.50	155.0631944
333	3770.921138	5334.752483	945.47	155.0736111
333	3770.912887	5334.658758	945.49	155.0840278
333	3770.90428	5334.545894	945.49	155.0944444
333	3770.884165	5334.41681	945.53	155.1048611
333	3770.88097	5334.312158	945.52	155.1152778
333	3770.867674	5334.175007	945.51	155.1256944
333	3770.84858	5334.042778	945.53	155.1361111
333	3770.832491	5333.91584	945.56	155.1465278
333	3770.827031	5333.805485	945.51	155.1569444
333	3770.811578	5333.681491	945.56	155.1673611
333	3770.804095	5333.552345	945.52	155.1777778
333	3770.78779	5333.428937	945.53	155.1881944
333	3770.783483	5333.327728	945.50	155.1986111
333	3770.760308	5333.158055	945.53	155.2090278
333	3770.75412	5333.063697	945.53	155.2194444
333	3770.737243	5332.914897	945.53	155.2298611
333	3770.728743	5332.789164	945.52	155.2402778
333	3770.71084	5332.66932	945.54	155.2506944
333	3770.708733	5332.573872	945.56	155.2611111
333	3770.696854	5332.452404	945.56	155.2715278
333	3770.673356	5332.282854	945.57	155.2819444
333	3770.660301	5332.15849	945.54	155.2923611
333	3770.651786	5332.029796	945.51	155.3027778
333	3770.641919	5331.920463	945.54	155.3131944
333	3770.619925	5331.773088	945.60	155.3236111
333	3770.622762	5331.698546	945.58	155.3340278
333	3770.60685	5331.555868	945.56	155.3444444
333	3770.573046	5331.277273	945.59	155.3652778
333	3770.55984	5331.143431	945.53	155.3756944
333	3770.553727	5331.046002	945.55	155.3861111
333	3770.554666	5330.972107	945.54	155.3965278
333	3770.540815	5330.848116	945.58	155.4069444
333	3770.523219	5330.705806	945.58	155.4173611
333	3770.51423	5330.605942	945.61	155.4277778
333	3770.490181	5330.446163	945.61	155.4381944
333	3770.487229	5330.354346	945.57	155.4486111
