Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	18	13	30	169.5625	288.96278	92.73056	1049.738	4008.35	5340.73	951.687
CGR1	6	18	13	31	169.5631944	179.98778	272.77194	131.869	4999.972	5131.715	1007.998
444	6	18	13	31	169.5631944	108.96639	267.27778	1049.738	4008.366	5340.799	951.84
CGR1	6	18	13	45	169.5729167	359.98444	87.23778	131.869	4999.964	5131.716	1007.976
444	6	18	13	45	169.5729167	288.9525	92.73278	1049.715	4008.314	5340.548	951.648
CGR1	6	18	13	46	169.5736111	179.98417	272.76917	131.869	4999.964	5131.715	1007.992
CGR1	6	18	14	0	169.5833333	359.98694	87.23694	131.869	4999.97	5131.716	1007.978
444	6	18	14	0	169.5833333	288.94611	92.73111	1049.69	4008.299	5340.43	951.678
CGR1	6	18	14	1	169.5840278	179.985	272.77111	131.869	4999.965	5131.715	1007.996
444	6	18	14	1	169.5840278	108.95083	267.27583	1049.689	4008.321	5340.51	951.804
CGR1	6	18	14	15	169.59375	359.98972	87.23778	131.869	4999.977	5131.716	1007.976
444	6	18	14	15	169.59375	288.945	92.73083	1049.67	4008.31	5340.401	951.686
CGR1	6	18	14	16	169.5944444	179.99111	272.77083	131.869	4999.98	5131.715	1007.996
444	6	18	14	16	169.5944444	108.94833	267.27611	1049.666	4008.328	5340.461	951.811
CGR1	6	18	14	30	169.6041667	359.99028	87.23583	131.869	4999.978	5131.716	1007.98
CGR1	6	18	14	31	169.6048611	179.98972	272.76806	131.869	4999.976	5131.715	1007.99
444	6	18	14	31	169.6048611	108.93972	267.27389	1049.646	4008.297	5340.303	951.773
CGR1	6	18	14	45	169.6145833	359.98917	87.23861	131.87	4999.975	5131.716	1007.974
444	6	18	14	45	169.6145833	288.92917	92.72889	1049.624	4008.257	5340.112	951.72
CGR1	6	18	14	46	169.6152778	179.99028	272.77139	131.869	4999.978	5131.715	1007.997
CGR1	6	18	15	0	169.625	359.98778	87.2375	131.869	4999.972	5131.716	1007.977
444	6	18	15	0	169.625	288.92194	92.73222	1049.599	4008.243	5339.982	951.664
CGR1	6	18	15	1	169.6256944	179.99	272.77111	131.869	4999.977	5131.715	1007.996
CGR1	6	18	16	37	169.6923611	359.98278	87.235	131.869	4999.961	5131.716	1007.983
CGR1	6	18	16	38	169.6930556	179.98667	272.77194	131.869	4999.969	5131.715	1007.999
444	6	18	16	39	169.69375	108.86972	267.26917	1049.445	4008.077	5339.027	951.694
CGR1	6	18	16	45	169.6979167	359.98528	87.24111	131.87	4999.966	5131.717	1007.969
444	6	18	16	45	169.6979167	288.86556	92.73333	1049.432	4008.067	5338.951	951.65
CGR1	6	18	16	46	169.6986111	179.98694	272.76917	131.869	4999.97	5131.715	1007.992
444	6	18	16	46	169.6986111	108.86972	267.27194	1049.435	4008.083	5339.024	951.748
CGR1	6	18	16	48	169.7	359.97833	87.23778	131.869	4999.95	5131.716	1007.976
444	6	18	16	49	169.7006944	288.86556	92.73417	1049.426	4008.072	5338.945	951.635
CGR1	6	18	16	50	169.7013889	359.98389	87.24	131.869	4999.963	5131.716	1007.971
444	6	18	16	51	169.7020833	288.8625	92.7325	1049.425	4008.054	5338.894	951.668
CGR1	6	18	16	52	169.7027778	179.98667	272.76917	131.869	4999.97	5131.715	1007.992
444	6	18	16	52	169.7027778	108.86444	267.27472	1049.421	4008.063	5338.928	951.798
CGR1	6	18	17	0	169.7083333	359.98667	87.24	131.869	4999.969	5131.716	1007.971
444	6	18	17	0	169.7083333	288.86083	92.73472	1049.411	4008.059	5338.861	951.627
CGR1	6	18	17	1	169.7090278	179.98778	272.77028	131.869	4999.972	5131.715	1007.995
444	6	18	17	1	169.7090278	108.86417	267.27389	1049.412	4008.071	5338.922	951.785
CGR1	6	18	17	15	169.71875	359.98722	87.2375	131.869	4999.97	5131.716	1007.977
CGR1	6	18	17	16	169.7194444	179.98833	272.77056	131.869	4999.973	5131.715	1007.995
CGR1	6	18	17	30	169.7291667	359.985	87.23806	131.869	4999.966	5131.715	1007.976
CGR1	6	18	17	31	169.7298611	179.98833	272.77028	131.869	4999.973	5131.715	1007.995
CGR1	6	18	17	45	169.7395833	359.98722	87.23833	131.869	4999.971	5131.715	1007.975
444	6	18	17	45	169.7395833	288.83889	92.735	1049.338	4007.998	5338.455	951.624
CGR1	6	18	17	46	169.7402778	179.98917	272.76944	131.869	4999.975	5131.714	1007.993
CGR1	6	18	18	0	169.75	359.98806	87.23778	131.869	4999.973	5131.716	1007.976
444	6	18	18	0	169.75	288.83	92.73361	1049.316	4007.966	5338.296	951.652
CGR1	6	18	18	1	169.7506944	179.98972	272.77139	131.869	4999.977	5131.714	1007.997
444	6	18	18	1	169.7506944	108.83167	267.27222	1049.315	4007.972	5338.326	951.759
CGR1	6	18	18	15	169.7604167	359.98389	87.23778	131.869	4999.963	5131.715	1007.976
CGR1	6	18	18	16	169.7611111	179.98667	272.76944	131.869	4999.97	5131.715	1007.993
444	6	18	18	16	169.7611111	108.82333	267.27139	1049.291	4007.946	5338.172	951.746
CGR1	6	18	18	30	169.7708333	359.9875	87.23972	131.869	4999.971	5131.716	1007.972
444	6	18	18	30	169.7708333	288.81444	92.73417	1049.268	4007.92	5338.011	951.642
CGR1	6	18	18	31	169.7715278	179.98722	272.77083	131.869	4999.971	5131.715	1007.996
444	6	18	18	31	169.7715278	108.81778	267.27139	1049.267	4007.935	5338.069	951.746
CGR1	6	18	18	45	169.78125	359.98861	87.23722	131.869	4999.974	5131.716	1007.978
444	6	18	18	45	169.78125	288.80972	92.73361	1049.244	4007.914	5337.923	951.654
CGR1	6	18	18	46	169.7819444	179.98972	272.77028	131.869	4999.977	5131.715	1007.995
CGR1	6	18	19	0	169.7916667	359.9875	87.23722	131.869	4999.972	5131.715	1007.978
444	6	18	19	0	169.7916667	288.80028	92.73611	1049.221	4007.882	5337.75	951.609
CGR1	6	18	19	1	169.7923611	179.98861	272.76972	131.869	4999.974	5131.715	1007.993
CGR1	6	18	19	15	169.8020833	359.98889	87.2375	131.869	4999.975	5131.716	1007.977
CGR1	6	18	19	16	169.8027778	179.98972	272.76944	131.869	4999.976	5131.715	1007.993
CGR1	6	18	19	30	169.8125	359.98944	87.24	131.869	4999.976	5131.716	1007.971
CGR1	6	18	19	31	169.8131944	179.98972	272.76917	131.869	4999.977	5131.715	1007.992
CGR1	6	18	19	45	169.8229167	359.98833	87.23861	131.869	4999.973	5131.716	1007.974
CGR1	6	18	19	46	169.8236111	179.98972	272.76917	131.869	4999.976	5131.715	1007.992
CGR1	6	18	20	0	169.8333333	359.98778	87.23722	131.869	4999.972	5131.716	1007.978
CGR1	6	18	20	1	169.8340278	179.99056	272.76972	131.869	4999.979	5131.715	1007.994
CGR1	6	18	20	15	169.84375	359.99	87.24	131.869	4999.977	5131.716	1007.971
444	6	18	20	15	169.84375	288.76694	92.73889	1049.109	4007.795	5337.138	951.565
CGR1	6	18	20	16	169.8444444	179.99083	272.77222	131.869	4999.979	5131.715	1007.999
CGR1	6	18	20	30	169.8541667	359.99083	87.23833	131.869	4999.979	5131.716	1007.975
444	6	18	20	30	169.8541667	288.76	92.73611	1049.085	4007.774	5337.007	951.615
CGR1	6	18	20	31	169.8548611	179.99278	272.77111	131.869	4999.983	5131.715	1007.996
444	6	18	20	31	169.8548611	108.76306	267.27056	1049.085	4007.786	5337.063	951.739
CGR1	6	18	20	45	169.8645833	359.99139	87.2375	131.869	4999.98	5131.716	1007.977
444	6	18	20	45	169.8645833	288.75306	92.7375	1049.066	4007.752	5336.88	951.59
CGR1	6	18	20	46	169.8652778	179.9925	272.77028	131.869	4999.983	5131.715	1007.995
444	6	18	20	46	169.8652778	108.75444	267.26944	1049.066	4007.754	5336.908	951.716
CGR1	6	18	21	0	169.875	359.99056	87.23806	131.869	4999.978	5131.716	1007.975
444	6	18	21	0	169.875	288.74722	92.73917	1049.044	4007.741	5336.774	951.563
