Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	17	13	30	168.5625	359.98361	87.23889	131.87	4999.963	5131.716	1007.974
CGR1	6	17	13	31	168.5631944	179.98472	272.77083	131.869	4999.965	5131.715	1007.996
CGR1	6	17	13	45	168.5729167	359.9825	87.23861	131.869	4999.96	5131.715	1007.974
CGR1	6	17	13	46	168.5736111	179.98667	272.7675	131.869	4999.969	5131.715	1007.988
CGR1	6	17	14	0	168.5833333	359.98222	87.23889	131.869	4999.959	5131.716	1007.973
444	6	17	14	0	168.5833333	289.66361	92.69583	1051.993	4010.443	5353.603	952.215
CGR1	6	17	14	1	168.5840278	179.985	272.76806	131.869	4999.966	5131.716	1007.989
CGR1	6	17	14	15	168.59375	359.98361	87.23667	131.869	4999.962	5131.715	1007.979
CGR1	6	17	14	16	168.5944444	179.98528	272.76806	131.869	4999.966	5131.715	1007.989
444	6	17	14	16	168.5944444	109.6575	267.31056	1051.967	4010.425	5353.489	952.336
CGR1	6	17	14	30	168.6041667	359.98222	87.23972	131.869	4999.959	5131.716	1007.971
CGR1	6	17	14	31	168.6048611	179.98778	272.7725	131.869	4999.972	5131.715	1008
444	6	17	14	31	168.6048611	109.65139	267.31028	1051.939	4010.414	5353.375	952.328
CGR1	6	17	14	45	168.6145833	359.98472	87.23806	131.87	4999.965	5131.716	1007.975
CGR1	6	17	14	46	168.6152778	179.98611	272.77056	131.869	4999.968	5131.715	1007.995
444	6	17	14	46	168.6152778	109.64333	267.31139	1051.912	4010.388	5353.228	952.355
CGR1	6	17	15	0	168.625	359.98167	87.23806	131.869	4999.958	5131.716	1007.975
CGR1	6	17	15	1	168.6256944	179.98389	272.77167	131.869	4999.963	5131.715	1007.998
444	6	17	15	1	168.6256944	109.635	267.30583	1051.886	4010.367	5353.075	952.254
CGR1	6	17	15	15	168.6354167	359.98333	87.2425	131.869	4999.962	5131.716	1007.965
CGR1	6	17	15	16	168.6361111	179.98333	272.77056	131.869	4999.962	5131.715	1007.995
CGR1	6	17	15	30	168.6458333	359.9825	87.24083	131.869	4999.96	5131.716	1007.969
CGR1	6	17	15	31	168.6465278	179.98417	272.77278	131.869	4999.963	5131.714	1008
444	6	17	15	31	168.6465278	109.61944	267.30806	1051.833	4010.318	5352.786	952.297
CGR1	6	17	15	45	168.65625	359.98389	87.23778	131.869	4999.963	5131.716	1007.976
CGR1	6	17	15	46	168.6569444	179.98444	272.76861	131.869	4999.964	5131.715	1007.991
444	6	17	15	46	168.6569444	109.60972	267.30694	1051.807	4010.283	5352.61	952.276
CGR1	6	17	16	0	168.6666667	359.98194	87.2375	131.869	4999.958	5131.716	1007.977
CGR1	6	17	16	1	168.6673611	179.9825	272.77111	131.868	4999.96	5131.714	1007.997
CGR1	6	17	16	15	168.6770833	359.98	87.23944	131.869	4999.954	5131.716	1007.972
444	6	17	16	15	168.6770833	289.59333	92.69861	1051.757	4010.236	5352.31	952.175
CGR1	6	17	16	16	168.6777778	179.985	272.77	131.869	4999.966	5131.715	1007.994
444	6	17	16	16	168.6777778	109.59583	267.31	1051.755	4010.245	5352.353	952.332
CGR1	6	17	16	30	168.6875	359.9825	87.23778	131.869	4999.96	5131.716	1007.976
CGR1	6	17	16	31	168.6881944	179.98556	272.77306	131.869	4999.967	5131.714	1008.001
CGR1	6	17	16	45	168.6979167	359.98333	87.23694	131.869	4999.962	5131.716	1007.978
CGR1	6	17	16	46	168.6986111	179.985	272.77361	131.87	4999.965	5131.715	1008.003
CGR1	6	17	17	0	168.7083333	359.98389	87.24028	131.869	4999.963	5131.716	1007.97
444	6	17	17	0	168.7083333	289.57083	92.69944	1051.674	4010.175	5351.893	952.164
CGR1	6	17	17	1	168.7090278	179.98472	272.77333	131.869	4999.965	5131.714	1008.002
444	6	17	17	1	168.7090278	109.57306	267.30583	1051.675	4010.184	5351.934	952.26
CGR1	6	17	17	15	168.71875	359.98361	87.2375	131.869	4999.963	5131.716	1007.977
CGR1	6	17	17	16	168.7194444	179.98639	272.77333	131.869	4999.969	5131.715	1008.001
CGR1	6	17	17	30	168.7291667	359.98722	87.23694	131.869	4999.971	5131.716	1007.978
444	6	17	17	30	168.7291667	289.55861	92.70056	1051.631	4010.143	5351.67	952.145
CGR1	6	17	17	31	168.7298611	179.99	272.77	131.869	4999.977	5131.715	1007.994
444	6	17	17	31	168.7298611	109.56111	267.30611	1051.627	4010.156	5351.71	952.269
CGR1	6	17	17	45	168.7395833	359.98639	87.24028	131.869	4999.969	5131.716	1007.97
444	6	17	17	45	168.7395833	289.54917	92.70056	1051.602	4010.111	5351.493	952.149
CGR1	6	17	17	46	168.7402778	179.9875	272.77361	131.869	4999.971	5131.714	1008.002
CGR1	6	17	18	0	168.75	359.98361	87.23833	131.869	4999.963	5131.715	1007.975
CGR1	6	17	19	37	168.8173611	179.985	272.77194	131.869	4999.966	5131.715	1007.999
CGR1	6	17	19	38	168.8180556	359.98361	87.23889	131.869	4999.962	5131.716	1007.973
CGR1	6	17	19	39	168.81875	179.98667	272.76889	131.87	4999.969	5131.716	1007.992
CGR1	6	17	19	45	168.8229167	359.98667	87.23861	131.869	4999.97	5131.716	1007.974
444	6	17	19	45	168.8229167	289.48528	92.70333	1051.401	4009.912	5350.324	952.105
CGR1	6	17	19	46	168.8236111	179.98639	272.76972	131.869	4999.969	5131.715	1007.994
444	6	17	19	46	168.8236111	109.4875	267.30222	1051.405	4009.916	5350.363	952.21
CGR1	6	17	20	0	168.8333333	359.98611	87.23639	131.87	4999.968	5131.716	1007.979
CGR1	6	17	20	1	168.8340278	179.98778	272.77417	131.869	4999.972	5131.715	1008.004
CGR1	6	17	20	15	168.84375	359.98444	87.23861	131.869	4999.964	5131.715	1007.974
444	6	17	20	15	168.84375	289.47278	92.70694	1051.351	4009.886	5350.092	952.043
CGR1	6	17	20	16	168.8444444	179.98556	272.7725	131.869	4999.967	5131.714	1008
CGR1	6	17	20	30	168.8541667	359.98556	87.23694	131.87	4999.967	5131.716	1007.978
CGR1	6	17	20	31	168.8548611	179.98583	272.77	131.869	4999.968	5131.715	1007.994
CGR1	6	17	20	45	168.8645833	359.985	87.23861	131.869	4999.966	5131.716	1007.974
444	6	17	20	45	168.8645833	289.45639	92.70889	1051.303	4009.832	5349.787	952.011
CGR1	6	17	20	46	168.8652778	179.98528	272.77389	131.869	4999.967	5131.715	1008.003
CGR1	6	17	21	0	168.875	359.98472	87.23667	131.869	4999.965	5131.716	1007.979
CGR1	6	17	21	1	168.8756944	179.98583	272.77167	131.869	4999.968	5131.715	1007.998
CGR1	6	17	21	15	168.8854167	359.98583	87.23639	131.87	4999.968	5131.716	1007.979
444	6	17	21	15	168.8854167	289.44222	92.70306	1051.256	4009.784	5349.53	952.121
CGR1	6	17	21	16	168.8861111	179.98667	272.77111	131.87	4999.97	5131.716	1007.997
444	6	17	21	16	168.8861111	109.44472	267.3	1051.262	4009.791	5349.576	952.172
CGR1	6	17	21	30	168.8958333	359.98667	87.23778	131.869	4999.969	5131.716	1007.976
444	6	17	21	30	168.8958333	289.43472	92.70556	1051.234	4009.762	5349.391	952.073
CGR1	6	17	21	31	168.8965278	179.98639	272.77083	131.869	4999.969	5131.715	1007.996
444	6	17	21	31	168.8965278	109.43694	267.30083	1051.236	4009.769	5349.433	952.191
CGR1	6	17	21	45	168.90625	359.985	87.23611	131.87	4999.965	5131.716	1007.98
444	6	17	21	45	168.90625	289.42667	92.7125	1051.211	4009.739	5349.242	951.947
CGR1	6	17	21	46	168.9069444	179.98528	272.77278	131.869	4999.966	5131.715	1008
444	6	17	21	46	168.9069444	109.42944	267.29972	1051.217	4009.742	5349.298	952.173
CGR1	6	17	22	0	168.9166667	359.98472	87.23694	131.87	4999.965	5131.716	1007.978
444	6	17	22	0	168.9166667	289.41861	92.70833	1051.191	4009.706	5349.098	952.023
CGR1	6	17	22	1	168.9173611	179.98611	272.76889	131.869	4999.968	5131.715	1007.991
444	6	17	22	1	168.9173611	109.42278	267.29861	1051.181	4009.735	5349.169	952.153
CGR1	6	17	22	15	168.9270833	359.98361	87.23889	131.87	4999.962	5131.717	1007.974
444	6	17	22	15	168.9270833	289.41222	92.71028	1051.163	4009.695	5348.978	951.991
CGR1	6	17	22	16	168.9277778	179.98611	272.77194	131.869	4999.968	5131.715	1007.998
444	6	17	22	16	168.9277778	109.41417	267.29889	1051.164	4009.7	5349.018	952.159
CGR1	6	17	22	30	168.9375	359.98417	87.23722	131.869	4999.964	5131.716	1007.977
444	6	17	22	30	168.9375	289.40389	92.70861	1051.138	4009.667	5348.826	952.024
CGR1	6	17	22	31	168.9381944	179.98333	272.77194	131.869	4999.962	5131.715	1007.998
444	6	17	22	31	168.9381944	109.40694	267.29944	1051.14	4009.677	5348.883	952.168
CGR1	6	17	22	45	168.9479167	359.98472	87.23694	131.869	4999.965	5131.715	1007.978
444	6	17	22	45	168.9479167	289.39694	92.70917	1051.118	4009.645	5348.701	952.013
CGR1	6	17	22	46	168.9486111	179.98583	272.7725	131.869	4999.967	5131.715	1008
CGR1	6	17	23	0	168.9583333	359.98583	87.23556	131.869	4999.967	5131.716	1007.981
CGR1	6	17	23	1	168.9590278	179.98694	272.77139	131.869	4999.97	5131.715	1007.997
444	6	17	23	1	168.9590278	109.39389	267.29583	1051.094	4009.644	5348.643	952.104
CGR1	6	17	23	15	168.96875	359.98556	87.23444	131.869	4999.967	5131.716	1007.984
