Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	22	9	42	173.4041667	359.98722	87.23722	131.869	4999.971	5131.716	1007.977
444	6	22	9	42	173.4041667	286.29139	92.88361	1040.892	4002.16	5291.626	949.331
CGR1	6	22	9	43	173.4048611	359.98889	87.23583	131.869	4999.974	5131.716	1007.98
444	6	22	9	43	173.4048611	286.28917	92.88472	1040.886	4002.155	5291.585	949.307
CGR1	6	22	9	44	173.4055556	179.98972	272.77167	131.869	4999.976	5131.715	1007.998
444	6	22	9	44	173.4055556	106.29111	267.12417	1040.888	4002.156	5291.622	949.471
CGR1	6	22	9	50	173.4097222	359.98722	87.23639	131.869	4999.97	5131.715	1007.98
444	6	22	9	50	173.4097222	286.28444	92.88333	1040.879	4002.137	5291.5	949.333
CGR1	6	22	9	51	173.4104167	179.98944	272.77056	131.869	4999.976	5131.715	1007.996
444	6	22	9	51	173.4104167	106.28778	267.12333	1040.878	4002.149	5291.559	949.454
CGR1	6	22	10	0	173.4166667	359.98694	87.23583	131.869	4999.97	5131.716	1007.981
444	6	22	10	0	173.4166667	286.27833	92.88	1040.866	4002.115	5291.393	949.394
CGR1	6	22	10	1	173.4173611	179.98667	272.76806	131.869	4999.97	5131.715	1007.99
444	6	22	10	1	173.4173611	106.28083	267.12361	1040.865	4002.126	5291.437	949.463
CGR1	6	22	10	10	173.4236111	359.98639	87.23583	131.869	4999.969	5131.716	1007.981
444	6	22	10	10	173.4236111	286.27444	92.88167	1040.849	4002.114	5291.319	949.364
CGR1	6	22	10	11	173.4243056	179.98806	272.76889	131.869	4999.973	5131.715	1007.992
444	6	22	10	11	173.4243056	106.2775	267.12139	1040.846	4002.128	5291.372	949.422
CGR1	6	22	10	20	173.4305556	359.9875	87.23889	131.869	4999.971	5131.716	1007.974
444	6	22	10	20	173.4305556	286.27	92.885	1040.835	4002.107	5291.24	949.305
CGR1	6	22	10	21	173.43125	179.98833	272.77	131.869	4999.973	5131.715	1007.994
444	6	22	10	21	173.43125	106.27222	267.12333	1040.834	4002.112	5291.278	949.457
CGR1	6	22	10	30	173.4375	359.98778	87.24083	131.869	4999.972	5131.716	1007.969
444	6	22	10	30	173.4375	286.26611	92.8875	1040.816	4002.107	5291.164	949.264
CGR1	6	22	10	31	173.4381944	179.98889	272.77	131.869	4999.975	5131.714	1007.994
444	6	22	10	31	173.4381944	106.26861	267.12167	1040.814	4002.113	5291.208	949.432
CGR1	6	22	10	40	173.4444444	359.98667	87.23917	131.868	4999.969	5131.715	1007.973
444	6	22	10	40	173.4444444	286.26111	92.88778	1040.801	4002.097	5291.073	949.256
CGR1	6	22	10	41	173.4451389	179.98917	272.76917	131.869	4999.975	5131.715	1007.992
444	6	22	10	41	173.4451389	106.26333	267.12083	1040.799	4002.102	5291.111	949.413
CGR1	6	22	10	50	173.4513889	359.98778	87.23778	131.869	4999.972	5131.716	1007.976
444	6	22	10	50	173.4513889	286.25667	92.88667	1040.789	4002.085	5290.992	949.278
CGR1	6	22	10	51	173.4520833	179.98722	272.77028	131.869	4999.97	5131.714	1007.995
444	6	22	10	51	173.4520833	106.25972	267.12167	1040.785	4002.097	5291.045	949.432
CGR1	6	22	11	0	173.4583333	359.98833	87.23889	131.869	4999.973	5131.716	1007.974
444	6	22	11	0	173.4583333	286.2525	92.88667	1040.768	4002.085	5290.916	949.279
CGR1	6	22	11	1	173.4590278	179.98917	272.76972	131.869	4999.975	5131.714	1007.993
444	6	22	11	1	173.4590278	106.25444	267.12083	1040.768	4002.086	5290.947	949.418
CGR1	6	22	11	10	173.4652778	359.98861	87.2375	131.869	4999.974	5131.715	1007.976
444	6	22	11	10	173.4652778	286.24806	92.88667	1040.757	4002.072	5290.831	949.281
CGR1	6	22	11	11	173.4659722	179.99	272.76972	131.869	4999.977	5131.715	1007.993
444	6	22	11	11	173.4659722	106.25028	267.12028	1040.752	4002.082	5290.873	949.407
CGR1	6	22	11	20	173.4722222	359.98889	87.23694	131.869	4999.974	5131.715	1007.978
444	6	22	11	20	173.4722222	286.24333	92.88583	1040.742	4002.061	5290.748	949.296
CGR1	6	22	11	21	173.4729167	179.98972	272.76944	131.869	4999.976	5131.714	1007.993
444	6	22	11	21	173.4729167	106.24583	267.12	1040.736	4002.075	5290.791	949.401
CGR1	6	22	11	30	173.4791667	359.98917	87.23833	131.869	4999.975	5131.716	1007.975
444	6	22	11	30	173.4791667	286.23861	92.88722	1040.727	4002.053	5290.661	949.272
CGR1	6	22	11	31	173.4798611	179.99	272.76944	131.869	4999.977	5131.715	1007.993
444	6	22	11	31	173.4798611	106.24083	267.11944	1040.725	4002.06	5290.698	949.392
CGR1	6	22	11	40	173.4861111	359.9875	87.23611	131.869	4999.971	5131.715	1007.98
444	6	22	11	40	173.4861111	286.23417	92.88833	1040.715	4002.044	5290.58	949.253
CGR1	6	22	11	41	173.4868056	179.98778	272.76778	131.869	4999.972	5131.715	1007.989
444	6	22	11	41	173.4868056	106.23639	267.11944	1040.71	4002.053	5290.619	949.393
CGR1	6	22	11	50	173.4930556	359.98833	87.23778	131.869	4999.973	5131.716	1007.976
444	6	22	11	50	173.4930556	286.23083	92.88917	1040.701	4002.04	5290.516	949.238
CGR1	6	22	11	51	173.49375	179.98917	272.76833	131.869	4999.975	5131.715	1007.99
444	6	22	11	51	173.49375	106.23306	267.11889	1040.695	4002.05	5290.557	949.386
CGR1	6	22	12	0	173.5	359.98722	87.23694	131.869	4999.971	5131.716	1007.978
444	6	22	12	0	173.5	286.22472	92.8875	1040.687	4002.021	5290.406	949.268
CGR1	6	22	12	1	173.5006944	179.98806	272.76917	131.869	4999.973	5131.715	1007.992
444	6	22	12	1	173.5006944	106.2275	267.11694	1040.681	4002.037	5290.456	949.353
CGR1	6	22	12	10	173.5069444	359.98778	87.23833	131.869	4999.972	5131.716	1007.975
444	6	22	12	10	173.5069444	286.22028	92.88833	1040.672	4002.014	5290.324	949.255
CGR1	6	22	12	11	173.5076389	179.98778	272.76889	131.869	4999.972	5131.715	1007.992
444	6	22	12	11	173.5076389	106.22306	267.11944	1040.666	4002.027	5290.376	949.398
CGR1	6	22	12	20	173.5138889	359.9875	87.23917	131.869	4999.971	5131.716	1007.973
444	6	22	12	20	173.5138889	286.21667	92.89111	1040.654	4002.015	5290.256	949.205
CGR1	6	22	12	21	173.5145833	179.98889	272.76972	131.868	4999.975	5131.714	1007.993
444	6	22	12	21	173.5145833	106.21833	267.11861	1040.653	4002.016	5290.287	949.38
CGR1	6	22	12	30	173.5208333	359.9875	87.23806	131.869	4999.971	5131.715	1007.975
444	6	22	12	30	173.5208333	286.21111	92.88889	1040.641	4001.998	5290.158	949.246
CGR1	6	22	12	31	173.5215278	179.98889	272.76833	131.869	4999.974	5131.715	1007.99
