t,x,y,z
129.707638888889,759.038917319355,-1824.00999648485,-76.089806401696
129.711284722222,759.0234212921,-1823.99519571285,-76.0925040427048
129.721701388889,759.071611033778,-1823.80139106079,-76.1001374002179
129.732118055556,759.016303635346,-1823.64831815149,-76.1508435884949
129.742534722222,758.945978598864,-1823.50178016099,-76.1687529588061
129.752951388889,758.988822447863,-1823.31765772712,-76.1403938257122
129.763194444444,758.930805889086,-1823.16931586738,-76.156691447376
129.773784722222,758.951773806678,-1822.9954857713,-76.1387329955821
129.784201388889,758.87441127181,-1822.85897681287,-76.077506600762
129.794618055556,758.849915974218,-1822.70151284948,-76.0818958910528
129.805034722222,758.796757935248,-1822.55814277723,-76.0604797800305
129.815451388889,758.724395942715,-1822.42467428384,-76.0063542528163
129.825694444444,758.742722884644,-1822.25132962856,-76.0159899416404
129.836284722222,758.667160730939,-1822.121385178,-75.9222778535717
129.857118055556,758.61204595756,-1821.81875904107,-75.8400034572675
129.867534722222,758.572479697809,-1821.66774403441,-75.8271630747508
129.877951388889,758.529096983694,-1821.52548953193,-75.7852626805891
129.914930555556,758.449830612121,-1820.93885026188,-75.6184817380666
129.919618055556,758.448574793247,-1820.89554286057,-75.642789087049
129.930034722222,758.383631954273,-1820.759771305,-75.595654911186
129.940451388889,758.396921783384,-1820.58577331355,-75.5276442374104
129.950868055556,758.354209133558,-1820.43848442158,-75.5218084482573
129.961284722222,758.299319141701,-1820.29105795862,-75.484768181197
129.971701388889,758.278642886917,-1820.13403478315,-75.4530670140065
129.982118055556,758.2200051665,-1819.98880973604,-75.4005511710701
129.992361111111,758.148311410211,-1819.84579866648,-75.4650885561763
130.002951388889,758.201533715726,-1819.65147265124,-75.4727880202727
130.013194444444,758.162946474424,-1819.49401664986,-75.4614872142465
130.023784722222,758.125806141269,-1819.33780762688,-75.4709228913817
130.034201388889,758.133764840302,-1819.16240533293,-75.4768972243331
130.044618055556,758.099807489029,-1819.00045436385,-75.4620607421372
130.055034722222,758.067324976367,-1818.83758545557,-75.4937117006418
130.065451388889,758.077768512807,-1818.65704862018,-75.5460279764463
130.075868055556,757.987908215142,-1818.51520280536,-75.5689533433354
130.086284722222,757.959683242949,-1818.34471399825,-75.6107077278219
130.096527777778,757.996018670164,-1818.15487762489,-75.6268991430829
130.107118055556,757.964130927601,-1817.98681990111,-75.6858856921303
130.117534722222,757.949643748943,-1817.8113840101,-75.7087106373961
130.127951388889,757.910877730847,-1817.64696049061,-75.6971400962859
130.138368055556,757.955026010874,-1817.44921190143,-75.7596162606386
130.148784722222,757.896223052207,-1817.29705203001,-75.7843172990954
130.159201388889,757.823706678699,-1817.14772127831,-75.8003071304349
130.169618055556,757.864042799739,-1816.95655341599,-75.807876410875
130.180034722222,757.875534287103,-1816.77437093343,-75.7843681818028
130.190451388889,757.831551403699,-1816.61762706062,-75.8486776810083
130.200868055556,757.77470953753,-1816.46129493499,-75.8887178203138
130.211284722222,757.78560554293,-1816.28445132561,-75.8860265515068
130.221701388889,757.769136257184,-1816.12232902386,-75.8301372674896
130.232118055556,757.777208011753,-1815.94992340359,-75.7622166033946
130.242534722222,757.707625392315,-1815.80769656425,-75.8644637668647
130.252951388889,757.68664808922,-1815.64151100889,-75.8599581971299
130.263368055556,757.646692618412,-1815.49450271353,-75.845537189626
130.273784722222,757.622046664475,-1815.33738678675,-75.8292660681159
130.284201388889,757.608672936014,-1815.17609902104,-75.7872301902202
130.294618055556,757.504538713862,-1815.05359795636,-75.7624211240681
130.305034722222,757.524049693271,-1814.88200603026,-75.7033293052052
130.315451388889,757.480433182619,-1814.73518523674,-75.6819994070212
130.325868055556,757.38407493423,-1814.60679331313,-75.6296119526014
130.336284722222,757.44447470062,-1814.41963705268,-75.5602850270388
130.346701388889,757.344501929904,-1814.30040360898,-75.5064665166981
130.357118055556,757.294214907152,-1814.15544154695,-75.442170262985
130.367534722222,757.251890556618,-1814.00729312779,-75.4397338932264
130.377951388889,757.220135103134,-1813.85775406313,-75.4167903035219
130.388368055556,757.210185940385,-1813.69590557592,-75.3404880892361
130.398784722222,757.136800117487,-1813.56241858221,-75.2711335397628
130.409201388889,757.088838622247,-1813.41637818566,-75.2223292106439
130.419618055556,757.059184861809,-1813.2630096815,-75.2181915724151
130.430034722222,757.042545519918,-1813.10522280459,-75.1110619928219
130.440451388889,756.962360100411,-1812.966576453,-75.1822543273956
130.450868055556,756.949135116375,-1812.79919342263,-75.1675643019927
130.461284722222,756.925562632241,-1812.64041734774,-75.1410100562565
130.471701388889,756.909548686171,-1812.47306901533,-75.1142680062333
130.482118055556,756.884738051726,-1812.31136305976,-75.1184945923899
130.492534722222,756.862760338352,-1812.14533945102,-75.132906658486
130.502951388889,756.847389537194,-1811.9795906473,-75.1525710031926
130.513368055556,756.824747335884,-1811.81201473187,-75.1325911252992
130.523784722222,756.800747005917,-1811.64565152573,-75.1623965786819
130.534201388889,756.788397378328,-1811.47386162488,-75.1664404213799
130.544618055556,756.752806102159,-1811.30867853648,-75.2321340846028
130.555034722222,756.752825660722,-1811.1265469253,-75.2823035044509
130.565451388889,756.725110594976,-1810.95581537255,-75.3238802346314
130.575868055556,756.743245550707,-1810.76822992828,-75.3621002679427
130.586284722222,756.708633472789,-1810.59658563824,-75.4035266012609
130.596701388889,756.732354465554,-1810.40023068805,-75.4397883741257
130.607118055556,756.724482502273,-1810.21713053284,-75.5137684091984
130.617534722222,756.733723321687,-1810.02394858737,-75.5927743099307
130.627951388889,756.676415435305,-1809.86468397892,-75.6685533485869
130.638368055556,756.697116301344,-1809.6679080626,-75.6927155795031
130.651909722222,756.711875692567,-1809.39929945486,-75.7947872240339
130.659201388889,756.723170887431,-1809.27992922496,-75.8644011776487
130.669618055556,756.665601447022,-1809.1178915199,-75.866328304626
130.680034722222,756.688209707658,-1808.91695804452,-75.9571745419398
130.690451388889,756.728401575552,-1808.71155175977,-76.082377911517
130.700868055556,756.692403127812,-1808.54572176964,-76.0759023436151
130.711284722222,756.629842738153,-1808.39176613606,-76.0900131396575
130.721701388889,756.680048167358,-1808.18824565853,-76.1348713256283
130.742534722222,756.6240490771,-1807.85949527471,-76.1770630061003
130.8140625,756.383024909413,-1806.78108439126,-76.1518977032915
130.825868055556,756.381689501423,-1806.61191835536,-76.0602235884646
130.851215277778,756.283129656681,-1806.22827816341,-76.038157130298
130.857118055556,756.237283260441,-1806.18293652924,-75.9862164243752
130.867534722222,756.202246132593,-1806.03731634429,-75.9924573636831
130.877951388889,756.187726411284,-1805.88319922602,-75.9319674996052
130.888368055556,756.10314723949,-1805.75419335913,-75.8816006978798
130.898784722222,756.025583473213,-1805.62423905469,-75.8484201098615
130.909201388889,756.018555111398,-1805.45929339175,-75.803074033204
130.919618055556,755.962588321787,-1805.31458320919,-75.7508829407215
130.930034722222,755.94981122589,-1805.14699949107,-75.7481300095093
130.940451388889,755.874598769768,-1805.00939771502,-75.6668414572716
130.950868055556,755.853264476108,-1804.84572344247,-75.6692358376484
130.961284722222,755.780729456114,-1804.70125329537,-75.5826301947413
