Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
333	154.948	285.819	92.536	1277.259	1.620	3772.305	5347.831	945.204
333	154.949	105.820	267.475	1277.260	1.620	3772.304	5347.874	945.463
333	154.960	285.813	92.535	1277.238	1.620	3772.287	5347.697	945.237
333	154.960	105.814	267.474	1277.239	1.620	3772.287	5347.734	945.446
333	154.963	105.813	267.475	1277.236	1.620	3772.285	5347.718	945.461
333	154.963	285.811	92.534	1277.233	1.620	3772.280	5347.656	945.254
333	154.966	285.809	92.536	1277.227	1.620	3772.274	5347.609	945.213
333	154.968	105.811	267.475	1277.224	1.620	3772.280	5347.658	945.464
333	154.969	285.807	92.533	1277.221	1.620	3772.268	5347.576	945.284
333	154.972	105.808	267.477	1277.218	1.620	3772.266	5347.591	945.503
333	154.980	285.801	92.534	1277.200	1.620	3772.251	5347.437	945.269
333	154.981	105.803	267.475	1277.198	1.620	3772.257	5347.481	945.471
333	154.990	285.796	92.534	1277.182	1.620	3772.237	5347.319	945.274
333	154.992	105.796	267.476	1277.179	1.620	3772.236	5347.337	945.475
333	155.001	285.791	92.534	1277.161	1.620	3772.228	5347.207	945.261
333	155.002	105.791	267.474	1277.159	1.620	3772.228	5347.228	945.442
333	155.011	285.785	92.532	1277.143	1.620	3772.210	5347.091	945.313
333	155.013	105.786	267.476	1277.141	1.620	3772.212	5347.116	945.497
333	155.022	285.779	92.533	1277.123	1.620	3772.193	5346.952	945.284
333	155.023	105.781	267.474	1277.119	1.620	3772.203	5346.996	945.454
333	155.032	285.774	92.533	1277.101	1.620	3772.184	5346.836	945.297
333	155.033	105.776	267.476	1277.099	1.620	3772.187	5346.870	945.487
333	155.042	285.769	92.534	1277.081	1.620	3772.176	5346.733	945.275
333	155.044	105.770	267.477	1277.079	1.620	3772.170	5346.740	945.506
333	155.053	285.763	92.533	1277.060	1.620	3772.157	5346.595	945.304
333	155.054	105.764	267.477	1277.058	1.620	3772.157	5346.620	945.520
333	155.063	285.758	92.533	1277.038	1.620	3772.148	5346.478	945.284
333	155.065	105.759	267.477	1277.036	1.620	3772.143	5346.490	945.514
333	155.074	285.753	92.534	1277.018	1.620	3772.139	5346.366	945.259
333	155.075	105.754	267.476	1277.018	1.620	3772.134	5346.385	945.488
333	155.084	285.748	92.533	1276.999	1.620	3772.123	5346.246	945.303
333	155.085	105.748	267.476	1276.996	1.620	3772.116	5346.244	945.493
333	155.094	285.741	92.534	1276.978	1.620	3772.102	5346.095	945.282
333	155.096	105.741	267.476	1276.974	1.620	3772.101	5346.105	945.489
333	155.105	285.735	92.533	1276.955	1.620	3772.091	5345.968	945.288
333	155.106	105.737	267.478	1276.955	1.620	3772.087	5345.998	945.547
333	155.115	285.729	92.531	1276.936	1.620	3772.067	5345.826	945.354
333	155.117	105.730	267.479	1276.934	1.620	3772.067	5345.851	945.561
333	155.126	285.723	92.531	1276.914	1.620	3772.053	5345.690	945.335
333	155.127	105.726	267.478	1276.912	1.620	3772.065	5345.759	945.535
333	155.136	285.719	92.532	1276.892	1.620	3772.051	5345.601	945.324
333	155.138	105.720	267.479	1276.888	1.620	3772.053	5345.627	945.555
333	155.147	285.712	92.533	1276.871	1.620	3772.029	5345.442	945.308
333	155.157	285.707	92.533	1276.851	1.620	3772.019	5345.333	945.311
333	155.158	105.709	267.477	1276.847	1.620	3772.023	5345.368	945.520
333	155.167	285.701	92.532	1276.828	1.620	3772.006	5345.204	945.323
333	155.169	105.703	267.477	1276.824	1.620	3772.012	5345.242	945.524
333	155.178	285.697	92.533	1276.804	1.620	3772.003	5345.102	945.306
333	155.179	105.697	267.478	1276.803	1.620	3771.996	5345.113	945.541
333	155.188	285.690	92.530	1276.782	1.620	3771.979	5344.947	945.367
333	155.190	105.691	267.480	1276.779	1.620	3771.981	5344.975	945.588
333	155.199	285.684	92.533	1276.761	1.620	3771.966	5344.811	945.302
333	155.200	105.685	267.476	1276.758	1.620	3771.970	5344.847	945.507
333	155.209	285.679	92.532	1276.740	1.620	3771.960	5344.715	945.335
333	155.210	105.680	267.478	1276.736	1.620	3771.957	5344.727	945.545
333	155.219	285.673	92.534	1276.719	1.620	3771.940	5344.562	945.294
333	155.322	105.622	267.479	1276.507	1.620	3771.830	5343.427	945.578
333	155.324	285.619	92.531	1276.503	1.620	3771.824	5343.356	945.354
333	155.325	105.621	267.479	1276.499	1.620	3771.826	5343.387	945.584
333	155.327	285.618	92.532	1276.495	1.620	3771.824	5343.322	945.343
333	155.328	105.618	267.478	1276.494	1.620	3771.819	5343.336	945.566
333	155.334	285.611	92.530	1276.479	1.620	3771.800	5343.184	945.380
333	155.335	105.615	267.479	1276.477	1.620	3771.815	5343.265	945.597
333	155.344	285.609	92.531	1276.462	1.620	3771.802	5343.125	945.356
333	155.346	105.608	267.480	1276.458	1.620	3771.789	5343.101	945.604
333	155.355	285.605	92.532	1276.441	1.620	3771.798	5343.027	945.338
333	155.357	105.603	267.481	1276.437	1.620	3771.780	5342.997	945.632
333	155.365	285.600	92.531	1276.419	1.620	3771.791	5342.925	945.363
