Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
CGR1	155.074	179.998	272.775	131.883	1.620	4999.995	5131.729	1008.007
CGR1	155.074	359.998	87.236	131.883	1.620	4999.996	5131.730	1007.980
CGR1	155.074	179.999	272.774	131.883	1.620	4999.998	5131.729	1008.003
CGR1	155.076	359.998	87.236	131.884	1.620	4999.995	5131.730	1007.980
CGR1	155.076	179.998	272.774	131.883	1.620	4999.996	5131.729	1008.004
CGR1	155.083	359.999	87.236	131.884	1.620	4999.998	5131.730	1007.981
CGR1	155.084	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.003
CGR1	155.085	359.999	87.235	131.884	1.620	4999.997	5131.730	1007.983
CGR1	155.085	179.998	272.775	131.884	1.620	4999.995	5131.729	1008.006
CGR1	155.086	359.999	87.238	131.884	1.620	4999.997	5131.730	1007.976
CGR1	155.086	179.999	272.775	131.884	1.620	4999.997	5131.729	1008.006
CGR1	155.094	359.999	87.237	131.883	1.620	4999.997	5131.730	1007.979
CGR1	155.094	179.998	272.776	131.883	1.620	4999.994	5131.729	1008.008
CGR1	155.095	359.998	87.237	131.884	1.620	4999.994	5131.731	1007.980
CGR1	155.095	179.998	272.774	131.883	1.620	4999.995	5131.729	1008.003
CGR1	155.097	359.998	87.236	131.883	1.620	4999.995	5131.730	1007.982
CGR1	155.097	179.998	272.774	131.883	1.620	4999.996	5131.728	1008.005
CGR1	155.104	359.999	87.237	131.884	1.620	4999.999	5131.730	1007.979
CGR1	155.105	179.998	272.774	131.884	1.620	4999.995	5131.729	1008.005
CGR1	155.106	359.998	87.236	131.884	1.620	4999.995	5131.730	1007.982
CGR1	155.106	179.998	272.773	131.884	1.620	4999.995	5131.729	1008.003
CGR1	155.107	359.998	87.236	131.884	1.620	4999.995	5131.730	1007.981
CGR1	155.107	179.999	272.774	131.883	1.620	4999.997	5131.729	1008.003
CGR1	155.115	359.998	87.235	131.884	1.620	4999.996	5131.730	1007.982
