153.000000	5.688
153.041667	5.054
153.083333	4.129
153.125000	3.103
153.166667	2.182
153.208333	1.558
153.250000	1.434
153.291667	1.777
153.333333	2.585
153.375000	3.507
153.416667	4.362
153.458333	4.886
153.500000	5.107
153.541667	4.96
153.583333	4.479
153.625000	3.775
153.666667	3.125
153.708333	2.701
153.750000	2.694
153.791667	3.167
153.833333	4.006
153.875000	4.926
153.916667	5.697
153.958333	6.147
154.000000	6.178
154.041667	5.753
154.083333	4.932
154.125000	3.839
154.166667	2.673
154.208333	1.68
154.250000	1.146
154.291667	1.159
154.333333	1.734
154.375000	2.623
154.416667	3.584
154.458333	4.478
154.500000	5.046
154.541667	5.219
154.583333	4.963
154.625000	4.382
154.666667	3.673
154.708333	3.002
154.750000	2.674
154.791667	2.751
154.833333	3.354
154.875000	4.251
154.916667	5.223
154.958333	5.967
155.000000	6.334
155.041667	6.219
155.083333	5.64
155.125000	4.663
155.166667	3.485
155.208333	2.273
155.250000	1.299
155.291667	0.823
155.333333	0.957
155.375000	1.657
155.416667	2.674
155.458333	3.697
155.500000	4.569
155.541667	5.146
155.583333	5.242
155.625000	4.897
155.666667	4.315
155.708333	3.598
155.750000	3.006
155.791667	2.78
155.833333	2.989
155.875000	3.612
155.916667	4.543
155.958333	5.454
156.000000	6.122
156.041667	6.39
156.083333	6.209
156.125000	5.572
156.166667	4.522
156.208333	3.269
156.250000	2.061
156.291667	1.154
156.333333	0.805
156.375000	1.029
156.416667	1.833
156.458333	2.909
156.500000	3.961
156.541667	4.79
156.583333	5.236
156.625000	5.288
156.666667	4.976
156.708333	4.353
156.750000	3.63
156.791667	3.067
156.833333	2.847
156.875000	3.134
156.916667	3.863
156.958333	4.786
157.000000	5.584
157.041667	6.161
157.083333	6.393
157.125000	6.131
157.166667	5.433
157.208333	4.34
157.250000	3.111
157.291667	1.996
157.333333	1.165
157.375000	0.958
157.416667	1.303
157.458333	2.102
157.500000	3.098
157.541667	4.057
157.583333	4.829
157.625000	5.217
157.666667	5.253
157.708333	4.853
157.750000	4.215
157.791667	3.529
157.833333	3.022
157.875000	2.897
157.916667	3.214
157.958333	3.908
158.000000	4.74
158.041667	5.48
