
Project:     S1R1 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 17:58:58

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
19-K  18:01:30.00  5/18/2010   503763.026  6784056.872  301.603   2.208   1.403 4
20-K  18:02:00.00  5/18/2010   503763.184  6784056.781  301.184   2.770   2.848 4
21-K  18:02:30.00  5/18/2010   503763.108  6784056.755  301.371   2.993   2.893 4
22-K  18:03:00.00  5/18/2010   503763.149  6784056.782  301.356   2.937   2.958 4
23-K  18:03:30.00  5/18/2010   503763.181  6784056.739  301.374   2.766   3.003 4
25-K  18:04:30.00  5/18/2010   503763.264  6784056.644  301.746   0.028   0.039 2
26-K  18:05:00.00  5/18/2010   503763.261  6784056.642  301.760   0.028   0.038 2
27-K  18:05:30.00  5/18/2010   503763.257  6784056.639  301.751   0.031   0.035 2
28-K  18:06:00.00  5/18/2010   503763.253  6784056.642  301.756   0.032   0.034 2
29-K  18:06:30.00  5/18/2010   503763.249  6784056.638  301.751   0.033   0.033 2
30-K  18:07:00.00  5/18/2010   503763.248  6784056.633  301.746   0.034   0.032 2
31-K  18:07:30.00  5/18/2010   503763.247  6784056.629  301.750   0.034   0.032 2
32-K  18:08:00.00  5/18/2010   503763.240  6784056.626  301.744   0.034   0.031 2
33-K  18:08:30.00  5/18/2010   503763.238  6784056.625  301.744   0.034   0.031 2
34-K  18:09:00.00  5/18/2010   503763.236  6784056.622  301.744   0.034   0.031 2
35-K  18:09:30.00  5/18/2010   503763.234  6784056.621  301.747   0.034   0.031 2
36-K  18:10:00.00  5/18/2010   503763.231  6784056.614  301.747   0.034   0.031 2
37-K  18:10:30.00  5/18/2010   503763.230  6784056.615  301.747   0.034   0.031 2
38-K  18:11:00.00  5/18/2010   503763.223  6784056.608  301.741   0.034   0.031 2
39-K  18:11:30.00  5/18/2010   503763.222  6784056.607  301.742   0.034   0.031 2
40-K  18:12:00.00  5/18/2010   503763.219  6784056.600  301.729   0.034   0.031 2
41-K  18:12:30.00  5/18/2010   503763.218  6784056.598  301.738   0.034   0.030 2
42-K  18:13:00.00  5/18/2010   503763.217  6784056.593  301.738   0.034   0.030 2
43-K  18:13:30.00  5/18/2010   503763.215  6784056.588  301.734   0.034   0.030 2
44-K  18:14:00.00  5/18/2010   503763.209  6784056.588  301.739   0.034   0.030 2
45-K  18:14:30.00  5/18/2010   503763.207  6784056.586  301.738   0.034   0.030 2
46-K  18:15:00.00  5/18/2010   503763.204  6784056.582  301.731   0.034   0.030 2
47-K  18:15:30.00  5/18/2010   503763.205  6784056.577  301.732   0.034   0.030 2
48-K  18:16:00.00  5/18/2010   503763.200  6784056.578  301.730   0.034   0.030 2
49-K  18:16:30.00  5/18/2010   503763.200  6784056.577  301.731   0.034   0.030 2
50-K  18:17:00.00  5/18/2010   503763.197  6784056.572  301.730   0.034   0.030 2
51-K  18:17:30.00  5/18/2010   503763.194  6784056.574  301.728   0.034   0.030 2
52-K  18:18:00.00  5/18/2010   503763.190  6784056.572  301.734   0.034   0.030 2
53-K  18:18:30.00  5/18/2010   503763.187  6784056.569  301.722   0.033   0.029 2
54-K  18:19:00.00  5/18/2010   503763.186  6784056.566  301.728   0.033   0.029 2
55-K  18:19:30.00  5/18/2010   503763.181  6784056.567  301.725   0.033   0.029 2
56-K  18:20:00.00  5/18/2010   503763.178  6784056.561  301.725   0.033   0.029 2
57-K  18:20:30.00  5/18/2010   503763.173  6784056.559  301.723   0.033   0.029 2
58-K  18:21:00.00  5/18/2010   503763.170  6784056.558  301.729   0.033   0.029 2
59-K  18:21:30.00  5/18/2010   503763.167  6784056.557  301.729   0.033   0.029 2
60-K  18:22:00.00  5/18/2010   503763.164  6784056.554  301.728   0.033   0.028 2
61-K  18:22:30.00  5/18/2010   503763.159  6784056.552  301.723   0.032   0.028 2
62-K  18:23:00.00  5/18/2010   503763.158  6784056.552  301.727   0.032   0.028 2
