t,x,y,z
124.0000,492847.7090,6805418.6280,2663.7717
125.0000,492847.7930,6805418.7150,2663.7396
126.0000,492847.9640,6805418.9030,2663.6548
127.0000,492848.1350,6805419.0880,2663.5684
128.0000,492848.3030,6805419.2830,2663.4851
129.0000,492848.4560,6805419.4400,2663.4345
130.0000,492848.6180,6805419.6230,2663.3580
131.0000,492848.7760,6805419.8020,2663.2838
132.0000,492848.9370,6805419.9840,2663.2150
133.0000,492849.1300,6805420.1780,2663.1173
134.0000,492849.2860,6805420.3610,2663.0559
135.0000,492849.4220,6805420.5180,2662.9905
138.0000,492850.9840,6805421.8460,2663.9240
139.0000,492851.1420,6805422.0220,2663.7597
140.0000,492851.2980,6805422.2010,2663.6142
141.0000,492851.4530,6805422.3640,2663.4911
142.0000,492851.6140,6805422.5340,2663.3829
143.0000,492851.7730,6805422.7040,2663.3124
144.0000,492851.9130,6805422.8800,2663.2141
145.0000,492851.9930,6805423.0750,2663.1205
146.0000,492852.0880,6805423.2110,2662.9837
147.0000,492852.1410,6805423.3380,2662.8533
148.0000,492852.1840,6805423.4300,2662.6909
149.0000,492852.3440,6805423.6130,2662.6025
150.0000,492852.4030,6805423.6930,2662.4828
151.0000,492852.4990,6805423.8290,2662.3627
152.0000,492852.6200,6805423.9900,2662.2515
153.0000,492852.7790,6805424.1690,2662.1675
154.0000,492852.9140,6805424.3390,2662.1123
155.0000,492853.0540,6805424.5120,2662.0457
156.0000,492853.2360,6805424.7000,2661.9664
157.0000,492853.3920,6805424.8790,2661.9257
158.0000,492853.5630,6805425.0610,2661.8595
159.0000,492853.7250,6805425.2440,2661.8158
160.0000,492853.8900,6805425.4230,2661.7624
161.0000,492854.0630,6805425.6080,2661.7177
162.0000,492854.2180,6805425.7810,2661.6815
163.0000,492854.3750,6805425.9510,2661.6165
176.0000,492856.3630,6805428.2300,2661.0050
182.0000,492857.4530,6805429.3570,2660.6692
183.0000,492857.6050,6805429.6200,2660.5741
184.0000,492857.8160,6805429.7370,2660.5826
