t,x,y,z
124.0000,497977.4730,6808729.5330,2231.2405
125.0000,497977.7410,6808729.5110,2231.2273
126.0000,497978.5470,6808729.6870,2231.1498
127.0000,497979.3650,6808729.8410,2231.0801
128.0000,497980.2180,6808730.0080,2230.9723
129.0000,497980.9820,6808730.1340,2230.9148
130.0000,497981.7880,6808730.2790,2230.8487
131.0000,497982.5860,6808730.4340,2230.7886
132.0000,497983.4420,6808730.5940,2230.6895
133.0000,497984.3110,6808730.7670,2230.5823
134.0000,497985.0840,6808730.9180,2230.5174
135.0000,497985.8830,6808731.0690,2230.4723
136.0000,497986.6160,6808731.1950,2230.4108
138.0000,497989.9780,6808731.8960,2230.6985
139.0000,497990.2740,6808731.9050,2230.7725
140.0000,497991.0710,6808732.0280,2230.6695
141.0000,497991.8790,6808732.1790,2230.5713
142.0000,497992.7150,6808732.3520,2230.4000
143.0000,497993.4510,6808732.4790,2230.3657
144.0000,497994.2120,6808732.6360,2230.2824
145.0000,497994.9770,6808732.7870,2230.2191
146.0000,497995.6270,6808732.9540,2230.0550
147.0000,497996.1780,6808733.0930,2229.9501
148.0000,497996.6740,6808733.2100,2229.7111
149.0000,497996.9360,6808733.2010,2228.8342
150.0000,497997.7400,6808733.2810,2228.5834
151.0000,497998.4720,6808733.3420,2228.4385
152.0000,497999.3190,6808733.5210,2228.2867
153.0000,498000.1440,6808733.7030,2228.1824
