
Project:     S1R2 a-d
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 18:28:46

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
107-K 18:29:00.00  5/18/2010   504669.892  6785022.545  339.466   0.032   0.028 2
108-K 18:29:30.00  5/18/2010   504669.894  6785022.539  339.467   0.032   0.028 2
109-K 18:30:00.00  5/18/2010   504669.890  6785022.537  339.468   0.032   0.028 2
110-K 18:30:30.00  5/18/2010   504669.889  6785022.533  339.468   0.032   0.028 2
111-K 18:31:00.00  5/18/2010   504669.889  6785022.530  339.469   0.032   0.028 2
112-K 18:31:30.00  5/18/2010   504669.888  6785022.527  339.473   0.032   0.028 2
113-K 18:32:00.00  5/18/2010   504669.886  6785022.524  339.471   0.032   0.028 2
114-K 18:32:30.00  5/18/2010   504669.884  6785022.522  339.471   0.032   0.028 2
115-K 18:33:00.00  5/18/2010   504669.884  6785022.522  339.472   0.032   0.028 2
116-K 18:33:30.00  5/18/2010   504669.880  6785022.519  339.474   0.032   0.028 2
117-K 18:34:00.00  5/18/2010   504669.879  6785022.516  339.474   0.032   0.028 2
118-K 18:34:30.00  5/18/2010   504669.878  6785022.514  339.474   0.032   0.028 2
119-K 18:35:00.00  5/18/2010   504669.877  6785022.512  339.476   0.032   0.028 2
120-K 18:35:30.00  5/18/2010   504669.874  6785022.511  339.477   0.032   0.028 2
121-K 18:36:00.00  5/18/2010   504669.874  6785022.507  339.478   0.032   0.028 2
122-K 18:36:30.00  5/18/2010   504669.871  6785022.507  339.480   0.032   0.028 2
123-K 18:37:00.00  5/18/2010   504669.868  6785022.504  339.485   0.032   0.028 2
124-K 18:37:30.00  5/18/2010   504669.865  6785022.501  339.480   0.031   0.027 2
125-K 18:38:00.00  5/18/2010   504669.862  6785022.500  339.478   0.031   0.027 2
126-K 18:38:30.00  5/18/2010   504669.861  6785022.498  339.481   0.031   0.027 2
127-K 18:39:00.00  5/18/2010   504669.859  6785022.497  339.481   0.031   0.027 2
128-K 18:39:30.00  5/18/2010   504669.853  6785022.496  339.478   0.031   0.027 2
129-K 18:40:00.00  5/18/2010   504669.851  6785022.496  339.476   0.031   0.027 2
130-K 18:40:30.00  5/18/2010   504669.850  6785022.493  339.477   0.031   0.027 2
131-K 18:41:00.00  5/18/2010   504669.847  6785022.490  339.477   0.030   0.027 2
132-K 18:41:30.00  5/18/2010   504669.847  6785022.489  339.482   0.030   0.027 2
133-K 18:42:00.00  5/18/2010   504669.845  6785022.485  339.482   0.030   0.027 2
134-K 18:42:30.00  5/18/2010   504669.844  6785022.484  339.478   0.030   0.027 2
135-K 18:43:00.00  5/18/2010   504669.843  6785022.480  339.480   0.030   0.027 2
136-K 18:43:30.00  5/18/2010   504669.839  6785022.481  339.483   0.030   0.027 2
137-K 18:44:00.00  5/18/2010   504669.836  6785022.478  339.482   0.030   0.027 2
138-K 18:44:30.00  5/18/2010   504669.835  6785022.476  339.479   0.030   0.027 2
139-K 18:45:00.00  5/18/2010   504669.833  6785022.472  339.478   0.030   0.027 2
140-K 18:45:30.00  5/18/2010   504669.830  6785022.469  339.479   0.030   0.027 2
141-K 18:46:00.00  5/18/2010   504669.828  6785022.469  339.477   0.030   0.027 2
142-K 18:46:30.00  5/18/2010   504669.824  6785022.468  339.478   0.030   0.027 2
143-K 18:47:00.00  5/18/2010   504669.825  6785022.464  339.478   0.030   0.027 2
144-K 18:47:30.00  5/18/2010   504669.824  6785022.458  339.477   0.030   0.027 2
145-K 18:48:00.00  5/18/2010   504669.823  6785022.456  339.473   0.030   0.027 2
146-K 18:48:30.00  5/18/2010   504669.822  6785022.452  339.470   0.030   0.027 2
147-K 18:49:00.00  5/18/2010   504669.819  6785022.451  339.471   0.030   0.027 2
148-K 18:49:30.00  5/18/2010   504669.814  6785022.449  339.473   0.030   0.028 2
149-K 18:50:00.00  5/18/2010   504669.811  6785022.445  339.470   0.030   0.028 2
150-K 18:50:30.00  5/18/2010   504669.811  6785022.442  339.472   0.029   0.028 2
151-K 18:51:00.00  5/18/2010   504669.811  6785022.437  339.466   0.029   0.028 2
152-K 18:51:30.00  5/18/2010   504669.806  6785022.435  339.471   0.029   0.028 2
