
Project:     S1R3 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/20/2010 at 11:47:37

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base 3, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
103-K 18:29:00.00  5/18/2010   507487.292  6786622.335  422.670   0.033   0.029 2
104-K 18:29:30.00  5/18/2010   507487.292  6786622.334  422.672   0.033   0.029 2
105-K 18:30:00.00  5/18/2010   507487.291  6786622.335  422.670   0.033   0.029 2
106-K 18:30:30.00  5/18/2010   507487.290  6786622.333  422.676   0.034   0.029 2
107-K 18:31:00.00  5/18/2010   507487.292  6786622.328  422.672   0.034   0.029 2
108-K 18:31:30.00  5/18/2010   507487.293  6786622.327  422.678   0.034   0.029 2
109-K 18:32:00.00  5/18/2010   507487.291  6786622.327  422.677   0.034   0.029 2
110-K 18:32:30.00  5/18/2010   507487.288  6786622.329  422.680   0.034   0.029 2
111-K 18:33:00.00  5/18/2010   507487.293  6786622.321  422.685   0.033   0.029 2
112-K 18:33:30.00  5/18/2010   507487.289  6786622.325  422.685   0.033   0.028 2
113-K 18:34:00.00  5/18/2010   507487.289  6786622.326  422.683   0.033   0.028 2
114-K 18:34:30.00  5/18/2010   507487.288  6786622.325  422.681   0.032   0.028 2
115-K 18:35:00.00  5/18/2010   507487.287  6786622.326  422.683   0.032   0.028 2
116-K 18:35:30.00  5/18/2010   507487.285  6786622.326  422.682   0.031   0.028 2
117-K 18:36:00.00  5/18/2010   507487.286  6786622.324  422.685   0.031   0.028 2
118-K 18:36:30.00  5/18/2010   507487.285  6786622.322  422.688   0.031   0.028 2
119-K 18:37:00.00  5/18/2010   507487.286  6786622.317  422.691   0.031   0.028 2
120-K 18:37:30.00  5/18/2010   507487.284  6786622.316  422.688   0.031   0.028 2
121-K 18:38:00.00  5/18/2010   507487.284  6786622.315  422.691   0.031   0.028 2
122-K 18:38:30.00  5/18/2010   507487.283  6786622.314  422.688   0.031   0.028 2
123-K 18:39:00.00  5/18/2010   507487.282  6786622.312  422.691   0.031   0.028 2
124-K 18:39:30.00  5/18/2010   507487.279  6786622.312  422.688   0.031   0.028 2
125-K 18:40:00.00  5/18/2010   507487.277  6786622.310  422.691   0.031   0.028 2
126-K 18:40:30.00  5/18/2010   507487.278  6786622.311  422.690   0.031   0.028 2
127-K 18:41:00.00  5/18/2010   507487.277  6786622.310  422.691   0.031   0.028 2
128-K 18:41:30.00  5/18/2010   507487.277  6786622.309  422.698   0.031   0.028 2
129-K 18:42:00.00  5/18/2010   507487.275  6786622.307  422.694   0.031   0.028 2
130-K 18:42:30.00  5/18/2010   507487.276  6786622.309  422.693   0.031   0.028 2
131-K 18:43:00.00  5/18/2010   507487.275  6786622.308  422.695   0.031   0.028 2
132-K 18:43:30.00  5/18/2010   507487.273  6786622.306  422.694   0.031   0.028 2
133-K 18:44:00.00  5/18/2010   507487.271  6786622.306  422.698   0.031   0.028 2
134-K 18:44:30.00  5/18/2010   507487.271  6786622.305  422.694   0.031   0.028 2
135-K 18:45:00.00  5/18/2010   507487.268  6786622.302  422.694   0.030   0.028 2
136-K 18:45:30.00  5/18/2010   507487.267  6786622.303  422.696   0.030   0.028 2
137-K 18:46:00.00  5/18/2010   507487.267  6786622.302  422.693   0.030   0.028 2
138-K 18:46:30.00  5/18/2010   507487.265  6786622.301  422.694   0.030   0.028 2
139-K 18:47:00.00  5/18/2010   507487.265  6786622.299  422.692   0.030   0.028 2
140-K 18:47:30.00  5/18/2010   507487.264  6786622.294  422.695   0.030   0.028 2
141-K 18:48:00.00  5/18/2010   507487.264  6786622.293  422.690   0.030   0.028 2
142-K 18:48:30.00  5/18/2010   507487.262  6786622.292  422.686   0.030   0.028 2
143-K 18:49:00.00  5/18/2010   507487.261  6786622.292  422.687   0.030   0.028 2
144-K 18:49:30.00  5/18/2010   507487.260  6786622.289  422.689   0.030   0.028 2
145-K 18:50:00.00  5/18/2010   507487.257  6786622.288  422.686   0.030   0.028 2
146-K 18:50:30.00  5/18/2010   507487.258  6786622.284  422.685   0.030   0.028 2
147-K 18:51:00.00  5/18/2010   507487.257  6786622.280  422.680   0.030   0.028 2
