
Project:     S1R3 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/20/2010 at 11:47:37

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base 3, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
621-K 22:48:00.00  5/18/2010   507486.755  6786621.840  422.649   0.020   0.032 2
622-K 22:48:30.00  5/18/2010   507486.756  6786621.838  422.652   0.020   0.032 2
623-K 22:49:00.00  5/18/2010   507486.754  6786621.835  422.647   0.020   0.032 2
624-K 22:49:30.00  5/18/2010   507486.754  6786621.838  422.655   0.020   0.031 2
625-K 22:50:00.00  5/18/2010   507486.752  6786621.838  422.653   0.020   0.031 2
626-K 22:50:30.00  5/18/2010   507486.752  6786621.835  422.650   0.020   0.031 2
627-K 22:51:00.00  5/18/2010   507486.750  6786621.836  422.649   0.020   0.031 2
628-K 22:51:30.00  5/18/2010   507486.748  6786621.833  422.653   0.020   0.031 2
629-K 22:52:00.00  5/18/2010   507486.747  6786621.835  422.652   0.020   0.031 2
630-K 22:52:30.00  5/18/2010   507486.746  6786621.835  422.655   0.020   0.031 2
631-K 22:53:00.00  5/18/2010   507486.745  6786621.831  422.651   0.020   0.031 2
632-K 22:53:30.00  5/18/2010   507486.744  6786621.833  422.656   0.020   0.031 2
633-K 22:54:00.00  5/18/2010   507486.744  6786621.830  422.658   0.019   0.029 2
634-K 22:54:30.00  5/18/2010   507486.744  6786621.826  422.657   0.019   0.029 2
635-K 22:55:00.00  5/18/2010   507486.742  6786621.824  422.654   0.019   0.029 2
636-K 22:55:30.00  5/18/2010   507486.741  6786621.822  422.655   0.019   0.029 2
637-K 22:56:00.00  5/18/2010   507486.740  6786621.825  422.656   0.019   0.029 2
638-K 22:56:30.00  5/18/2010   507486.739  6786621.822  422.658   0.019   0.028 2
639-K 22:57:00.00  5/18/2010   507486.738  6786621.822  422.658   0.019   0.028 2
640-K 22:57:30.00  5/18/2010   507486.737  6786621.818  422.653   0.019   0.028 2
641-K 22:58:00.00  5/18/2010   507486.735  6786621.818  422.659   0.019   0.028 2
642-K 22:58:30.00  5/18/2010   507486.736  6786621.817  422.656   0.020   0.028 2
643-K 22:59:00.00  5/18/2010   507486.730  6786621.817  422.654   0.020   0.028 2
644-K 22:59:30.00  5/18/2010   507486.732  6786621.812  422.650   0.020   0.028 2
645-K 23:00:00.00  5/18/2010   507486.729  6786621.811  422.648   0.019   0.027 2
646-K 23:00:30.00  5/18/2010   507486.730  6786621.812  422.656   0.019   0.027 2
647-K 23:01:00.00  5/18/2010   507486.729  6786621.813  422.660   0.019   0.027 2
648-K 23:01:30.00  5/18/2010   507486.730  6786621.810  422.653   0.020   0.027 2
649-K 23:02:00.00  5/18/2010   507486.728  6786621.810  422.651   0.020   0.027 2
650-K 23:02:30.00  5/18/2010   507486.727  6786621.812  422.660   0.020   0.027 2
651-K 23:03:00.00  5/18/2010   507486.726  6786621.809  422.655   0.020   0.027 2
652-K 23:03:30.00  5/18/2010   507486.724  6786621.807  422.661   0.020   0.027 2
653-K 23:04:00.00  5/18/2010   507486.724  6786621.805  422.657   0.020   0.027 2
654-K 23:04:30.00  5/18/2010   507486.721  6786621.806  422.653   0.020   0.027 2
655-K 23:05:00.00  5/18/2010   507486.720  6786621.804  422.656   0.020   0.027 2
656-K 23:05:30.00  5/18/2010   507486.720  6786621.800  422.657   0.020   0.027 2
657-K 23:06:00.00  5/18/2010   507486.717  6786621.804  422.660   0.020   0.027 2
658-K 23:06:30.00  5/18/2010   507486.720  6786621.801  422.658   0.020   0.027 2
659-K 23:07:00.00  5/18/2010   507486.716  6786621.797  422.655   0.020   0.027 2
660-K 23:07:30.00  5/18/2010   507486.715  6786621.796  422.658   0.020   0.027 2
661-K 23:08:00.00  5/18/2010   507486.714  6786621.791  422.658   0.020   0.027 2
662-K 23:08:30.00  5/18/2010   507486.711  6786621.790  422.655   0.020   0.027 2
663-K 23:09:00.00  5/18/2010   507486.712  6786621.790  422.654   0.020   0.027 2
664-K 23:09:30.00  5/18/2010   507486.709  6786621.786  422.655   0.020   0.027 2
665-K 23:10:00.00  5/18/2010   507486.707  6786621.785  422.649   0.020   0.027 2
666-K 23:10:30.00  5/18/2010   507486.708  6786621.787  422.655   0.020   0.027 2
667-K 23:11:00.00  5/18/2010   507486.708  6786621.784  422.656   0.020   0.027 2
668-K 23:11:30.00  5/18/2010   507486.706  6786621.785  422.659   0.020   0.027 2
669-K 23:12:00.00  5/18/2010   507486.705  6786621.784  422.655   0.020   0.027 2
670-K 23:12:30.00  5/18/2010   507486.704  6786621.783  422.664   0.020   0.027 2
671-K 23:13:00.00  5/18/2010   507486.701  6786621.783  422.661   0.020   0.027 2
672-K 23:13:30.00  5/18/2010   507486.701  6786621.781  422.658   0.020   0.027 2
673-K 23:14:00.00  5/18/2010   507486.697  6786621.781  422.660   0.020   0.027 2
674-K 23:14:30.00  5/18/2010   507486.699  6786621.781  422.658   0.021   0.029 2
675-K 23:15:00.00  5/18/2010   507486.698  6786621.782  422.657   0.021   0.028 2
676-K 23:15:30.00  5/18/2010   507486.693  6786621.778  422.658   0.021   0.028 2
677-K 23:16:00.00  5/18/2010   507486.693  6786621.780  422.656   0.021   0.028 2
678-K 23:16:30.00  5/18/2010   507486.692  6786621.781  422.662   0.021   0.028 2
679-K 23:17:00.00  5/18/2010   507486.689  6786621.777  422.654   0.021   0.028 2
680-K 23:17:30.00  5/18/2010   507486.687  6786621.775  422.652   0.021   0.028 2
681-K 23:18:00.00  5/18/2010   507486.688  6786621.772  422.647   0.021   0.028 2
682-K 23:18:30.00  5/18/2010   507486.687  6786621.771  422.651   0.021   0.029 2
683-K 23:19:00.00  5/18/2010   507486.684  6786621.769  422.648   0.021   0.029 2
684-K 23:19:30.00  5/18/2010   507486.684  6786621.767  422.646   0.022   0.031 2
685-K 23:20:00.00  5/18/2010   507486.683  6786621.764  422.647   0.023   0.035 2
686-K 23:20:30.00  5/18/2010   507486.681  6786621.766  422.655   0.023   0.035 2
687-K 23:21:00.00  5/18/2010   507486.681  6786621.766  422.654   0.023   0.035 2
688-K 23:21:30.00  5/18/2010   507486.678  6786621.764  422.649   0.023   0.035 2
689-K 23:22:00.00  5/18/2010   507486.677  6786621.760  422.649   0.023   0.035 2
690-K 23:22:30.00  5/18/2010   507486.677  6786621.755  422.639   0.023   0.036 2
691-K 23:23:00.00  5/18/2010   507486.677  6786621.750  422.630   0.024   0.037 2
692-K 23:23:30.00  5/18/2010   507486.677  6786621.757  422.648   0.025   0.040 2
693-K 23:24:00.00  5/18/2010   507486.676  6786621.755  422.648   0.025   0.040 2
694-K 23:24:30.00  5/18/2010   507486.675  6786621.756  422.649   0.025   0.040 2
695-K 23:25:00.00  5/18/2010   507486.674  6786621.749  422.644   0.026   0.040 2
696-K 23:25:30.00  5/18/2010   507486.671  6786621.747  422.638   0.026   0.040 2
697-K 23:26:00.00  5/18/2010   507486.671  6786621.751  422.641   0.026   0.040 2
698-K 23:26:30.00  5/18/2010   507486.670  6786621.747  422.641   0.026   0.040 2
699-K 23:27:00.00  5/18/2010   507486.668  6786621.747  422.640   0.026   0.040 2
700-K 23:27:30.00  5/18/2010   507486.668  6786621.746  422.642   0.026   0.040 2
701-K 23:28:00.00  5/18/2010   507486.668  6786621.746  422.640   0.026   0.040 2
702-K 23:28:30.00  5/18/2010   507486.667  6786621.743  422.636   0.026   0.040 2
703-K 23:29:00.00  5/18/2010   507486.665  6786621.747  422.641   0.026   0.040 2
704-K 23:29:30.00  5/18/2010   507486.664  6786621.741  422.636   0.026   0.040 2
705-K 23:30:00.00  5/18/2010   507486.662  6786621.740  422.640   0.026   0.040 2
706-K 23:30:30.00  5/18/2010   507486.662  6786621.736  422.636   0.026   0.040 2
707-K 23:31:00.00  5/18/2010   507486.660  6786621.738  422.635   0.026   0.040 2
708-K 23:31:30.00  5/18/2010   507486.658  6786621.741  422.632   0.026   0.040 2
709-K 23:32:00.00  5/18/2010   507486.657  6786621.738  422.635   0.026   0.040 2
710-K 23:32:30.00  5/18/2010   507486.656  6786621.737  422.633   0.026   0.040 2
711-K 23:33:00.00  5/18/2010   507486.657  6786621.736  422.641   0.026   0.040 2
712-K 23:33:30.00  5/18/2010   507486.655  6786621.733  422.640   0.026   0.039 2
713-K 23:34:00.00  5/18/2010   507486.654  6786621.734  422.639   0.026   0.039 2
714-K 23:34:30.00  5/18/2010   507486.654  6786621.736  422.641   0.026   0.039 2
715-K 23:35:00.00  5/18/2010   507486.653  6786621.734  422.636   0.026   0.039 2
716-K 23:35:30.00  5/18/2010   507486.653  6786621.733  422.636   0.026   0.039 2
717-K 23:36:00.00  5/18/2010   507486.654  6786621.735  422.638   0.027   0.040 2
718-K 23:36:30.00  5/18/2010   507486.652  6786621.729  422.635   0.027   0.040 2
719-K 23:37:00.00  5/18/2010   507486.649  6786621.730  422.639   0.027   0.040 2
720-K 23:37:30.00  5/18/2010   507486.649  6786621.723  422.634   0.027   0.039 2
721-K 23:38:00.00  5/18/2010   507486.647  6786621.729  422.641   0.026   0.039 2
722-K 23:38:30.00  5/18/2010   507486.646  6786621.725  422.634   0.026   0.039 2
723-K 23:39:00.00  5/18/2010   507486.644  6786621.720  422.630   0.026   0.039 2
724-K 23:39:30.00  5/18/2010   507486.646  6786621.722  422.639   0.026   0.039 2
725-K 23:40:00.00  5/18/2010   507486.644  6786621.726  422.639   0.026   0.039 2
726-K 23:40:30.00  5/18/2010   507486.642  6786621.722  422.636   0.026   0.039 2
727-K 23:41:00.00  5/18/2010   507486.642  6786621.723  422.641   0.026   0.039 2
728-K 23:41:30.00  5/18/2010   507486.641  6786621.722  422.639   0.026   0.039 2
729-K 23:42:00.00  5/18/2010   507486.641  6786621.724  422.641   0.026   0.039 2
730-K 23:42:30.00  5/18/2010   507486.639  6786621.723  422.643   0.026   0.038 2
731-K 23:43:00.00  5/18/2010   507486.634  6786621.731  422.649   0.026   0.038 2
732-K 23:43:30.00  5/18/2010   507486.633  6786621.729  422.646   0.026   0.038 2
733-K 23:44:00.00  5/18/2010   507486.636  6786621.715  422.638   0.024   0.033 2
734-K 23:44:30.00  5/18/2010   507486.633  6786621.716  422.646   0.023   0.032 2
735-K 23:45:00.00  5/18/2010   507486.630  6786621.717  422.639   0.023   0.031 2
736-K 23:45:30.00  5/18/2010   507486.630  6786621.716  422.638   0.022   0.031 2
737-K 23:46:00.00  5/18/2010   507486.628  6786621.718  422.649   0.022   0.030 2
738-K 23:46:30.00  5/18/2010   507486.630  6786621.717  422.647   0.022   0.030 2
739-K 23:47:00.00  5/18/2010   507486.631  6786621.715  422.647   0.022   0.030 2
740-K 23:47:30.00  5/18/2010   507486.627  6786621.716  422.642   0.022   0.030 2
741-K 23:48:00.00  5/18/2010   507486.628  6786621.711  422.641   0.022   0.030 2
742-K 23:48:30.00  5/18/2010   507486.625  6786621.712  422.638   0.022   0.030 2
743-K 23:49:00.00  5/18/2010   507486.627  6786621.714  422.643   0.022   0.030 2
744-K 23:49:30.00  5/18/2010   507486.628  6786621.708  422.644   0.022   0.030 2
745-K 23:50:00.00  5/18/2010   507486.625  6786621.709  422.637   0.022   0.030 2
746-K 23:50:30.00  5/18/2010   507486.624  6786621.708  422.637   0.022   0.029 2
747-K 23:51:00.00  5/18/2010   507486.627  6786621.708  422.639   0.022   0.029 2
748-K 23:51:30.00  5/18/2010   507486.623  6786621.709  422.638   0.022   0.029 2
749-K 23:52:00.00  5/18/2010   507486.622  6786621.707  422.633   0.022   0.028 2
750-K 23:52:30.00  5/18/2010   507486.622  6786621.706  422.643   0.022   0.028 2
751-K 23:53:00.00  5/18/2010   507486.620  6786621.707  422.644   0.022   0.028 2
752-K 23:53:30.00  5/18/2010   507486.621  6786621.702  422.647   0.022   0.028 2
753-K 23:54:00.00  5/18/2010   507486.614  6786621.705  422.645   0.022   0.028 2
754-K 23:54:30.00  5/18/2010   507486.617  6786621.699  422.639   0.022   0.028 2
755-K 23:55:00.00  5/18/2010   507486.613  6786621.703  422.645   0.022   0.028 2
756-K 23:55:30.00  5/18/2010   507486.614  6786621.697  422.645   0.022   0.028 2
757-K 23:56:00.00  5/18/2010   507486.613  6786621.699  422.652   0.022   0.028 2
758-K 23:56:30.00  5/18/2010   507486.611  6786621.702  422.653   0.022   0.028 2
759-K 23:57:00.00  5/18/2010   507486.609  6786621.705  422.651   0.022   0.028 2
760-K 23:57:30.00  5/18/2010   507486.611  6786621.696  422.657   0.022   0.028 2
761-K 23:58:00.00  5/18/2010   507486.609  6786621.696  422.656   0.022   0.028 2
762-K 23:58:30.00  5/18/2010   507486.606  6786621.697  422.656   0.022   0.028 2
763-K 23:59:00.00  5/18/2010   507486.604  6786621.695  422.652   0.022   0.028 2
764-K 23:59:30.00  5/18/2010   507486.604  6786621.693  422.657   0.022   0.028 2
765-K  0:00:00.00  5/19/2010   507486.602  6786621.695  422.659   0.022   0.028 2
766-K  0:00:30.00  5/19/2010   507486.598  6786621.700  422.661   0.022   0.028 2
767-K  0:01:00.00  5/19/2010   507486.597  6786621.692  422.656   0.022   0.028 2
768-K  0:01:30.00  5/19/2010   507486.595  6786621.692  422.656   0.022   0.028 2
769-K  0:02:00.00  5/19/2010   507486.596  6786621.690  422.662   0.022   0.028 2
770-K  0:02:30.00  5/19/2010   507486.593  6786621.691  422.659   0.022   0.028 2
771-K  0:03:00.00  5/19/2010   507486.592  6786621.691  422.658   0.022   0.028 2
772-K  0:03:30.00  5/19/2010   507486.593  6786621.686  422.658   0.022   0.028 2
773-K  0:04:00.00  5/19/2010   507486.591  6786621.684  422.657   0.022   0.028 2
774-K  0:04:30.00  5/19/2010   507486.591  6786621.679  422.650   0.022   0.028 2
775-K  0:05:00.00  5/19/2010   507486.590  6786621.678  422.645   0.022   0.028 2
776-K  0:05:30.00  5/19/2010   507486.585  6786621.680  422.645   0.022   0.029 2
777-K  0:06:00.00  5/19/2010   507486.582  6786621.682  422.648   0.023   0.029 2
778-K  0:06:30.00  5/19/2010   507486.585  6786621.670  422.645   0.021   0.027 2
779-K  0:07:00.00  5/19/2010   507486.586  6786621.671  422.646   0.021   0.027 2
780-K  0:07:30.00  5/19/2010   507486.587  6786621.671  422.642   0.022   0.027 2
781-K  0:08:00.00  5/19/2010   507486.589  6786621.665  422.635   0.022   0.028 2
782-K  0:08:30.00  5/19/2010   507486.582  6786621.673  422.639   0.023   0.028 2
783-K  0:09:00.00  5/19/2010   507486.579  6786621.675  422.640   0.023   0.028 2
784-K  0:09:30.00  5/19/2010   507486.579  6786621.673  422.645   0.023   0.028 2
785-K  0:10:00.00  5/19/2010   507486.578  6786621.672  422.640   0.023   0.028 2
786-K  0:10:30.00  5/19/2010   507486.579  6786621.670  422.643   0.023   0.028 2
787-K  0:11:00.00  5/19/2010   507486.580  6786621.668  422.649   0.023   0.028 2
788-K  0:11:30.00  5/19/2010   507486.579  6786621.666  422.644   0.023   0.028 2
789-K  0:12:00.00  5/19/2010   507486.577  6786621.669  422.643   0.023   0.028 2
790-K  0:12:30.00  5/19/2010   507486.573  6786621.670  422.642   0.023   0.028 2
791-K  0:13:00.00  5/19/2010   507486.574  6786621.667  422.641   0.023   0.028 2
792-K  0:13:30.00  5/19/2010   507486.571  6786621.669  422.644   0.023   0.028 2
793-K  0:14:00.00  5/19/2010   507486.569  6786621.672  422.646   0.023   0.028 2
794-K  0:14:30.00  5/19/2010   507486.569  6786621.670  422.646   0.023   0.028 2
795-K  0:15:00.00  5/19/2010   507486.568  6786621.671  422.644   0.023   0.028 2
796-K  0:15:30.00  5/19/2010   507486.569  6786621.666  422.645   0.023   0.028 2
797-K  0:16:00.00  5/19/2010   507486.566  6786621.669  422.646   0.021   0.026 2
798-K  0:16:30.00  5/19/2010   507486.565  6786621.669  422.643   0.021   0.026 2
799-K  0:17:00.00  5/19/2010   507486.564  6786621.666  422.648   0.020   0.026 2
800-K  0:17:30.00  5/19/2010   507486.565  6786621.662  422.647   0.020   0.026 2
801-K  0:18:00.00  5/19/2010   507486.568  6786621.658  422.643   0.020   0.026 2
802-K  0:18:30.00  5/19/2010   507486.565  6786621.658  422.648   0.020   0.026 2
803-K  0:19:00.00  5/19/2010   507486.563  6786621.656  422.648   0.020   0.026 2
804-K  0:19:30.00  5/19/2010   507486.563  6786621.657  422.644   0.019   0.025 2
805-K  0:20:00.00  5/19/2010   507486.561  6786621.656  422.643   0.019   0.025 2
806-K  0:20:30.00  5/19/2010   507486.558  6786621.656  422.648   0.019   0.025 2
807-K  0:21:00.00  5/19/2010   507486.557  6786621.652  422.645   0.019   0.024 2
808-K  0:21:30.00  5/19/2010   507486.556  6786621.650  422.638   0.019   0.024 2
809-K  0:22:00.00  5/19/2010   507486.555  6786621.651  422.641   0.019   0.024 2
810-K  0:22:30.00  5/19/2010   507486.556  6786621.648  422.639   0.019   0.025 2
811-K  0:23:00.00  5/19/2010   507486.555  6786621.650  422.645   0.018   0.025 2
812-K  0:23:30.00  5/19/2010   507486.554  6786621.650  422.648   0.018   0.025 2
813-K  0:24:00.00  5/19/2010   507486.554  6786621.649  422.647   0.018   0.025 2
814-K  0:24:30.00  5/19/2010   507486.553  6786621.647  422.646   0.018   0.025 2
815-K  0:25:00.00  5/19/2010   507486.549  6786621.649  422.641   0.018   0.025 2
816-K  0:25:30.00  5/19/2010   507486.546  6786621.647  422.643   0.018   0.025 2
817-K  0:26:00.00  5/19/2010   507486.548  6786621.643  422.638   0.018   0.025 2
818-K  0:26:30.00  5/19/2010   507486.547  6786621.643  422.638   0.018   0.025 2
819-K  0:27:00.00  5/19/2010   507486.545  6786621.643  422.640   0.018   0.025 2
820-K  0:27:30.00  5/19/2010   507486.545  6786621.639  422.638   0.018   0.025 2
821-K  0:28:00.00  5/19/2010   507486.544  6786621.639  422.641   0.018   0.025 2
822-K  0:28:30.00  5/19/2010   507486.539  6786621.640  422.645   0.018   0.025 2
823-K  0:29:00.00  5/19/2010   507486.539  6786621.638  422.639   0.018   0.025 2
824-K  0:29:30.00  5/19/2010   507486.538  6786621.638  422.644   0.018   0.025 2
825-K  0:30:00.00  5/19/2010   507486.535  6786621.638  422.645   0.018   0.025 2
826-K  0:30:30.00  5/19/2010   507486.534  6786621.636  422.647   0.018   0.025 2
827-K  0:31:00.00  5/19/2010   507486.534  6786621.634  422.645   0.018   0.025 2
828-K  0:31:30.00  5/19/2010   507486.530  6786621.635  422.646   0.018   0.025 2
829-K  0:32:00.00  5/19/2010   507486.528  6786621.634  422.645   0.018   0.025 2
830-K  0:32:30.00  5/19/2010   507486.525  6786621.635  422.647   0.018   0.025 2
831-K  0:33:00.00  5/19/2010   507486.523  6786621.631  422.644   0.018   0.025 2
832-K  0:33:30.00  5/19/2010   507486.523  6786621.632  422.643   0.018   0.025 2
833-K  0:34:00.00  5/19/2010   507486.520  6786621.627  422.642   0.018   0.025 2
834-K  0:34:30.00  5/19/2010   507486.520  6786621.629  422.644   0.018   0.025 2
835-K  0:35:00.00  5/19/2010   507486.518  6786621.627  422.646   0.018   0.025 2
836-K  0:35:30.00  5/19/2010   507486.515  6786621.627  422.643   0.018   0.025 2
837-K  0:36:00.00  5/19/2010   507486.516  6786621.623  422.635   0.018   0.026 2
838-K  0:36:30.00  5/19/2010   507486.516  6786621.622  422.635   0.018   0.026 2
839-K  0:37:00.00  5/19/2010   507486.514  6786621.619  422.635   0.018   0.026 2
840-K  0:37:30.00  5/19/2010   507486.511  6786621.621  422.635   0.018   0.026 2
841-K  0:38:00.00  5/19/2010   507486.510  6786621.619  422.634   0.018   0.026 2
842-K  0:38:30.00  5/19/2010   507486.510  6786621.619  422.640   0.018   0.026 2
843-K  0:39:00.00  5/19/2010   507486.507  6786621.621  422.642   0.018   0.026 2
844-K  0:39:30.00  5/19/2010   507486.505  6786621.622  422.641   0.018   0.026 2
845-K  0:40:00.00  5/19/2010   507486.506  6786621.618  422.642   0.018   0.026 2
846-K  0:40:30.00  5/19/2010   507486.505  6786621.617  422.641   0.018   0.026 2
847-K  0:41:00.00  5/19/2010   507486.501  6786621.616  422.635   0.018   0.026 2
848-K  0:41:30.00  5/19/2010   507486.501  6786621.613  422.632   0.018   0.026 2
849-K  0:42:00.00  5/19/2010   507486.499  6786621.613  422.634   0.018   0.026 2
850-K  0:42:30.00  5/19/2010   507486.499  6786621.610  422.636   0.018   0.026 2
851-K  0:43:00.00  5/19/2010   507486.498  6786621.609  422.632   0.018   0.026 2
852-K  0:43:30.00  5/19/2010   507486.498  6786621.608  422.633   0.018   0.026 2
853-K  0:44:00.00  5/19/2010   507486.497  6786621.609  422.633   0.018   0.026 2
854-K  0:44:30.00  5/19/2010   507486.496  6786621.609  422.632   0.018   0.026 2
855-K  0:45:00.00  5/19/2010   507486.493  6786621.606  422.631   0.018   0.026 2
856-K  0:45:30.00  5/19/2010   507486.492  6786621.607  422.636   0.018   0.026 2
857-K  0:46:00.00  5/19/2010   507486.492  6786621.608  422.637   0.018   0.026 2
858-K  0:46:30.00  5/19/2010   507486.492  6786621.604  422.637   0.018   0.027 2
859-K  0:47:00.00  5/19/2010   507486.490  6786621.602  422.637   0.018   0.027 2
860-K  0:47:30.00  5/19/2010   507486.490  6786621.599  422.638   0.018   0.027 2
861-K  0:48:00.00  5/19/2010   507486.491  6786621.597  422.633   0.018   0.027 2
862-K  0:48:30.00  5/19/2010   507486.486  6786621.595  422.628   0.018   0.027 2
863-K  0:49:00.00  5/19/2010   507486.486  6786621.594  422.634   0.018   0.027 2
864-K  0:49:30.00  5/19/2010   507486.484  6786621.598  422.634   0.018   0.027 2
865-K  0:50:00.00  5/19/2010   507486.484  6786621.592  422.627   0.018   0.027 2
866-K  0:50:30.00  5/19/2010   507486.481  6786621.595  422.631   0.018   0.027 2
867-K  0:51:00.00  5/19/2010   507486.478  6786621.592  422.632   0.018   0.027 2
868-K  0:51:30.00  5/19/2010   507486.479  6786621.589  422.632   0.018   0.027 2
869-K  0:52:00.00  5/19/2010   507486.478  6786621.589  422.629   0.018   0.027 2
870-K  0:52:30.00  5/19/2010   507486.476  6786621.584  422.627   0.018   0.027 2
871-K  0:53:00.00  5/19/2010   507486.473  6786621.584  422.622   0.018   0.027 2
872-K  0:53:30.00  5/19/2010   507486.474  6786621.582  422.621   0.018   0.027 2
873-K  0:54:00.00  5/19/2010   507486.471  6786621.577  422.621   0.018   0.027 2
874-K  0:54:30.00  5/19/2010   507486.472  6786621.576  422.620   0.018   0.027 2
875-K  0:55:00.00  5/19/2010   507486.472  6786621.577  422.621   0.018   0.027 2
876-K  0:55:30.00  5/19/2010   507486.471  6786621.573  422.622   0.018   0.027 2
877-K  0:56:00.00  5/19/2010   507486.472  6786621.569  422.623   0.018   0.027 2
878-K  0:56:30.00  5/19/2010   507486.468  6786621.570  422.620   0.018   0.027 2
879-K  0:57:00.00  5/19/2010   507486.468  6786621.567  422.617   0.018   0.027 2
880-K  0:57:30.00  5/19/2010   507486.468  6786621.567  422.619   0.018   0.027 2
881-K  0:58:00.00  5/19/2010   507486.465  6786621.564  422.618   0.018   0.027 2
882-K  0:58:30.00  5/19/2010   507486.465  6786621.565  422.621   0.018   0.027 2
883-K  0:59:00.00  5/19/2010   507486.465  6786621.562  422.616   0.018   0.027 2
884-K  0:59:30.00  5/19/2010   507486.462  6786621.562  422.616   0.018   0.027 2
885-K  1:00:00.00  5/19/2010   507486.461  6786621.560  422.623   0.018   0.027 2
886-K  1:00:30.00  5/19/2010   507486.461  6786621.558  422.619   0.018   0.027 2
887-K  1:01:00.00  5/19/2010   507486.459  6786621.557  422.618   0.018   0.027 2
888-K  1:01:30.00  5/19/2010   507486.456  6786621.555  422.615   0.018   0.027 2
889-K  1:02:00.00  5/19/2010   507486.455  6786621.553  422.613   0.018   0.027 2
890-K  1:02:30.00  5/19/2010   507486.455  6786621.550  422.613   0.018   0.027 2
891-K  1:03:00.00  5/19/2010   507486.452  6786621.551  422.617   0.018   0.028 2
892-K  1:03:30.00  5/19/2010   507486.450  6786621.550  422.616   0.018   0.028 2
893-K  1:04:00.00  5/19/2010   507486.448  6786621.549  422.611   0.018   0.028 2
894-K  1:04:30.00  5/19/2010   507486.451  6786621.546  422.612   0.018   0.028 2
895-K  1:05:00.00  5/19/2010   507486.451  6786621.543  422.609   0.018   0.028 2
896-K  1:05:30.00  5/19/2010   507486.450  6786621.542  422.608   0.018   0.028 2
897-K  1:06:00.00  5/19/2010   507486.446  6786621.543  422.611   0.018   0.028 2
898-K  1:06:30.00  5/19/2010   507486.447  6786621.543  422.613   0.018   0.028 2
899-K  1:07:00.00  5/19/2010   507486.444  6786621.542  422.608   0.018   0.028 2
900-K  1:07:30.00  5/19/2010   507486.442  6786621.543  422.609   0.019   0.030 2
901-K  1:08:00.00  5/19/2010   507486.442  6786621.543  422.618   0.020   0.033 2
902-K  1:08:30.00  5/19/2010   507486.441  6786621.544  422.626   0.020   0.033 2
903-K  1:09:00.00  5/19/2010   507486.440  6786621.543  422.624   0.020   0.033 2
904-K  1:09:30.00  5/19/2010   507486.438  6786621.543  422.622   0.020   0.033 2
905-K  1:10:00.00  5/19/2010   507486.435  6786621.544  422.624   0.020   0.033 2
906-K  1:10:30.00  5/19/2010   507486.433  6786621.542  422.618   0.020   0.033 2
907-K  1:11:00.00  5/19/2010   507486.433  6786621.543  422.619   0.020   0.033 2
908-K  1:11:30.00  5/19/2010   507486.432  6786621.540  422.624   0.020   0.033 2
909-K  1:12:00.00  5/19/2010   507486.432  6786621.538  422.624   0.020   0.033 2
910-K  1:12:30.00  5/19/2010   507486.431  6786621.539  422.627   0.020   0.033 2
911-K  1:13:00.00  5/19/2010   507486.431  6786621.537  422.626   0.020   0.033 2
912-K  1:13:30.00  5/19/2010   507486.426  6786621.538  422.633   0.020   0.033 2
913-K  1:14:00.00  5/19/2010   507486.426  6786621.539  422.633   0.020   0.033 2
914-K  1:14:30.00  5/19/2010   507486.425  6786621.539  422.639   0.020   0.033 2
915-K  1:15:00.00  5/19/2010   507486.424  6786621.536  422.636   0.021   0.033 2
916-K  1:15:30.00  5/19/2010   507486.423  6786621.533  422.638   0.021   0.033 2
917-K  1:16:00.00  5/19/2010   507486.424  6786621.516  422.604   0.020   0.031 2
918-K  1:16:30.00  5/19/2010   507486.419  6786621.540  422.651   0.020   0.031 2
919-K  1:17:00.00  5/19/2010   507486.416  6786621.534  422.645   0.020   0.032 2
920-K  1:17:30.00  5/19/2010   507486.414  6786621.535  422.643   0.021   0.034 2
921-K  1:18:00.00  5/19/2010   507486.418  6786621.527  422.642   0.020   0.031 2
922-K  1:18:30.00  5/19/2010   507486.415  6786621.526  422.642   0.019   0.029 2
923-K  1:19:00.00  5/19/2010   507486.414  6786621.526  422.642   0.019   0.029 2
924-K  1:19:30.00  5/19/2010   507486.415  6786621.525  422.639   0.019   0.028 2
925-K  1:20:00.00  5/19/2010   507486.413  6786621.522  422.645   0.019   0.028 2
926-K  1:20:30.00  5/19/2010   507486.412  6786621.522  422.644   0.019   0.028 2
927-K  1:21:00.00  5/19/2010   507486.411  6786621.522  422.644   0.019   0.028 2
928-K  1:21:30.00  5/19/2010   507486.408  6786621.521  422.641   0.019   0.028 2
929-K  1:22:00.00  5/19/2010   507486.407  6786621.521  422.638   0.019   0.028 2
