Output order: Pnt Id						 Hz	 V	 Sd	 East	 North	 Elev	 Sig.Strength





CGR1	166.5006944	6	15	12	1	179.98944	272.7725	131.87	4999.975	5131.715	1008
111	166.5013889	6	15	12	2	100.14556	267.01778	1043.796	3973.909	5183.619	947.392
333	166.5013889	6	15	12	2	99.12389	267.42111	1252.746	3764.347	5198.448	945.362
CGR1	166.5104167	6	15	12	15	359.98889	87.23639	131.87	4999.974	5131.716	1007.979
111	166.5104167	6	15	12	15	280.135	92.98556	1043.786	3973.888	5183.426	947.33
333	166.5111111	6	15	12	16	279.115	92.58528	1252.727	3764.34	5198.252	945.221
444	166.5111111	6	15	12	16	291.07611	92.58972	1057.227	4014.499	5379.802	953.928
CGR1	166.5111111	6	15	12	16	179.99	272.77028	131.87	4999.977	5131.716	1007.995
111	166.5118056	6	15	12	17	100.12583	267.01861	1043.76	3973.88	5183.259	947.405
333	166.5118056	6	15	12	17	99.11639	267.41861	1252.707	3764.362	5198.282	945.305
444	166.5125	6	15	12	18	111.07889	267.41833	1057.227	4014.511	5379.852	954.076
CGR1	166.5208333	6	15	12	30	359.98861	87.23556	131.87	4999.974	5131.716	1007.981
111	166.5208333	6	15	12	30	279.09972	92.58556	1252.609	3764.404	5197.903	945.221
333	166.5215278	6	15	12	31	279.09944	92.58583	1252.609	3764.404	5197.9	945.211
CGR1	166.5215278	6	15	12	31	179.99	272.77	131.87	4999.977	5131.715	1007.994
333	166.5222222	6	15	12	32	99.10111	267.41889	1252.601	3764.413	5197.935	945.318
444	166.5229167	6	15	12	33	111.0725	267.41472	1057.2	4014.495	5379.729	954.008
CGR1	166.53125	6	15	12	45	359.98889	87.23944	131.87	4999.974	5131.716	1007.972
111	166.53125	6	15	12	45	279.09556	92.58944	1252.581	3764.422	5197.811	945.138
444	166.5319444	6	15	12	46	291.06306	92.59111	1057.174	4014.462	5379.558	953.902
CGR1	166.5319444	6	15	12	46	179.99028	272.76944	131.87	4999.978	5131.716	1007.993
111	166.5326389	6	15	12	47	99.09806	267.41694	1252.573	3764.431	5197.861	945.278
333	166.5326389	6	15	12	47	99.09833	267.41861	1252.572	3764.432	5197.871	945.31
444	166.5333333	6	15	12	48	111.06694	267.415	1057.168	4014.488	5379.623	954.015
CGR1	166.5416667	6	15	13	0	359.98667	87.23944	131.869	4999.97	5131.716	1007.972
111	166.5416667	6	15	13	0	279.08778	92.59028	1252.514	3764.462	5197.628	945.118
333	166.5423611	6	15	13	1	279.08639	92.59056	1252.509	3764.462	5197.601	945.115
444	166.5423611	6	15	13	1	291.05389	92.59306	1057.145	4014.43	5379.387	953.866
CGR1	166.5423611	6	15	13	1	179.98944	272.76972	131.869	4999.975	5131.715	1007.993
111	166.5430556	6	15	13	2	99.08917	267.41472	1252.507	3764.468	5197.662	945.234
333	166.5430556	6	15	13	2	99.08833	267.41667	1252.51	3764.461	5197.645	945.271
CGR1	166.5520833	6	15	13	15	359.98556	87.23833	131.871	4999.967	5131.717	1007.975
