RRRR	6	18	19	6	180.00028	94.38417	23.078	5000	4976.99	999.936
1111	6	18	19	7	293.13611	94.27389	1136.234	3958.042	5445.211	917.111
2222	6	18	19	9	310.46444	93.08306	1513.959	3849.821	5981.114	920.432
3333	6	18	19	10	301.79889	93.90333	1152.524	4022.728	5605.909	923.333
RRRR	6	18	19	15	179.99972	94.38556	23.078	5000	4976.99	999.935
RRRR	6	18	19	15	359.99833	265.62333	23.078	5000.001	4976.989	999.939
1111	6	18	19	16	113.13056	265.73361	1136.209	3958.01	5445.103	917.262
1111	6	18	19	16	293.13139	94.27361	1136.208	3958.028	5445.115	917.119
2222	6	18	19	16	310.46139	93.08222	1513.914	3849.799	5981.021	920.457
2222	6	18	19	16	130.45972	266.92444	1513.913	3849.767	5980.996	920.627
3333	6	18	19	17	121.79389	266.10417	1152.494	4022.693	5605.815	923.486
3333	6	18	19	17	301.79556	93.90389	1152.492	4022.72	5605.835	923.326
RRRR	6	18	19	30	180.005	94.38278	23.078	4999.998	4976.99	999.936
RRRR	6	18	19	30	0.0025	265.62194	23.078	4999.999	4976.99	999.938
1111	6	18	19	31	113.12694	265.73361	1136.161	3958.027	5445.018	917.263
1111	6	18	19	31	293.12778	94.27361	1136.158	3958.047	5445.031	917.122
2222	6	18	19	31	310.46194	93.08194	1513.825	3849.879	5980.978	920.469
2222	6	18	19	32	130.46028	266.92361	1513.823	3849.846	5980.947	920.613
3333	6	18	19	32	121.79139	266.10389	1152.425	4022.723	5605.732	923.486
3333	6	18	19	32	301.79333	93.90389	1152.422	4022.756	5605.762	923.331
RRRR	6	18	19	45	180.00444	94.38389	23.077	4999.998	4976.99	999.936
RRRR	6	18	19	45	0.00333	265.62306	23.078	4999.999	4976.989	999.939
1111	6	18	19	46	113.11861	265.73389	1136.11	3958.009	5444.847	917.275
1111	6	18	19	46	293.11972	94.27167	1136.109	3958.027	5444.866	917.164
2222	6	18	19	46	310.45722	93.08083	1513.735	3849.862	5980.823	920.501
2222	6	18	19	47	130.45556	266.92444	1513.734	3849.829	5980.793	920.639
3333	6	18	19	47	121.78389	266.10333	1152.354	4022.706	5605.569	923.482
3333	6	18	19	47	301.78583	93.90361	1152.352	4022.736	5605.595	923.341
RRRR	6	18	20	1	180.00444	94.38472	23.078	4999.998	4976.99	999.936
