115	9	15	19	50	258.8263889	R1	359	58	1	359.9669444	87	15	12	87.25333333	131.908m	4999.924m	5131.756m	1007.942m
117					243	555	ERR_8704							0				
119	9	15	19	51	258.8270833	R1	179	58	3	179.9675	272	45	34	272.7594444	131.908m	4999.925m	5131.755m	1007.972m
121	9	15	20	0	258.8333333	555	289	46	32	289.7755556	92	35	25	92.59027778	1654.414m	3444.728m	5559.182m	927.036m
123	9	15	20	0	258.8333333	R1	359	57	56	359.9655556	87	15	16	87.25444444	131.908m	4999.921m	5131.756m	1007.940m
125					243	555	ERR_8710							0				
127	9	15	20	1	258.8340278	R1	179	58	4	179.9677778	272	45	34	272.7594444	131.908m	4999.926m	5131.755m	1007.972m
129					243	555	ERR_8710							0				
131	9	15	20	10	258.8402778	R1	359	57	57	359.9658333	87	15	11	87.25305556	131.908m	4999.921m	5131.756m	1007.943m
133					243	555	ERR_8710							0				
135	9	15	20	11	258.8409722	R1	179	58	0	179.9666667	272	45	32	272.7588889	131.908m	4999.924m	5131.755m	1007.970m
137					243	555	ERR_8710							0				
139	9	15	20	20	258.8472222	R1	359	58	15	359.9708333	87	15	13	87.25361111	131.908m	4999.933m	5131.756m	1007.942m
141					243	555	ERR_8710							0				
143	9	15	20	21	258.8479167	R1	179	58	15	179.9708333	272	45	41	272.7613889	131.908m	4999.933m	5131.755m	1007.976m
145					243	555	ERR_8710							0				
147	9	15	20	30	258.8541667	R1	359	57	50	359.9638889	87	15	16	87.25444444	131.908m	4999.917m	5131.756m	1007.939m
149					243	555	ERR_8710							0				
151	9	15	20	31	258.8548611	R1	179	58	8	179.9688889	272	45	28	272.7577778	131.908m	4999.928m	5131.755m	1007.968m
153					243	555	ERR_1288							0				
155					243	R1	ERR_1288							0				
157	9	16	7	55	259.3298611	555	109	37	16	109.6211111	267	24	47	267.4130556	1653.537m	3444.049m	5554.698m	927.173m
159	9	16	7	55	259.3298611	R1	179	58	24	179.9733333	272	45	28	272.7577778	131.908m	4999.939m	5131.755m	1007.968m
161					243	555	ERR_8704							0				
163	9	16	7	56	259.3305556	R1	359	58	24	359.9733333	87	15	10	87.25277778	131.908m	4999.938m	5131.756m	1007.943m
165	9	16	7	56	259.3305556	555	109	37	23	109.6230556	267	24	35	267.4097222	1653.536m	3444.072m	5554.746m	927.076m
167	9	16	7	57	259.33125	R1	179	58	34	179.9761111	272	45	27	272.7575	131.909m	4999.945m	5131.756m	1007.967m
169					243	555	ERR_8704							0				
171	9	16	8	0	259.3333333	R1	359	58	27	359.9741667	87	15	5	87.25138889	131.908m	4999.941m	5131.756m	1007.947m
173	9	16	8	1	259.3340278	555	109	37	6	109.6183333	267	24	51	267.4141667	1653.529m	3444.028m	5554.620m	927.209m
175	9	16	8	1	259.3340278	R1	179	58	35	179.9763889	272	45	27	272.7575	131.908m	4999.946m	5131.755m	1007.967m
177					243	555	ERR_8704							0				
179	9	16	8	10	259.3402778	R1	359	58	43	359.9786111	87	15	16	87.25444444	131.908m	4999.951m	5131.757m	1007.940m
181					243	555	ERR_8704							0				
183	9	16	8	11	259.3409722	R1	179	58	53	179.9813889	272	45	46	272.7627778	131.908m	4999.957m	5131.755m	1007.979m
185	9	16	8	20	259.3472222	555	289	36	41	289.6113889	92	35	54	92.59833333	1653.501m	3444.003m	5554.417m	926.847m
187	9	16	8	20	259.3472222	R1	359	58	29	359.9747222	87	15	8	87.25222222	131.909m	4999.942m	5131.757m	1007.945m
189	9	16	8	21	259.3479167	555	109	36	50	109.6138889	267	24	44	267.4122222	1653.503m	3444.010m	5554.485m	927.153m
